symbol,corp_code,corp_name,stock_name,industryCode,industryName,establishedDate,ceo,homepage,address,businessSummary,updatedAt
010140,00126478,삼성중공업(주),삼성중공업,3111,기타 운송장비 제조,19740805,최성안,www.samsungshi.com,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터,기타 운송장비 제조 · 1974년 설립,2026-08-03 06:52:55
010950,00138279,S-Oil(주),S-Oil,19210,코크스·석유정제,19760106,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),www.s-oil.com,서울특별시 마포구  백범로 192,코크스·석유정제 · 1976년 설립,2026-08-03 06:52:55
011070,00105961,엘지이노텍(주),LG이노텍,262,전자부품·컴퓨터·통신장비 제조,19760224,문혁수,www.lginnotek.co.kr,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,전자부품·컴퓨터·통신장비 제조 · 1976년 설립,2026-08-03 06:52:55
011200,00164645,에이치엠엠(주) ,HMM,50112,수상 운송,19760325,최원혁,www.hmm21.com,부산광역시 동구 중앙대로 244 -,수상 운송 · 1976년 설립,2026-08-03 06:52:55
012330,00164788,현대모비스(주),현대모비스,303,자동차·트레일러 제조,19770701,"정의선, 이규석",www.mobis.com,서울 강남구 역삼1동 로담코빌딩 140-2,자동차·트레일러 제조 · 1977년 설립,2026-08-03 06:52:55
012450,00126566,한화에어로스페이스(주),한화에어로스페이스,31321,기타 운송장비 제조,19770801,"김동관, 손재일",www.hanwhaaerospace.com,경상남도 창원시 성산구  창원대로 1204,기타 운송장비 제조 · 1977년 설립,2026-08-03 06:52:55
015760,00159193,한국전력공사(주),한국전력공사,35120,전기·가스·증기 공급,19610701,김동철,www.kepco.co.kr,전라남도 나주시 전력로 55 -,전기·가스·증기 공급 · 1961년 설립,2026-08-03 06:52:55
017670,00159023,SK텔레콤(주),SK텔레콤,61220,통신업,19840420,정재헌,www.sktelecom.com,서울특별시 중구  을지로 65 (을자로2가),통신업 · 1984년 설립,2026-08-03 06:52:55
018260,00126186,삼성에스디에스(주),삼성에스디에스,62021,컴퓨터 프로그래밍·시스템 통합,19850501,이준희,www.samsungsds.com,서울특별시 송파구 올림픽로35길 125(신천동),컴퓨터 프로그래밍·시스템 통합 · 1985년 설립,2026-08-03 06:52:55
018880,00161125,한온시스템(주),한온시스템,29172,기타 기계·장비 제조,19860311,대표이사 이수일,www.hanonsystems.com,대전광역시 대덕구  신일서로 95,기타 기계·장비 제조 · 1986년 설립,2026-08-03 06:52:55
