market,symbol,name,reason,updatedAt
kr,000100,유한양행,manual_refresh_one,2026-06-02T00:47:54
kr,000270,기아,manual_refresh_one,2026-06-02T00:47:55
kr,000660,SK하이닉스,manual_refresh_one,2026-06-02T00:47:55
kr,000720,현대건설,manual_refresh_one,2026-06-02T00:47:55
kr,000810,삼성화재,manual_refresh_one,2026-06-02T00:47:55
kr,000990,DB하이텍,candidate_universe|user_added,2026-06-01T19:32:10
kr,001440,001440,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,003490,????,manual_refresh_one,2026-06-02T00:32:19
kr,003550,LG,candidate_universe,2026-06-01T19:32:10
kr,003620,KG모빌리티,candidate_universe,2026-06-01T19:32:10
kr,003670,포스코퓨처엠,candidate_universe|user_added,2026-06-01T19:32:10
kr,004020,현대제철,candidate_universe,2026-06-01T19:32:10
kr,005070,코스모신소재,candidate_universe,2026-06-01T19:32:10
kr,005380,현대차,candidate_universe|user_added,2026-06-01T19:32:10
kr,005490,005490,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,005930,삼성전자,candidate_universe|user_added,2026-06-01T19:32:10
kr,006260,006260,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,006340,????,manual_refresh_one,2026-06-01T21:14:59
kr,006360,GS건설,candidate_universe|user_added,2026-06-01T19:32:10
kr,006400,006400,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,007660,이수페타시스,candidate_universe|user_added,2026-06-01T19:32:10
kr,009150,삼성전기,candidate_universe|user_added,2026-06-01T19:32:10
kr,009540,009540,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,010120,LS ELECTRIC,candidate_universe|user_added,2026-06-01T19:32:10
kr,010130,고려아연,candidate_universe,2026-06-01T19:32:10
kr,010140,삼성중공업,candidate_universe|user_added,2026-06-01T19:32:10
kr,010950,S-Oil,candidate_universe,2026-06-01T19:32:10
kr,011070,LG이노텍,candidate_universe|user_added,2026-06-01T19:32:10
kr,011200,HMM,candidate_universe,2026-06-01T19:32:10
kr,012330,현대모비스,candidate_universe|user_added,2026-06-01T19:32:10
kr,012450,한화에어로스페이스,candidate_universe|user_added,2026-06-01T19:32:10
kr,015760,한국전력,candidate_universe|user_added,2026-06-01T19:32:10
kr,017670,SK텔레콤,candidate_universe,2026-06-01T19:32:10
kr,018260,삼성에스디에스,candidate_universe|user_added,2026-06-01T19:32:10
kr,028670,팬오션,candidate_universe,2026-06-01T19:32:10
kr,030200,KT,candidate_universe,2026-06-01T19:32:10
kr,032640,LG유플러스,candidate_universe,2026-06-01T19:32:10
kr,032830,삼성생명,candidate_universe,2026-06-01T19:32:10
kr,034020,두산에너빌리티,candidate_universe|user_added,2026-06-01T19:32:10
kr,034730,SK,candidate_universe,2026-06-01T19:32:10
kr,035420,NAVER,candidate_universe|user_added,2026-06-01T19:32:10
kr,035720,카카오,candidate_universe|user_added,2026-06-01T19:32:10
kr,035900,JYP Ent.,candidate_universe,2026-06-01T19:32:10
kr,036930,주성엔지니어링,candidate_universe|user_added,2026-06-01T19:32:10
kr,039030,이오테크닉스,candidate_universe,2026-06-01T19:32:10
kr,039440,에스티아이,candidate_universe,2026-06-01T19:32:10
kr,041510,에스엠,candidate_universe,2026-06-01T19:32:10
kr,042660,한화오션,candidate_universe|user_added,2026-06-01T19:32:10
kr,042700,042700,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,047810,한국항공우주,candidate_universe|user_added,2026-06-01T19:32:10
kr,051910,LG화학,candidate_universe|user_added,2026-06-01T19:32:10
kr,055550,055550,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,058470,리노공업,search_holding_added,2026-06-01T20:05:09
kr,064350,현대로템,candidate_universe|user_added,2026-06-01T19:32:10
kr,066970,엘앤에프,candidate_universe|user_added,2026-06-01T19:32:10
kr,067310,하나마이크론,candidate_universe|user_added,2026-06-01T19:32:10
kr,068270,셀트리온,candidate_universe|user_added,2026-06-01T19:32:10
kr,078930,GS,candidate_universe,2026-06-01T19:32:10
kr,079550,LIG넥스원,candidate_universe|user_added,2026-06-01T19:32:10
kr,086280,현대글로비스,candidate_universe,2026-06-01T19:32:10
kr,086520,에코프로,candidate_universe|user_added,2026-06-01T19:32:10
kr,086790,086790,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
kr,086900,메디톡스,candidate_universe,2026-06-01T19:32:10
kr,089030,테크윙,candidate_universe,2026-06-01T19:32:10
kr,090360,로보스타,candidate_universe|user_added,2026-06-01T19:32:10
kr,095340,ISC,candidate_universe|user_added,2026-06-01T19:32:10
kr,096770,SK이노베이션,candidate_universe,2026-06-01T19:32:10
kr,103590,일진전기,candidate_universe|user_added,2026-06-01T19:32:10
