market,symbol,name,reason,updatedAt
kr,000100,유한양행,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,000270,기아,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,000660,SK하이닉스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,000720,현대건설,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,000810,삼성화재,recommendations|targets,2026-06-01T20:19:59
kr,000990,DB하이텍,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,001440,대한전선,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,003490,대한항공,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,003550,LG,recommendations|targets,2026-06-01T20:19:59
kr,003620,KG모빌리티,recommendations|targets,2026-06-01T20:19:59
kr,003670,포스코퓨처엠,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,004020,현대제철,recommendations|targets,2026-06-01T20:19:59
kr,005070,코스모신소재,recommendations|targets,2026-06-01T20:19:59
kr,005380,현대차,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,005490,POSCO홀딩스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,005930,삼성전자,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,006260,LS,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,006340,대원전선,targets,2026-06-01T20:19:59
kr,006360,GS건설,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,006400,삼성SDI,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,007660,이수페타시스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,009150,삼성전기,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,009540,HD한국조선해양,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,010120,LS ELECTRIC,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,010130,고려아연,recommendations|targets,2026-06-01T20:19:59
kr,010140,삼성중공업,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,010950,S-Oil,recommendations|targets,2026-06-01T20:19:59
kr,011070,LG이노텍,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,011200,HMM,recommendations|targets,2026-06-01T20:19:59
kr,012330,현대모비스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,012450,한화에어로스페이스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,015760,한국전력,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,017670,SK텔레콤,recommendations|targets,2026-06-01T20:19:59
kr,018260,삼성에스디에스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,028670,팬오션,recommendations|targets,2026-06-01T20:19:59
kr,030200,KT,recommendations|targets,2026-06-01T20:19:59
kr,032640,LG유플러스,recommendations|targets,2026-06-01T20:19:59
kr,032830,삼성생명,recommendations|targets,2026-06-01T20:19:59
kr,034020,두산에너빌리티,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,034730,SK,recommendations|targets,2026-06-01T20:19:59
kr,035420,NAVER,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,035720,카카오,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,035900,JYP Ent.,recommendations|targets,2026-06-01T20:19:59
kr,036930,주성엔지니어링,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,039030,이오테크닉스,recommendations|targets,2026-06-01T20:19:59
kr,039440,에스티아이,recommendations|targets,2026-06-01T20:19:59
kr,041510,에스엠,recommendations|targets,2026-06-01T20:19:59
kr,042660,한화오션,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,042700,한미반도체,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,047810,한국항공우주,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,051910,LG화학,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,055550,신한지주,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,058470,리노공업,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,064350,현대로템,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,066970,엘앤에프,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,067310,하나마이크론,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,068270,셀트리온,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,078930,GS,recommendations|targets,2026-06-01T20:19:59
kr,079550,LIG넥스원,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,086280,현대글로비스,recommendations|targets,2026-06-01T20:19:59
kr,086520,에코프로,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,086790,하나금융지주,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,086900,메디톡스,recommendations|targets,2026-06-01T20:19:59
kr,089030,테크윙,recommendations|targets,2026-06-01T20:19:59
kr,090360,로보스타,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,095340,ISC,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,096770,SK이노베이션,recommendations|targets,2026-06-01T20:19:59
kr,103590,일진전기,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,105560,KB금융,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,108320,LX세미콘,recommendations|targets,2026-06-01T20:19:59
kr,108490,로보티즈,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,121600,나노신소재,recommendations|targets,2026-06-01T20:19:59
kr,128940,한미약품,recommendations|targets,2026-06-01T20:19:59
kr,131970,두산테스나,holdings|targets|watchlist,2026-06-01T20:19:59
kr,138040,메리츠금융지주,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,145020,휴젤,recommendations|targets,2026-06-01T20:19:59
kr,196170,알테오젠,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,207940,삼성바이오로직스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,214150,클래시스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,214450,파마리서치,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,222800,심텍,holdings|recommendations|targets|watchlist,2026-06-01T20:19:59
kr,240810,원익IPS,recommendations|targets,2026-06-01T20:19:59
kr,247540,에코프로비엠,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,259960,크래프톤,recommendations|targets,2026-06-01T20:19:59
kr,267260,HD현대일렉트릭,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,272210,한화시스템,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,277810,레인보우로보틱스,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,278280,천보,recommendations|targets,2026-06-01T20:19:59
kr,278470,에이피알,recommendations|targets,2026-06-01T20:19:59
kr,293490,카카오게임즈,recommendations|targets,2026-06-01T20:19:59
kr,298040,효성중공업,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,326030,SK바이오팜,recommendations|targets,2026-06-01T20:19:59
kr,329180,HD현대중공업,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,352820,하이브,recommendations|targets,2026-06-01T20:19:59
kr,353200,대덕전자,recommendations|targets,2026-06-01T20:19:59
kr,373220,LG에너지솔루션,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,375500,DL이앤씨,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,402340,SK스퀘어,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,403870,HPSP,recommendations|targets|watchlist,2026-06-01T20:19:59
kr,454910,두산로보틱스,recommendations|targets|watchlist,2026-06-01T20:19:59
