symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
CEG,us,true,272.88,272.88,272.88,2026-08-24 16:06:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:05 KST,true,true,,2026-08-24 16:07:24 KST,272.88,
CELH,us,true,33.36,33.36,33.36,2026-08-24 16:06:05 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:05 KST,true,true,,2026-08-24 16:07:24 KST,33.36,
COHR,us,true,289.52,289.52,289.52,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,290.03,-0.1758
COIN,us,true,186.49,186.49,186.49,2026-08-24 16:06:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:07 KST,true,true,,2026-08-24 16:07:24 KST,186.49,
COST,us,true,947.74,947.74,947.74,2026-08-24 16:06:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:08 KST,true,true,,2026-08-24 16:07:24 KST,947.74,
CRCL,us,true,87.98,87.98,87.98,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,83.66,5.1638
CRDO,us,true,230.57,230.57,230.57,2026-08-24 16:06:10 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:10 KST,true,true,,2026-08-24 16:07:24 KST,230.57,
CRM,us,true,209.17,209.17,209.17,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,205.43,1.8206
CRWD,us,true,191.95,191.95,191.95,2026-08-24 16:06:12 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:12 KST,true,true,,2026-08-24 16:07:24 KST,191.95,
DDOG,us,true,235.62,235.62,235.62,2026-08-24 16:06:12 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:12 KST,true,true,,2026-08-24 16:07:24 KST,235.62,
DELL,us,true,442.08,442.08,442.08,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,434.78,1.679
DUOL,us,true,146.13,146.13,146.13,2026-08-24 16:06:14 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:14 KST,true,true,,2026-08-24 16:07:24 KST,146.13,
ELF,us,true,101.94,101.94,101.94,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,98.46,3.5344
ESTC,us,true,85.94,85.94,85.94,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,85.9,0.0466
ETN,us,true,419.2,419.2,419.2,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,415.29,0.9415
GE,us,true,348.37,348.37,348.37,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,344.64,1.0823
GLD,us,true,423.36,423.36,423.36,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,415.26,1.9506
GOOGL,us,true,344.82,344.82,344.82,2026-08-24 16:06:21 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:21 KST,true,true,,2026-08-24 16:07:24 KST,344.82,
HIMS,us,true,33.78,33.78,33.78,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,31.86,6.0264
HOOD,us,true,108.13,108.13,108.13,2026-08-24 16:06:23 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:23 KST,true,true,,2026-08-24 16:07:24 KST,108.13,
HPE,us,true,53.45,53.45,53.45,2026-08-22 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-08-22 05:00:00 KST,true,true,,2026-08-24 16:07:24 KST,52.89,1.0588
HUT,us,true,80.86,80.86,80.86,2026-08-24 16:06:25 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:25 KST,true,true,,2026-08-24 16:07:24 KST,80.86,
IBIT,us,true,43.68,43.68,43.68,2026-08-24 16:06:25 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-08-24 16:06:25 KST,true,true,,2026-08-24 16:07:24 KST,43.68,
