date,symbol,name,open,high,low,close,volume,source
2025-12-01,AMD,AMD,213.8800048828125,220.97999572753906,213.5,219.75999450683594,30768700,Yahoo Finance AMD
2025-12-02,AMD,AMD,221.7899932861328,225.97999572753906,214.38999938964844,215.24000549316406,42002500,Yahoo Finance AMD
2025-12-03,AMD,AMD,216.25999450683594,218.1999969482422,211.77000427246094,217.60000610351562,28545200,Yahoo Finance AMD
2025-12-04,AMD,AMD,216.8800048828125,219.1199951171875,214.13999938964844,215.97999572753906,24478200,Yahoo Finance AMD
2025-12-05,AMD,AMD,217.1699981689453,223.63999938964844,216.24000549316406,217.97000122070312,33292400,Yahoo Finance AMD
2025-12-08,AMD,AMD,219.08999633789062,223.7100067138672,218.36000061035156,221.11000061035156,30943200,Yahoo Finance AMD
2025-12-09,AMD,AMD,221.0399932861328,224.83999633789062,217.91000366210938,221.6199951171875,25166100,Yahoo Finance AMD
2025-12-10,AMD,AMD,222.0,222.61000061035156,218.6699981689453,221.4199981689453,23279400,Yahoo Finance AMD
2025-12-11,AMD,AMD,217.80999755859375,221.5,210.19000244140625,221.42999267578125,30694600,Yahoo Finance AMD
2025-12-12,AMD,AMD,218.3699951171875,222.49000549316406,209.05999755859375,210.77999877929688,37073900,Yahoo Finance AMD
2025-12-15,AMD,AMD,212.27999877929688,215.36000061035156,206.5800018310547,207.5800018310547,27222200,Yahoo Finance AMD
2025-12-16,AMD,AMD,206.9199981689453,210.22000122070312,205.11000061035156,209.1699981689453,23467600,Yahoo Finance AMD
2025-12-17,AMD,AMD,210.0399932861328,211.5,197.52999877929688,198.11000061035156,31595400,Yahoo Finance AMD
2025-12-18,AMD,AMD,203.82000732421875,206.36000061035156,200.5,201.05999755859375,29720100,Yahoo Finance AMD
2025-12-19,AMD,AMD,204.60000610351562,215.17999267578125,204.1999969482422,213.42999267578125,58445500,Yahoo Finance AMD
2025-12-22,AMD,AMD,220.0,220.1699981689453,213.30999755859375,214.9499969482422,24950700,Yahoo Finance AMD
2025-12-23,AMD,AMD,212.86000061035156,217.02999877929688,212.27999877929688,214.89999389648438,20272300,Yahoo Finance AMD
2025-12-24,AMD,AMD,214.97999572753906,216.5399932861328,213.97000122070312,215.0399932861328,7956800,Yahoo Finance AMD
2025-12-26,AMD,AMD,215.42999267578125,216.8300018310547,213.02999877929688,214.99000549316406,15792600,Yahoo Finance AMD
2025-12-29,AMD,AMD,211.5800018310547,216.0500030517578,209.24000549316406,215.61000061035156,20326900,Yahoo Finance AMD
2025-12-30,AMD,AMD,215.8699951171875,216.82000732421875,214.3300018310547,215.33999633789062,16409600,Yahoo Finance AMD
2025-12-31,AMD,AMD,215.82000732421875,217.63999938964844,213.8000030517578,214.16000366210938,17591600,Yahoo Finance AMD
2026-01-02,AMD,AMD,218.89999389648438,227.14999389648438,218.89999389648438,223.47000122070312,36446200,Yahoo Finance AMD
2026-01-05,AMD,AMD,230.25,234.02000427246094,220.47999572753906,221.0800018310547,31941100,Yahoo Finance AMD
2026-01-06,AMD,AMD,222.7100067138672,222.9199981689453,211.25,214.35000610351562,40033200,Yahoo Finance AMD
2026-01-07,AMD,AMD,212.1300048828125,212.1300048828125,207.1699981689453,210.02000427246094,29715500,Yahoo Finance AMD
2026-01-08,AMD,AMD,210.89999389648438,210.94000244140625,203.3300018310547,204.67999267578125,27505000,Yahoo Finance AMD
2026-01-09,AMD,AMD,205.72000122070312,207.3000030517578,203.07000732421875,203.1699981689453,24217300,Yahoo Finance AMD
2026-01-12,AMD,AMD,201.17999267578125,209.8800048828125,199.8000030517578,207.69000244140625,27287300,Yahoo Finance AMD
2026-01-13,AMD,AMD,215.10000610351562,223.11000061035156,214.97999572753906,220.97000122070312,56894900,Yahoo Finance AMD
2026-01-14,AMD,AMD,217.5399932861328,224.08999633789062,215.11000061035156,223.60000610351562,40466500,Yahoo Finance AMD
2026-01-15,AMD,AMD,227.89999389648438,238.35000610351562,227.22000122070312,227.9199981689453,55270200,Yahoo Finance AMD
2026-01-16,AMD,AMD,234.3000030517578,234.49000549316406,228.86000061035156,231.8300018310547,42545600,Yahoo Finance AMD
2026-01-20,AMD,AMD,226.0800018310547,239.5,225.41000366210938,231.9199981689453,44327700,Yahoo Finance AMD
2026-01-21,AMD,AMD,235.99000549316406,252.89999389648438,235.77999877929688,249.8000030517578,62385600,Yahoo Finance AMD
2026-01-22,AMD,AMD,251.75,256.0799865722656,246.6300048828125,253.72999572753906,37945000,Yahoo Finance AMD
2026-01-23,AMD,AMD,261.17999267578125,266.9599914550781,256.25,259.67999267578125,47525900,Yahoo Finance AMD
2026-01-26,AMD,AMD,256.75,258.2900085449219,250.3000030517578,251.30999755859375,30672500,Yahoo Finance AMD
2026-01-27,AMD,AMD,252.16000366210938,255.5500030517578,247.9600067138672,252.02999877929688,25691600,Yahoo Finance AMD
2026-01-28,AMD,AMD,254.1300048828125,257.3999938964844,250.2100067138672,252.74000549316406,27061200,Yahoo Finance AMD
2026-01-29,AMD,AMD,254.66000366210938,260.5299987792969,240.91000366210938,252.17999267578125,31685200,Yahoo Finance AMD
2026-01-30,AMD,AMD,236.92999267578125,245.24000549316406,234.5500030517578,236.72999572753906,40035700,Yahoo Finance AMD
2026-02-02,AMD,AMD,235.77000427246094,249.97000122070312,235.0,246.27000427246094,36308100,Yahoo Finance AMD
2026-02-03,AMD,AMD,251.5500030517578,252.64999389648438,237.0399932861328,242.11000061035156,53097100,Yahoo Finance AMD
2026-02-04,AMD,AMD,215.0,218.5800018310547,199.14999389648438,200.19000244140625,107173300,Yahoo Finance AMD
