date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2024-06-10,kr,090360,29750,29900,29450,29500,44429,,existing,
2024-06-11,kr,090360,29600,30600,29600,29750,84415,,existing,
2024-06-12,kr,090360,29950,30550,29900,30000,76733,,existing,
2024-06-13,kr,090360,30100,30300,29800,29800,47253,,existing,
2024-06-14,kr,090360,29750,29750,29200,29200,57631,,existing,
2024-06-17,kr,090360,29500,29500,28850,28900,42822,,existing,
2024-06-18,kr,090360,29050,29250,28600,28750,39833,,existing,
2024-06-19,kr,090360,28500,28750,27950,28050,83029,,existing,
2024-06-20,kr,090360,27950,28250,27800,27900,46245,,existing,
2024-06-21,kr,090360,27900,28100,27450,27500,54340,,existing,
2024-06-24,kr,090360,27500,29300,27400,28000,90708,,existing,
2024-06-25,kr,090360,27750,28500,27750,28250,43195,,existing,
2024-06-26,kr,090360,28550,28800,28150,28200,50730,,existing,
2024-06-27,kr,090360,28100,31400,28000,28400,1132746,,existing,
2024-06-28,kr,090360,28600,28950,28250,28300,66430,,existing,
2024-07-01,kr,090360,28250,29200,28200,28200,80809,,existing,
2024-07-02,kr,090360,28250,28400,27550,27800,42032,,existing,
2024-07-03,kr,090360,27500,28150,27300,27600,48337,,existing,
2024-07-04,kr,090360,27650,28150,27650,27800,29236,,existing,
2024-07-05,kr,090360,28150,28850,28000,28350,74037,,existing,
2024-07-08,kr,090360,28200,28800,28200,28600,36960,,existing,
2024-07-09,kr,090360,28600,28700,28400,28650,24261,,existing,
2024-07-10,kr,090360,28650,28800,28200,28700,34630,,existing,
2024-07-11,kr,090360,28800,29100,28600,28900,62168,,existing,
2024-07-12,kr,090360,29300,29550,28550,28600,111855,,existing,
2024-07-15,kr,090360,28650,28900,28100,28250,34760,,existing,
2024-07-16,kr,090360,28250,28850,28250,28300,35396,,existing,
2024-07-17,kr,090360,28500,28600,27950,27950,42920,,existing,
2024-07-18,kr,090360,27550,27800,27350,27500,36789,,existing,
2024-07-19,kr,090360,27550,28000,27550,27850,28132,,existing,
2024-07-22,kr,090360,27500,27650,26700,26800,57254,,existing,
2024-07-23,kr,090360,26800,27200,26200,26250,52076,,existing,
2024-07-24,kr,090360,26050,26600,25950,26050,33008,,existing,
2024-07-25,kr,090360,25800,26100,25100,25500,47504,,existing,
2024-07-26,kr,090360,25250,25900,25250,25350,35348,,existing,
2024-07-29,kr,090360,25300,25800,25100,25550,27948,,existing,
2024-07-30,kr,090360,25350,25550,24850,24950,37864,,existing,
2024-07-31,kr,090360,24800,25150,24150,25050,43680,,existing,
2024-08-01,kr,090360,25100,25700,25000,25700,28323,,existing,
2024-08-02,kr,090360,25200,25200,24000,24200,52730,,existing,
2024-08-05,kr,090360,23700,23700,19800,20200,214139,,existing,
2024-08-06,kr,090360,20000,22150,20000,21850,94306,,existing,
2024-08-07,kr,090360,21550,22700,21450,22500,47837,,existing,
2024-08-08,kr,090360,22050,22500,21700,21850,23206,,existing,
2024-08-09,kr,090360,22550,22800,22250,22350,26210,,existing,
2024-08-12,kr,090360,22300,23150,22300,23050,32034,,existing,
2024-08-13,kr,090360,23050,23500,22600,22900,34101,,existing,
2024-08-14,kr,090360,23150,23600,23050,23400,27893,,existing,
2024-08-16,kr,090360,23800,23900,23300,23550,26782,,existing,
2024-08-19,kr,090360,23700,23700,23400,23500,16076,,existing,
2024-08-20,kr,090360,23600,24550,23600,24450,54934,,existing,
2024-08-21,kr,090360,24450,25400,23850,24900,56136,,existing,
2024-08-22,kr,090360,24650,25100,24200,24400,24608,,existing,
2024-08-23,kr,090360,23900,24400,23800,24350,18546,,existing,
2024-08-26,kr,090360,24500,24950,23950,24100,32734,,existing,
2024-08-27,kr,090360,23900,24500,23700,24300,18904,,existing,
2024-08-28,kr,090360,24100,25000,23650,23700,47512,,existing,
2024-08-29,kr,090360,23550,23950,23150,23600,21453,,existing,
2024-08-30,kr,090360,23900,24050,23350,23800,16789,,existing,
2024-09-02,kr,090360,23700,24300,23600,24300,26830,,existing,
2024-09-03,kr,090360,24500,24500,23750,23900,22588,,existing,
2024-09-04,kr,090360,22700,23450,22700,22950,32343,,existing,
2024-09-05,kr,090360,23100,23400,22150,22550,25300,,existing,
2024-09-06,kr,090360,22450,22700,21550,21750,23709,,existing,
2024-09-09,kr,090360,20950,22450,20800,22200,26585,,existing,
2024-09-10,kr,090360,22200,22350,21800,21800,17340,,existing,
2024-09-11,kr,090360,21850,22400,21800,21950,13568,,existing,
2024-09-12,kr,090360,22300,23150,22300,23050,31585,,existing,
2024-09-13,kr,090360,23100,23150,22500,23000,26258,,existing,
2024-09-19,kr,090360,22600,23000,22500,22600,24143,,existing,
2024-09-20,kr,090360,22800,23150,22450,22600,33487,,existing,
2024-09-23,kr,090360,22600,22850,22200,22600,12493,,existing,
