symbol,status,source,rows,first_date,last_date,path,elapsed_sec,error
AAPL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AAPL_daily.csv,0.63,
APP,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_APP_daily.csv,0.65,
NET,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_NET_daily.csv,0.58,
DDOG,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_DDOG_daily.csv,0.58,
SNOW,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SNOW_daily.csv,0.74,
MDB,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_MDB_daily.csv,0.55,
RDDT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_RDDT_daily.csv,0.56,
DUOL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_DUOL_daily.csv,0.62,
HOOD,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_HOOD_daily.csv,0.64,
COIN,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_COIN_daily.csv,0.6,
VRT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_VRT_daily.csv,0.57,
ETN,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ETN_daily.csv,0.73,
CEG,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CEG_daily.csv,0.58,
SMR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SMR_daily.csv,0.62,
RGTI,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_RGTI_daily.csv,0.98,
QUBT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_QUBT_daily.csv,0.76,
GE,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_GE_daily.csv,0.65,
KTOS,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_KTOS_daily.csv,0.58,
AVAV,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AVAV_daily.csv,0.57,
ACHR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ACHR_daily.csv,0.56,
JOBY,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_JOBY_daily.csv,0.55,
TMDX,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_TMDX_daily.csv,0.59,
HIMS,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_HIMS_daily.csv,0.69,
TEM,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_TEM_daily.csv,0.58,
SPY,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SPY_daily.csv,0.64,
SMH,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_SMH_daily.csv,0.58,
BMNR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_BMNR_daily.csv,0.58,
TSM,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_TSM_daily.csv,0.61,
ASML,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ASML_daily.csv,0.58,
AMAT,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_AMAT_daily.csv,0.64,
LRCX,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_LRCX_daily.csv,0.55,
KLAC,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_KLAC_daily.csv,0.66,
TER,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_TER_daily.csv,0.62,
ON,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ON_daily.csv,0.8,
MPWR,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_MPWR_daily.csv,0.64,
WDC,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_WDC_daily.csv,0.71,
STX,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_STX_daily.csv,0.66,
ORCL,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ORCL_daily.csv,0.61,
CRM,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CRM_daily.csv,0.69,
NOW,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_NOW_daily.csv,0.55,
PANW,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_PANW_daily.csv,0.62,
CRWD,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_CRWD_daily.csv,0.55,
ZS,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_ZS_daily.csv,0.54,
OKTA,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_OKTA_daily.csv,0.54,
S,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_S_daily.csv,0.62,
PATH,OK,Yahoo chart,180,2025-09-05,2026-05-22,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\us_PATH_daily.csv,0.58,
