market,symbol,status,provider,rows,file,message
kr,005930,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_005930_daily.csv,
kr,000660,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_000660_daily.csv,
kr,003490,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_003490_daily.csv,
kr,373220,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_373220_daily.csv,
kr,375500,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_375500_daily.csv,
kr,047810,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_047810_daily.csv,
kr,015760,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_015760_daily.csv,
kr,005380,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_005380_daily.csv,
kr,009540,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_009540_daily.csv,
kr,042700,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_042700_daily.csv,
kr,007660,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_007660_daily.csv,
kr,403870,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_403870_daily.csv,
kr,058470,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_058470_daily.csv,
kr,095340,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_095340_daily.csv,
kr,067310,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_067310_daily.csv,
kr,036930,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_036930_daily.csv,
kr,000990,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_000990_daily.csv,
kr,009150,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_009150_daily.csv,
kr,011070,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_011070_daily.csv,
kr,267260,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_267260_daily.csv,
kr,010120,OK,KIS,100,C:\Users\minbo\OneDrive\문서\GitHub\agnas-stock-app\data\market\ohlcv\kr_010120_daily.csv,
