date,symbol,name,open,high,low,close,volume,source
2025-12-01,SNDK,SanDisk,211.83999633789065,215.3000030517578,205.2400054931641,210.1699981689453,10280900,Yahoo Finance SNDK
2025-12-02,SNDK,SanDisk,211.75,217.0,192.8000030517578,205.3500061035156,11095800,Yahoo Finance SNDK
2025-12-03,SNDK,SanDisk,196.69500732421875,199.17999267578125,187.6999969482422,194.3800048828125,9868200,Yahoo Finance SNDK
2025-12-04,SNDK,SanDisk,192.3249969482422,214.9900054931641,189.67999267578125,213.3099975585937,12166500,Yahoo Finance SNDK
2025-12-05,SNDK,SanDisk,212.3999938964844,229.4499969482422,211.25,228.47000122070312,8451300,Yahoo Finance SNDK
2025-12-08,SNDK,SanDisk,235.6600036621093,238.8600006103516,215.6000061035156,225.47000122070312,8710000,Yahoo Finance SNDK
2025-12-09,SNDK,SanDisk,222.2700042724609,224.3300018310547,213.5,219.4600067138672,6299000,Yahoo Finance SNDK
2025-12-10,SNDK,SanDisk,218.0,234.1699981689453,215.1999969482422,232.8600006103516,6090400,Yahoo Finance SNDK
2025-12-11,SNDK,SanDisk,230.0,244.19000244140625,217.6699981689453,241.6100006103516,7622500,Yahoo Finance SNDK
2025-12-12,SNDK,SanDisk,232.1100006103516,236.0,204.8000030517578,206.17999267578125,12083200,Yahoo Finance SNDK
2025-12-15,SNDK,SanDisk,214.44500732421875,217.0,200.3419952392578,201.8699951171875,6265000,Yahoo Finance SNDK
2025-12-16,SNDK,SanDisk,201.1300048828125,210.5,199.5,209.3099975585937,6638400,Yahoo Finance SNDK
2025-12-17,SNDK,SanDisk,215.9900054931641,221.9900054931641,205.5200042724609,206.8300018310547,8232300,Yahoo Finance SNDK
2025-12-18,SNDK,SanDisk,222.7350006103516,231.0,214.0,219.4600067138672,9924100,Yahoo Finance SNDK
2025-12-19,SNDK,SanDisk,222.2899932861328,243.7100067138672,221.0,237.6100006103516,10925000,Yahoo Finance SNDK
2025-12-22,SNDK,SanDisk,249.6450042724609,252.0,226.6000061035156,241.0500030517578,8663400,Yahoo Finance SNDK
