date,open,high,low,close,volume,source
2011-07-21,280.19,280.47,277.9,279.2,107000000,yfinance
2011-07-22,281.51,282.73,280.37,282.59,121600000,yfinance
2011-07-25,280.0,280.47,279.0,279.66,100200000,yfinance
2011-07-26,281.34,282.04,279.19,282.04,120000000,yfinance
2011-07-27,279.54,282.77,279.49,282.7,108200000,yfinance
2011-07-28,277.89,280.76,277.87,280.04,107000000,yfinance
2011-07-29,280.52,280.52,277.05,277.11,127600000,yfinance
2011-08-01,280.86,282.79,280.55,282.36,102200000,yfinance
2011-08-02,279.54,279.88,274.71,275.4,129000000,yfinance
2011-08-03,269.8,270.14,266.81,267.8,125400000,yfinance
2011-08-04,267.78,268.35,261.0,261.54,119200000,yfinance
2011-08-05,251.09,255.15,249.32,251.9,181500000,yfinance
2011-08-08,248.34,251.38,233.89,242.45,204800000,yfinance
2011-08-09,234.26,237.55,218.66,233.52,268400000,yfinance
2011-08-11,223.79,236.6,223.79,234.14,172400000,yfinance
2011-08-12,237.41,237.94,229.77,230.38,175000000,yfinance
2011-08-16,238.06,242.23,237.75,242.23,123800000,yfinance
2011-08-17,240.68,245.62,240.61,243.43,112800000,yfinance
2011-08-18,243.15,243.61,234.93,238.31,159400000,yfinance
2011-08-19,228.95,229.75,222.95,222.98,178200000,yfinance
2011-08-22,224.62,225.49,218.09,219.15,141200000,yfinance
2011-08-23,222.3,229.17,220.38,228.12,152400000,yfinance
2011-08-24,229.56,231.08,223.52,225.14,147400000,yfinance
2011-08-25,230.3,232.0,226.73,227.02,117600000,yfinance
2011-08-26,225.55,229.73,225.54,229.0,93800000,yfinance
2011-08-29,232.8,236.95,229.94,235.78,127200000,yfinance
2011-08-30,239.13,240.47,236.72,237.64,139200000,yfinance
2011-08-31,237.91,242.16,236.59,242.16,117000000,yfinance
2011-09-01,243.07,248.84,241.95,242.37,157000000,yfinance
2011-09-02,241.18,243.76,238.42,240.16,99200000,yfinance
2011-09-05,234.93,235.03,228.89,228.89,109900000,yfinance
2011-09-06,224.46,229.82,223.18,226.65,121400000,yfinance
2011-09-07,232.72,236.15,231.04,236.12,113600000,yfinance
2011-09-08,239.55,239.64,235.48,238.47,143200000,yfinance
2011-09-09,234.09,238.51,233.4,233.4,122000000,yfinance
2011-09-14,231.92,232.68,224.16,225.15,119200000,yfinance
2011-09-15,231.65,233.01,224.54,228.58,140800000,yfinance
2011-09-16,234.94,238.49,233.32,237.5,157800000,yfinance
2011-09-19,234.58,237.5,233.74,235.32,112000000,yfinance
2011-09-20,235.29,238.11,231.55,237.53,119200000,yfinance
2011-09-21,238.08,241.85,236.57,239.51,117400000,yfinance
2011-09-22,233.2,234.77,230.02,232.05,124600000,yfinance
2011-09-23,223.64,224.8,218.58,218.62,172800000,yfinance
2011-09-26,221.85,221.96,212.92,214.18,170200000,yfinance
2011-09-27,221.23,225.37,219.76,225.29,141000000,yfinance
2011-09-28,227.28,228.95,223.82,223.82,140200000,yfinance
2011-09-29,222.51,230.54,221.76,230.37,142400000,yfinance
2011-09-30,228.79,231.23,226.61,230.41,128300000,yfinance
2011-10-04,218.92,221.99,215.53,221.93,129800000,yfinance
