date,open,high,low,close,adj_close,volume,symbol,market,source,fetched_at
2025-09-05,120.05999755859375,123.44000244140625,119.37000274658203,120.19999694824219,120.01371002197266,3531600,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-08,120.20999908447266,121.26000213623047,117.58999633789062,118.9000015258789,118.7157211303711,3738100,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-09,119.0,120.0,114.6500015258789,115.06999969482422,114.89165496826172,4724500,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-10,114.87999725341797,118.12000274658203,113.11000061035156,117.81999969482422,117.63739776611328,4412000,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-11,117.81999969482422,118.77999877929688,114.43000030517578,115.55999755859375,115.38090515136719,4023900,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-12,115.0,115.18000030517578,109.55999755859375,112.23999786376953,112.0660400390625,5904200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-15,112.25,114.29000091552734,110.91000366210938,114.06999969482422,113.89320373535156,3241300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-16,114.30000305175781,115.61000061035156,113.38999938964844,113.93000030517578,113.75342559814453,2871200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-17,113.75,116.33999633789062,112.80999755859375,114.31999969482422,114.14281463623047,2569300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-18,117.77999877929688,119.52999877929688,115.08999633789062,118.81999969482422,118.6358413696289,4876800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-19,119.5,120.5999984741211,117.54000091552734,119.8499984741211,119.66424560546875,9576500,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-22,126.45999908447266,135.47999572753906,126.0199966430664,135.17999267578125,134.97048950195312,7137400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-23,136.0,138.24000549316406,133.17999267578125,134.67999267578125,134.47125244140625,4341200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-24,134.50999450683594,134.6699981689453,131.02999877929688,133.2100067138672,133.0035400390625,3688700,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-25,131.36000061035156,133.14999389648438,128.58999633789062,132.8699951171875,132.66407775878906,2655300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-26,132.0,135.94000244140625,131.39999389648438,135.30999755859375,135.10028076171875,3276300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-29,137.11000061035156,137.27999877929688,133.5500030517578,134.3300018310547,134.12181091308594,2854200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-09-30,134.0,138.1300048828125,133.0,137.63999938964844,137.42666625976562,3014000,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-01,135.9199981689453,141.5399932861328,135.7899932861328,141.1199951171875,140.90127563476562,3177100,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-02,144.89999389648438,145.35000610351562,141.72000122070312,144.52999877929688,144.30599975585938,3307400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-03,146.47000122070312,149.4600067138672,144.82000732421875,145.63999938964844,145.41427612304688,2798300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-06,147.89999389648438,150.7100067138672,147.3000030517578,147.8699951171875,147.64080810546875,3706000,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-07,149.07000732421875,150.2899932861328,139.8000030517578,140.13999938964844,139.9228057861328,3689400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-08,140.5500030517578,144.8800048828125,140.1999969482422,144.60000610351562,144.3759002685547,2601400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-09,144.60000610351562,145.47000122070312,141.8000030517578,145.19000244140625,144.96499633789062,2039700,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-10,145.8000030517578,148.0,131.75,132.0800018310547,131.8752899169922,5757100,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-13,138.6999969482422,139.91000366210938,136.60000610351562,139.1300048828125,138.91436767578125,3344800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-14,135.6199951171875,138.89999389648438,135.0,136.97000122070312,136.75772094726562,3043200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-15,140.19000244140625,141.41000366210938,137.69000244140625,141.02999877929688,140.81141662597656,2373700,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-16,142.0,143.05999755859375,138.1699981689453,139.3000030517578,139.0841064453125,1783500,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-17,137.05999755859375,139.72000122070312,136.77999877929688,138.16000366210938,137.9458770751953,1924300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-20,140.83999633789062,141.4600067138672,138.72000122070312,139.19000244140625,138.97427368164062,2345700,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-21,138.89999389648438,144.3300018310547,138.8000030517578,143.3300018310547,143.10787963867188,2180200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-22,141.52999877929688,142.77999877929688,135.8300018310547,138.83999633789062,138.62481689453125,3917900,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-23,138.57000732421875,146.1199951171875,138.0,145.0399932861328,144.81520080566406,2813800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-24,147.55999755859375,149.0,144.07000732421875,144.27999877929688,144.056396484375,2079600,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-27,148.10000610351562,150.0800018310547,146.6999969482422,147.5,147.27139282226562,3940900,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-28,147.0500030517578,147.6199951171875,144.11000061035156,144.3800048828125,144.15625,5016800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-29,170.00999450683594,177.24000549316406,162.16000366210938,173.94000244140625,173.67041015625,12203800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-30,172.75,179.2100067138672,171.6999969482422,176.8800048828125,176.6058807373047,5268400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-10-31,180.0,185.91000366210938,178.0,181.75999450683594,181.47828674316406,4540000,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-03,182.7899932861328,184.57000732421875,180.19000244140625,183.07000732421875,182.78627014160156,3309900,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-04,176.25999450683594,182.32000732421875,175.10000610351562,175.64999389648438,175.3777618408203,3216500,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-05,177.0500030517578,188.94000244140625,176.5,187.58999633789062,187.2992706298828,4135300,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-06,187.75,191.55999755859375,182.85000610351562,185.02000427246094,184.73324584960938,4504200,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-07,180.5399932861328,182.5,174.85000610351562,182.27999877929688,181.99749755859375,3627400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-10,188.3800048828125,188.75,180.6699981689453,184.0800018310547,183.79470825195312,2954400,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
2025-11-11,183.36000061035156,183.36000061035156,175.64999389648438,177.22999572753906,176.955322265625,2928800,TER,us,Yahoo chart,2026-05-26 16:01:53 KST
