date,open,high,low,close,volume
2024-06-10,183.4989883813383,186.91987759226112,183.32889632671012,186.74977111816406,4202400
2024-06-11,186.3056097315997,186.95765806810627,183.78247682646355,186.5796661376953,4193200
2024-06-12,188.49801027416947,190.21789236645807,186.513516517445,188.0349578857422,4655700
2024-06-13,184.27386805640745,186.57965619971517,184.14156944586358,185.48345947265625,3409900
2024-06-14,183.17769290751525,184.86924079101794,182.45005767354277,183.23439025878906,3479100
2024-06-17,182.54454623135098,184.453438744666,181.5995519363689,184.17938232421875,3804900
2024-06-18,184.50070006809892,185.96542975901133,183.5462465565723,185.45513916015625,3036900
2024-06-20,183.80138444463145,183.80138444463145,181.60899082965412,182.15708923339844,5464900
2024-06-21,184.26444391916255,186.6174704998882,183.06429711959657,184.7747344970703,12516800
2024-06-24,184.82198948049788,185.74807986985482,182.71465619980384,183.2438507080078,3655700
2024-06-25,184.21717394577547,184.21717394577547,182.21379083109377,183.7730255126953,3456400
2024-06-26,183.14934670523598,184.26444750006576,181.60900135064094,182.47840881347656,3301000
2024-06-27,182.07203176311344,183.2343705979154,181.24989141892027,182.79022216796875,3874500
2024-06-28,183.4706247497285,187.00490837563518,182.85638426546103,183.82972717285156,8861000
2024-07-01,182.9792436938849,184.2549772968006,182.13819937689254,183.89588928222656,2873600
2024-07-02,184.26442929014416,188.10110353999377,183.75412433328154,187.50575256347656,4168700
2024-07-03,187.2317188157489,188.59251286793113,185.31338160646843,187.99716186523438,2454800
2024-07-05,188.99885714513795,189.14060052020943,186.3906781075437,187.85540771484375,2887900
2024-07-08,189.008287334071,190.6147890316,188.43184028741433,190.3879852294922,3927100
2024-07-09,191.26681742038832,191.26681742038832,188.12944422194622,189.15003967285156,3742300
2024-07-10,190.23680419806612,192.57094132136086,189.94385826606435,192.41973876953125,4559500
2024-07-11,192.59928103567296,192.77883225518244,188.8854604532782,188.98941040039062,5585400
2024-07-12,191.00223978158343,193.99786992703747,190.2367967198056,190.7659912109375,3683800
2024-07-15,190.75655353939723,191.90944776049855,189.7832105457661,190.66204833984375,3089500
2024-07-16,192.287448508319,195.39648803041865,191.4464041039412,195.25473022460938,3134400
2024-07-17,193.85615107972168,199.24261628806735,192.80720671655936,193.02455139160156,7792500
2024-07-18,193.5631718081369,195.61380757752653,192.09842785301066,194.54595947265625,5497200
2024-07-19,194.0640357668714,194.81057494139426,187.80817792999898,188.14837646484375,4868000
2024-07-22,191.92833707234686,194.66881461713098,189.95328814000857,194.555419921875,6063800
2024-07-23,189.55640915395782,191.8149450254016,186.57968278287473,187.38291931152344,6083300
2024-07-24,195.00903001836159,195.18858124771884,186.07883650652485,187.37347412109375,11049100
2024-07-25,187.37346644680417,190.63369385956796,183.44228674436502,186.3056182861328,9555400
2024-07-26,189.44299922790873,193.1379302212329,188.129457791801,190.87939453125,5384800
2024-07-29,192.08897778111773,192.90167338136055,189.71703307719935,190.7754364013672,3392000
2024-07-30,192.41028282527083,193.2418823924925,188.7248109604805,189.9344024658203,6062600
2024-07-31,194.47137267976504,194.47137267976504,189.74417455850678,193.85311889648438,7462400
2024-08-01,191.89376671014182,194.14797880492128,181.630904482369,183.88511657714844,7958500
2024-08-02,178.34944084682434,180.3563601581517,176.9798023402379,178.30189514160156,8050200
2024-08-05,175.5910987712062,179.51933718140003,171.27290145312838,172.3381805419922,8659900
2024-08-06,174.5543630635846,181.02216043660445,173.6793102591966,177.81678771972656,6210900
2024-08-07,180.94607008381348,182.16353613794567,174.74459239265627,175.07749938964844,5013000
2024-08-08,178.08310285616906,184.5318730721085,176.48518417163234,183.8565673828125,6180400
2024-08-09,181.68798820558277,183.99926697608925,180.6892815894344,182.81985473632812,3066500
2024-08-12,183.04810101440592,184.17046118603594,181.45968844817872,182.67715454101562,5235900
2024-08-13,184.33216494891948,188.05115064884404,183.95169770211945,187.61361694335938,4969000
2024-08-14,187.38530982773068,187.73724379491546,183.99923163828174,186.0537109375,3072000
2024-08-15,190.70483963497995,193.234892362217,188.80254697029187,192.06497192382812,5081900
2024-08-16,192.0649515800331,192.5595516841988,188.49815321154335,190.7333526611328,4236400
2024-08-19,190.7428777183593,191.22797163287328,188.32697243760558,190.85702514648438,3788900
2024-08-20,190.64774332440933,194.4618342950729,188.41254398806524,192.6451416015625,7111400
2024-08-21,196.2690633940307,200.57775537993103,194.8898895177713,198.19036865234375,8119300
2024-08-22,198.27597265613684,199.3983183722568,192.89248088218508,193.81509399414062,6879900
2024-08-23,196.7160966407959,200.22581450905372,196.2310027098922,199.62660217285156,6112000
2024-08-26,198.7895620650604,199.75021453253424,197.4104029342626,198.07620239257812,5806000
2024-08-27,197.76233908943783,200.79649814132907,197.4199258372075,200.3970184326172,4373400
2024-08-28,200.33993754643762,200.94867056063123,195.9075925766287,197.59112548828125,3998100
2024-08-29,200.34943766846376,203.93526295418286,199.40779769306099,200.77745056152344,5622800
2024-08-30,202.19468582685593,204.17307190798707,201.07232562576203,203.8686981201172,5860900
2024-09-03,201.59546002500673,201.59546002500673,191.36113082611627,191.96986389160156,9284000
2024-09-04,191.77011116993995,195.688843770658,190.5050848572008,194.03384399414062,4650400
2024-09-05,192.41689670233063,194.29065604819934,189.92488356210177,191.7035369873047,4107400
2024-09-06,191.6559784044662,192.00789788927733,187.11900651448116,187.8038330078125,6314400
2024-09-09,192.21715491716856,192.4073812771065,189.268610054778,191.34210205078125,4864100
2024-09-10,191.34209775776878,191.44672443038837,187.40435269070392,190.03903198242188,4859400
2024-09-11,189.9439172378022,192.91150362584392,185.51157190254932,192.5215301513672,5900500
2024-09-12,191.751091489457,192.13154418746245,185.15964037212848,186.4056396484375,7201000
2024-09-13,187.4804489148047,191.0662745513685,187.21412911025075,190.1626739501953,4617000
2024-09-16,189.01180392159577,189.75369691387593,186.4151784486152,188.77401733398438,3717800
2024-09-17,189.6965832880846,192.3693015461467,189.21148948143443,191.5513153076172,3478500
2024-09-18,192.77833171484184,194.95646494385258,190.19122704257964,190.9045867919922,4262100
2024-09-19,197.46746827357674,200.27334673353334,195.64126926391,197.4579620361328,5155600
2024-09-20,194.39531239782846,195.23231138883529,191.25652626986025,193.36807250976562,14502900
2024-09-23,193.9292290433883,194.81380269729655,192.93052247155956,193.8911895751953,2757400
2024-09-24,195.99319665086435,198.23790241229807,194.61403747204716,194.92791748046875,5573200
2024-09-25,193.21583899665526,195.33689096450996,193.19681200887013,195.0420379638672,4124600
2024-09-26,200.0450618097409,200.28284834317012,195.04202385785354,199.03683471679688,4521300
2024-09-27,200.53018438596501,201.3767040471118,198.60886471751655,198.92274475097656,3074400
2024-09-30,196.0312468470672,198.50421837539756,194.12895435757926,196.47828674316406,5459100
2024-10-01,195.99318737927328,196.90629413451737,189.9438968516323,191.75108337402344,9039900
2024-10-02,192.9970983358224,195.69835033229853,191.85572568369705,193.49168395996094,4389400
2024-10-03,191.25649989525485,193.50120574554492,190.48607371378654,191.8176727294922,3167000
2024-10-04,196.03123931327713,196.27853210260432,191.50377407375592,192.80685424804688,4092900
2024-10-07,190.79043829235496,192.87345107108496,189.91538541292041,191.43722534179688,2772400
2024-10-08,191.16136326890478,193.3204692524582,189.5063781343214,192.33128356933594,6283700
2024-10-09,191.70351792182151,195.4605424779761,191.54182481076404,194.95643615722656,3214900
2024-10-10,192.09351862040887,193.42511767310543,191.06627884546813,192.57859802246094,3649400
2024-10-11,191.53232254163197,195.73638737480235,191.53232254163197,195.08961486816406,2815800
2024-10-14,196.06929383101723,198.75153331047284,195.59372069040515,198.4661865234375,3291600
2024-10-15,197.85742461823415,198.45663681891378,189.18296192993017,190.07704162597656,6818800
2024-10-16,192.11251610365605,192.22666352307922,189.54442412340515,190.8855438232422,3311300
2024-10-17,194.88987700978154,194.88987700978154,188.43159982164167,188.61231994628906,4686900
2024-10-18,189.73466992313138,190.19123062095113,187.1285382114493,188.77401733398438,4029500
2024-10-21,187.12853044108712,188.26038235991115,184.63651723732656,186.20591735839844,4948100
2024-10-22,184.15143745625235,185.7588770405116,183.42857148625345,184.4938507080078,7910800
2024-10-23,191.218432850471,193.08268585842183,188.32695467964297,191.88424682617188,10548500
2024-10-24,192.91148900979732,196.80167368140042,191.38014296979296,196.51632690429688,9309300
2024-10-25,197.4674809910587,201.06281279059925,196.64949460467253,196.82069396972656,5103100
2024-10-28,196.28804189715035,197.18212167118628,194.98497621258372,195.77442932128906,4409000
2024-10-29,196.06928668422944,201.253030825284,195.27983355798835,201.02476501464844,5522800
2024-10-30,197.83840726797732,200.51112573633833,197.60062072078023,197.77182006835938,4914000
2024-10-31,199.10265860909502,199.10265860909502,192.82204719207508,194.50709533691406,6543000
2024-11-01,194.43046525703198,197.9154306326647,194.43046525703198,196.1920928955078,4208800
2024-11-04,194.82303639594136,196.84316866096208,193.92307018182422,194.9857940673828,3693800
2024-11-05,193.46352536513345,196.76658147397484,191.21360974709594,193.8369140625,5253200
2024-11-06,200.03131711089986,206.49382339449429,199.4951707788688,205.81407165527344,8527500
2024-11-07,206.60873119629306,208.9543788040445,206.38853135952098,208.2746124267578,6020800
2024-11-08,207.80549215511593,211.0032326436343,207.00127262067883,210.90748596191406,5020700
2024-11-11,208.7245887546486,210.3713322824436,205.20133304515647,206.6757354736328,6154700
2024-11-12,206.21618255266722,206.23533481002983,200.09834382115133,203.71734619140625,4990800
2024-11-13,202.02272185250436,202.82695593414357,196.59421849811972,196.95803833007812,7921800
2024-11-14,196.52721599047865,198.2505539413406,195.67512314378746,197.2261199951172,4783800
2024-11-15,195.16770575479023,196.0485197187618,191.74975079705646,192.55397033691406,5970400
2024-11-18,193.58799062472096,198.8250161490178,192.94652869986464,198.3558807373047,7912100
2024-11-19,197.12080415566587,197.54206616614513,192.4295090947295,192.506103515625,6716000
2024-11-20,189.64346378509842,191.09872869085856,188.10203562667377,189.748779296875,7344400
2024-11-21,189.80620463791746,191.89334782040675,187.556289180746,189.75833129882812,8080300
2024-11-22,189.34664893015216,190.43809383862765,188.13073626431552,189.5668487548828,7861300
2024-11-25,192.85078303256057,195.4453664401765,191.44340600773836,194.28689575195312,9274400
2024-11-26,197.22610427656898,198.0973493113032,190.6678517616801,192.3911895751953,5260500
2024-11-27,192.09441598127003,192.84119334585802,189.23175967775447,190.7061767578125,4732200
2024-11-29,191.55826892298106,193.88476425588908,191.1944490665853,192.46780395507812,3167400
2024-12-02,191.27105049444214,193.78903928118143,190.02641664283024,193.1858673095703,6373900
2024-12-03,190.19875246024992,191.45295510183593,188.60945104178393,188.82965087890625,4743400
2024-12-04,189.27963475316216,190.01684329994802,187.2786547350646,188.27435302734375,7172600
2024-12-05,187.41267480421288,188.7530405812229,184.02345584869255,184.77023315429688,6049100
2024-12-06,185.41171093217807,186.8286712483315,184.39686038376175,184.8755645751953,5140700
2024-12-09,183.85112944092475,189.3849486905006,183.43945085114063,185.2106475830078,3880300
2024-12-10,185.09577081275407,185.4404384268594,181.37145265898235,182.07992553710938,6064200
2024-12-11,183.95643350583325,184.75108416227724,182.10864246567036,183.53517150878906,6057800
2024-12-12,182.38629870469433,184.07133221567804,181.52463699531583,183.54476928710938,4025600
2024-12-13,180.76827644023658,184.0426113929562,180.28000341875045,183.42987060546875,4772800
2024-12-16,183.68836870500465,183.80325303346612,181.1225067011914,181.39059448242188,5829700
2024-12-17,181.06505908892015,183.34369559412593,179.5236310899089,180.10765075683594,5046100
2024-12-18,180.4236003134148,184.1670704613616,176.93863450999598,177.12054443359375,8281900
2024-12-19,178.93002431839827,179.38000735721647,176.04823079244554,176.61309814453125,6290000
2024-12-20,176.61311453987577,180.4427478324689,175.540821892795,178.910888671875,11462100
2024-12-23,178.1066770111961,182.30969915010974,178.1066770111961,182.0416259765625,4297600
2024-12-24,182.37673932175983,184.27240394586815,182.35758706243533,184.24368286132812,1950900
2024-12-26,182.49161110250276,184.51174335987292,182.40544785481168,183.56390380859375,2019000
2024-12-27,182.3288501623229,183.6117738568051,181.61079389332127,183.03732299804688,3253500
2024-12-30,181.61079541612204,181.61079541612204,179.23642675720404,179.95448303222656,4065200
2024-12-31,180.62466424077107,181.04592625551408,178.13539666759448,179.5236358642578,3050500
2025-01-02,181.25655551248713,182.03205393718767,177.09182335382386,178.98748779296875,4500500
2025-01-03,180.88316695691395,182.9990460068134,179.22685447001197,182.3958740234375,4574100
2025-01-06,182.1469294484636,185.517010761863,181.17995232268183,183.99472045898438,4682000
2025-01-07,185.56491145411562,186.70421522993536,182.95117588604643,184.0234832763672,5035200
2025-01-08,183.63092379119337,184.4830166352724,180.05979474902978,183.49688720703125,4230400
2025-01-10,184.69364965227666,184.69364965227666,180.39488087020897,182.0511932373047,7223500
2025-01-13,181.7448576805189,183.5926490770363,179.65769954961658,182.95118713378906,4799600
2025-01-14,183.3819876237621,185.36382990640178,182.07991169268885,185.25851440429688,4254200
2025-01-15,187.33608943347747,190.47638764173686,187.33608943347747,189.09771728515625,6288600
2025-01-16,186.85739091258324,187.15418517159614,179.16940282523493,179.3896026611328,7463300
2025-01-17,184.3394174207607,184.71280613369893,181.92675863357226,184.2245330810547,5407500
2025-01-21,183.5064391184794,188.13072275921556,183.43942813702037,186.91481018066406,9621700
2025-01-22,187.43182143740538,190.21786840523893,186.98183838100422,188.6573028564453,8222000
2025-01-23,186.52230118538228,192.09441016861433,185.55530940516658,192.06568908691406,12694700
2025-01-24,181.9075780629086,183.3436905213,177.14925761539385,177.61839294433594,15856600
2025-01-27,177.8386053647824,181.99375419933816,175.87591527747065,179.0640869140625,11771300
2025-01-28,177.6279794303099,177.74286376355928,172.6686109264736,172.87924194335938,8720300
2025-01-29,173.31006677366494,173.93237636897697,171.9601174693688,172.59201049804688,4183800
2025-01-30,172.8122018011251,177.9534798059033,172.59200197796235,177.37904357910156,5807100
2025-01-31,177.25364172235007,182.31720481530604,176.57850292000705,178.05416870117188,6333700
2025-02-03,176.53028807426554,176.80034361433755,172.0647026445584,174.51451110839844,6311500
2025-02-04,173.62719303191898,176.54959149016597,173.1738823401319,174.14801025390625,5785700
2025-02-05,173.13528112330783,175.34396746575396,171.3799201543766,175.14141845703125,5939800
2025-02-06,174.84243155051772,177.11862444522828,173.93581022645765,176.7714080810547,5089800
2025-02-07,176.7714153604608,176.90644313448186,172.9134621405172,173.60789489746094,5380500
2025-02-10,174.90995164110052,175.12214023541577,172.73985305854058,173.90687561035156,3827100
2025-02-11,172.98096093033263,175.46932748327424,172.6433841806409,172.88450622558594,3795300
2025-02-12,171.17737633378673,174.03226812670755,170.48294359272282,173.59825134277344,5364200
2025-02-13,172.788071572514,175.82621852154466,172.26725437043862,174.37948608398438,3737300
2025-02-14,175.0642623900731,178.16027624406053,174.63024560749403,176.53028869628906,4137900
2025-02-18,176.1734423692056,180.51363986601467,176.1734423692056,179.8385009765625,4578700
2025-02-19,183.0020378523515,190.93013383099154,182.0278951306849,189.34837341308594,8438300
2025-02-20,192.24181587246028,197.006375733369,190.88188383136912,196.717041015625,9190100
2025-02-21,197.39218741678633,198.44347617649794,194.16114558741026,194.82664489746094,7349900
2025-02-24,194.96166691096218,198.11554781375196,193.2352393069372,193.61138916015625,7675900
2025-02-25,194.3154497302906,195.395671865464,191.3930514977303,192.87835693359375,7441700
2025-02-26,192.87838040119667,192.92660776315392,188.82753218450492,191.20018005371094,5611600
2025-02-27,190.48643132344588,191.0940636365765,184.36192498653048,184.50660705566406,7761700
2025-02-28,186.42594478144733,189.2808367435741,184.68987754281628,189.0300750732422,9024500
2025-03-03,191.9428086160331,193.13877938949616,186.7152838687502,187.48687744140625,6141300
2025-03-04,189.3965643716911,191.86565208597366,186.16553736937746,187.9208984375,7159200
2025-03-05,188.28742317940814,190.00421132263432,183.98579851868737,188.625,5484400
2025-03-06,184.95025540042752,187.03355348353602,181.80602910758728,182.61619567871094,7120200
2025-03-07,182.5390535393066,184.477684474904,179.1247713732842,183.7543182373047,7706800
2025-03-10,180.95729343196427,182.7416027062274,176.89680585649666,179.867431640625,9161400
2025-03-11,181.42990192366184,181.6420905354621,170.62763547705237,171.0423583984375,7981400
2025-03-12,171.9200191060538,173.24136321108648,168.54431045600506,169.4605712890625,5436100
2025-03-13,168.86261927760023,170.68550164012765,165.97879386093553,167.4351806640625,5277200
2025-03-14,169.36415651961323,170.5794065164943,168.8529788824147,170.155029296875,4927900
2025-03-17,169.84639251085028,174.85207433704463,169.72100432465385,173.59825134277344,4940400
2025-03-18,173.31854517154468,173.38606641690365,171.30276814957074,173.07742309570312,4077700
2025-03-19,173.28960452548665,177.13791799468794,172.3637040340651,175.28610229492188,5675000
2025-03-20,173.0388585595408,175.35362471483091,172.161170628198,174.2637481689453,4980000
2025-03-21,172.19009143070906,173.4535687226521,170.75299859558643,172.64340209960938,11822900
2025-03-24,176.45313816615973,180.82226915183526,176.04805483098258,178.92222595214844,5694900
2025-03-25,177.9384429190316,180.20498148119842,177.03182160739576,177.43690490722656,4357200
