date,open,high,low,close,volume,source,updated_at
2025-12-31,27.610000610351562,27.610000610351562,27.43000030517578,27.43000030517578,14202400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-02,27.5,27.809999465942383,27.280000686645508,27.729999542236328,22356200,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-05,27.940000534057617,28.020000457763672,27.739999771118164,27.90999984741211,27203800,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-06,27.940000534057617,28.1299991607666,27.93000030517578,28.09000015258789,18746400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-07,28.18000030517578,28.25,27.860000610351562,27.899999618530273,18870000,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-08,27.940000534057617,28.489999771118164,27.90999984741211,28.420000076293945,22373700,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-09,28.5,28.639999389648438,28.459999084472656,28.549999237060547,17651900,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-12,28.56999969482422,28.56999969482422,28.3700008392334,28.5,24490500,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-13,28.59000015258789,28.690000534057617,28.489999771118164,28.6200008392334,18445500,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-14,28.6200008392334,29.110000610351562,28.610000610351562,29.040000915527344,21696900,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-15,29.0,29.09000015258789,28.829999923706055,29.030000686645508,18253100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-16,28.989999771118164,29.020000457763672,28.860000610351562,28.899999618530273,19792300,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-20,28.700000762939453,28.81999969482422,28.56999969482422,28.700000762939453,24135600,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-21,28.81999969482422,29.190000534057617,28.809999465942383,29.149999618530273,20011400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-22,29.15999984741211,29.260000228881836,29.1200008392334,29.170000076293945,16446000,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-23,29.239999771118164,29.299999237060547,29.040000915527344,29.139999389648438,19242800,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-26,29.229999542236328,29.290000915527344,29.06999969482422,29.18000030517578,19124800,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-27,29.18000030517578,29.389999389648438,29.1299991607666,29.3700008392334,14886200,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-28,29.3700008392334,29.489999771118164,29.170000076293945,29.299999237060547,19578400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-29,29.459999084472656,29.790000915527344,29.3700008392334,29.3700008392334,27141900,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-01-30,29.399999618530273,29.81999969482422,29.3799991607666,29.81999969482422,22771200,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-02,29.649999618530273,30.079999923706055,29.56999969482422,30.0,23678900,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-03,29.979999542236328,30.549999237060547,29.959999084472656,30.5,28640100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-04,30.600000381469727,31.079999923706055,30.56999969482422,31.010000228881836,34231600,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-05,30.979999542236328,31.06999969482422,30.75,30.969999313354492,31348400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-06,31.09000015258789,31.489999771118164,31.059999465942383,31.469999313354492,27103700,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-09,31.420000076293945,31.489999771118164,31.170000076293945,31.350000381469727,25465200,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-10,31.350000381469727,31.399999618530273,31.209999084472656,31.299999237060547,20978000,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-11,31.399999618530273,31.739999771118164,31.360000610351562,31.639999389648438,23176800,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-12,31.6200008392334,31.770000457763672,31.299999237060547,31.34000015258789,23196300,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-13,31.299999237060547,31.709999084472656,31.290000915527344,31.610000610351562,29146500,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-17,31.700000762939453,31.8799991607666,31.209999084472656,31.420000076293945,32704700,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-18,31.510000228881836,31.579999923706055,31.40999984741211,31.559999465942383,18596800,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-19,31.600000381469727,31.75,31.459999084472656,31.56999969482422,17596100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-20,31.549999237060547,31.65999984741211,31.360000610351562,31.610000610351562,19596700,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-23,31.549999237060547,31.799999237060547,31.420000076293945,31.530000686645508,21142700,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-24,31.549999237060547,31.700000762939453,31.5,31.639999389648438,16288400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-25,31.65999984741211,31.65999984741211,31.280000686645508,31.510000228881836,21818500,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-26,31.5,31.639999389648438,31.420000076293945,31.510000228881836,20177100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-02-27,31.510000228881836,31.790000915527344,31.399999618530273,31.770000457763672,17423600,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-02,31.920000076293945,31.950000762939453,31.610000610351562,31.860000610351562,24565200,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-03,31.639999389648438,31.719999313354492,31.280000686645508,31.59000015258789,29375000,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-04,31.59000015258789,31.6299991607666,31.270000457763672,31.540000915527344,36141400,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-05,31.459999084472656,31.530000686645508,31.059999465942383,31.260000228881836,21798300,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-06,31.110000610351562,31.149999618530273,30.780000686645508,31.1299991607666,30706100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-09,31.0,31.079999923706055,30.610000610351562,31.020000457763672,27754600,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-10,30.950000762939453,31.170000076293945,30.81999969482422,30.899999618530273,26716000,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-11,30.850000381469727,31.030000686645508,30.809999465942383,31.0,19947100,Yahoo daily chart,2026-06-25 00:03:06 KST
2026-03-12,30.860000610351562,31.100000381469727,30.739999771118164,30.81999969482422,22684200,Yahoo daily chart,2026-06-25 00:03:06 KST
