date,market,symbol,name,open,high,low,close,volume,source
2016-03-31,us,RIOT,,2.309999942779541,2.8350000381469727,2.309999942779541,2.700000047683716,81900,Yahoo Finance daily
2016-04-01,us,RIOT,,2.5999999046325684,2.690000057220459,2.470000028610229,2.630000114440918,47900,Yahoo Finance daily
2016-04-04,us,RIOT,,2.630000114440918,2.630000114440918,2.630000114440918,2.630000114440918,0,Yahoo Finance daily
2016-04-05,us,RIOT,,2.880000114440918,3.299999952316284,2.690000057220459,3.0199999809265137,223900,Yahoo Finance daily
2016-04-06,us,RIOT,,3.0899999141693115,3.180000066757202,2.8499999046325684,2.9800000190734863,20600,Yahoo Finance daily
2016-04-07,us,RIOT,,2.9800000190734863,3.109999895095825,2.802000045776367,2.990000009536743,134700,Yahoo Finance daily
2016-04-08,us,RIOT,,3.009999990463257,3.1480000019073486,2.900000095367432,2.970000028610229,18300,Yahoo Finance daily
2016-04-11,us,RIOT,,2.990000009536743,3.140000104904175,2.859999895095825,3.039999961853028,46400,Yahoo Finance daily
2016-04-12,us,RIOT,,3.0899999141693115,3.0999999046325684,2.950000047683716,3.039999961853028,191500,Yahoo Finance daily
2016-04-13,us,RIOT,,3.0299999713897705,3.109999895095825,2.984999895095825,2.990000009536743,48200,Yahoo Finance daily
2016-04-14,us,RIOT,,3.009999990463257,3.140000104904175,2.9800000190734863,3.003999948501587,33400,Yahoo Finance daily
2016-04-15,us,RIOT,,3.1600000858306885,3.1600000858306885,2.9800000190734863,3.0299999713897705,7000,Yahoo Finance daily
2016-04-18,us,RIOT,,3.049999952316284,3.0969998836517334,2.9800000190734863,2.9800000190734863,4000,Yahoo Finance daily
2016-04-19,us,RIOT,,2.9800000190734863,3.125,2.9800000190734863,3.0999999046325684,26000,Yahoo Finance daily
2016-04-20,us,RIOT,,3.059999942779541,3.0999999046325684,2.990000009536743,3.0799999237060547,26200,Yahoo Finance daily
2016-04-21,us,RIOT,,3.039999961853028,3.0999999046325684,2.9600000381469727,3.0199999809265137,16500,Yahoo Finance daily
2016-04-22,us,RIOT,,3.0,3.0999999046325684,3.0,3.069999933242798,28100,Yahoo Finance daily
2016-04-25,us,RIOT,,3.0199999809265137,3.039999961853028,2.890000104904175,2.9100000858306885,7300,Yahoo Finance daily
2016-04-26,us,RIOT,,2.809999942779541,3.069999933242798,2.799999952316284,3.059999942779541,41700,Yahoo Finance daily
2016-04-27,us,RIOT,,3.0199999809265137,3.069999933242798,2.9800000190734863,3.0199999809265137,20600,Yahoo Finance daily
2016-04-28,us,RIOT,,3.006999969482422,3.009999990463257,2.9200000762939453,3.0,5000,Yahoo Finance daily
2016-04-29,us,RIOT,,3.180000066757202,3.180000066757202,2.970000028610229,3.0899999141693115,10200,Yahoo Finance daily
2016-05-02,us,RIOT,,3.0899999141693115,3.0899999141693115,3.0899999141693115,3.0899999141693115,0,Yahoo Finance daily
2016-05-03,us,RIOT,,2.680000066757202,2.990000009536743,2.5199999809265137,2.950000047683716,25600,Yahoo Finance daily
2016-05-04,us,RIOT,,2.940000057220459,2.940000057220459,2.799999952316284,2.890000104904175,2600,Yahoo Finance daily
2016-05-05,us,RIOT,,2.7699999809265137,2.990000009536743,2.5899999141693115,2.880000114440918,36300,Yahoo Finance daily
2016-05-06,us,RIOT,,2.7219998836517334,2.8499999046325684,2.7219998836517334,2.809999942779541,8400,Yahoo Finance daily
2016-05-09,us,RIOT,,2.880000114440918,2.9200000762939453,2.8299999237060547,2.8299999237060547,26400,Yahoo Finance daily
2016-05-10,us,RIOT,,2.720000028610229,3.140000104904175,2.720000028610229,3.1070001125335693,73900,Yahoo Finance daily
2016-05-11,us,RIOT,,2.690000057220459,3.150000095367432,2.690000057220459,3.119999885559082,45300,Yahoo Finance daily
2016-05-12,us,RIOT,,3.119999885559082,3.150000095367432,3.009999990463257,3.009999990463257,23300,Yahoo Finance daily
2016-05-13,us,RIOT,,3.009999990463257,3.200000047683716,3.0,3.200000047683716,37700,Yahoo Finance daily
2016-05-16,us,RIOT,,3.1700000762939453,3.908999919891357,3.1700000762939453,3.5899999141693115,228700,Yahoo Finance daily
2016-05-17,us,RIOT,,3.75,4.429999828338623,3.75,4.429999828338623,491700,Yahoo Finance daily
2016-05-18,us,RIOT,,6.0,6.650000095367432,3.3399999141693115,3.630000114440918,2137500,Yahoo Finance daily
2016-05-19,us,RIOT,,3.400000095367432,4.039999961853027,3.390000104904175,3.9700000286102295,182400,Yahoo Finance daily
2016-05-20,us,RIOT,,4.0,4.0,3.5999999046325684,3.660000085830689,131400,Yahoo Finance daily
2016-05-23,us,RIOT,,3.690000057220459,3.819999933242798,3.4200000762939453,3.539999961853028,70800,Yahoo Finance daily
2016-05-24,us,RIOT,,3.5199999809265137,3.660000085830689,3.3299999237060547,3.400000095367432,44700,Yahoo Finance daily
2016-05-25,us,RIOT,,3.369999885559082,3.609999895095825,3.2100000381469727,3.470000028610229,146700,Yahoo Finance daily
2016-05-26,us,RIOT,,3.470000028610229,3.549999952316284,3.2799999713897705,3.440000057220459,26900,Yahoo Finance daily
2016-05-27,us,RIOT,,3.4100000858306885,3.5,3.220000028610229,3.380000114440918,34200,Yahoo Finance daily
2016-05-31,us,RIOT,,3.359999895095825,3.4200000762939453,3.25,3.3399999141693115,19800,Yahoo Finance daily
2016-06-01,us,RIOT,,3.309999942779541,3.509999990463257,3.2300000190734863,3.4200000762939453,58200,Yahoo Finance daily
2016-06-02,us,RIOT,,3.430000066757202,3.799999952316284,3.430000066757202,3.690000057220459,39400,Yahoo Finance daily
2016-06-03,us,RIOT,,3.703999996185303,3.703999996185303,3.490000009536743,3.5810000896453857,14700,Yahoo Finance daily
2016-06-06,us,RIOT,,3.549999952316284,3.849999904632568,3.549999952316284,3.740000009536743,19300,Yahoo Finance daily
2016-06-07,us,RIOT,,3.690000057220459,3.900000095367432,3.5999999046325684,3.609999895095825,47300,Yahoo Finance daily
2016-06-08,us,RIOT,,3.700999975204468,3.7799999713897705,3.700000047683716,3.7100000381469727,36700,Yahoo Finance daily
