date,symbol,name,open,high,low,close,volume,source
2025-12-01,AAPL,Apple,278.010009765625,283.4200134277344,276.1400146484375,283.1000061035156,46587700,Yahoo Finance AAPL
2025-12-02,AAPL,Apple,283.0,287.3999938964844,282.6300048828125,286.19000244140625,53669500,Yahoo Finance AAPL
2025-12-03,AAPL,Apple,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,43538700,Yahoo Finance AAPL
2025-12-04,AAPL,Apple,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,43989100,Yahoo Finance AAPL
2025-12-05,AAPL,Apple,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,47265800,Yahoo Finance AAPL
2025-12-08,AAPL,Apple,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,38211800,Yahoo Finance AAPL
2025-12-09,AAPL,Apple,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,32193300,Yahoo Finance AAPL
2025-12-10,AAPL,Apple,277.75,279.75,276.44000244140625,278.7799987792969,33038300,Yahoo Finance AAPL
2025-12-11,AAPL,Apple,279.1000061035156,279.5899963378906,273.80999755859375,278.0299987792969,33248000,Yahoo Finance AAPL
2025-12-12,AAPL,Apple,277.8999938964844,279.2200012207031,276.82000732421875,278.2799987792969,39532900,Yahoo Finance AAPL
2025-12-15,AAPL,Apple,280.1499938964844,280.1499938964844,272.8399963378906,274.1099853515625,50409100,Yahoo Finance AAPL
2025-12-16,AAPL,Apple,272.82000732421875,275.5,271.7900085449219,274.6099853515625,37648600,Yahoo Finance AAPL
2025-12-17,AAPL,Apple,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,50138700,Yahoo Finance AAPL
2025-12-18,AAPL,Apple,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,51630700,Yahoo Finance AAPL
2025-12-19,AAPL,Apple,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,144632000,Yahoo Finance AAPL
2025-12-22,AAPL,Apple,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,36571800,Yahoo Finance AAPL
2025-12-23,AAPL,Apple,270.8399963378906,272.5,269.55999755859375,272.3599853515625,29642000,Yahoo Finance AAPL
