date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2014-04-28,kr,086790,37150,37200,36900,37000,1036874,,FinanceDataReader,
2014-04-29,kr,086790,36850,36950,36200,36450,1548967,,FinanceDataReader,
2014-04-30,kr,086790,36450,36850,36250,36350,1217564,,FinanceDataReader,
2014-05-02,kr,086790,36400,36700,36050,36300,810829,,FinanceDataReader,
2014-05-07,kr,086790,36900,36950,35350,35450,1296084,,FinanceDataReader,
2014-05-08,kr,086790,35500,36500,34800,36250,1540074,,FinanceDataReader,
2014-05-09,kr,086790,36100,36350,35500,36200,978012,,FinanceDataReader,
2014-05-12,kr,086790,36200,36550,35900,36000,879831,,FinanceDataReader,
2014-05-13,kr,086790,36200,37050,35500,36700,1039679,,FinanceDataReader,
2014-05-14,kr,086790,36900,37800,36850,37800,1133890,,FinanceDataReader,
2014-05-15,kr,086790,37800,38000,37500,37800,763298,,FinanceDataReader,
2014-05-16,kr,086790,37400,38100,37400,38100,669399,,FinanceDataReader,
2014-05-19,kr,086790,37950,38150,37450,38150,753422,,FinanceDataReader,
2014-05-20,kr,086790,38100,38100,37350,37750,484688,,FinanceDataReader,
2014-05-21,kr,086790,37750,37850,36600,36900,1087725,,FinanceDataReader,
2014-05-22,kr,086790,37100,37850,37000,37600,556542,,FinanceDataReader,
2014-05-23,kr,086790,37800,38050,37550,37750,774912,,FinanceDataReader,
2014-05-26,kr,086790,37500,37800,37500,37600,592444,,FinanceDataReader,
2014-05-27,kr,086790,37850,37850,36700,37200,500617,,FinanceDataReader,
2014-05-28,kr,086790,37200,37700,36800,37200,636882,,FinanceDataReader,
2014-05-29,kr,086790,37400,37550,36850,37200,639538,,FinanceDataReader,
2014-05-30,kr,086790,37200,37750,36550,37050,1483142,,FinanceDataReader,
2014-06-02,kr,086790,37400,37450,37100,37300,458842,,FinanceDataReader,
2014-06-03,kr,086790,37300,37300,36550,36750,1222874,,FinanceDataReader,
2014-06-05,kr,086790,37100,37200,35700,36100,958648,,FinanceDataReader,
2014-06-09,kr,086790,36500,37400,36450,37250,1142391,,FinanceDataReader,
2014-06-10,kr,086790,37700,37900,37450,37850,1299420,,FinanceDataReader,
2014-06-11,kr,086790,37950,38700,37750,38700,1291295,,FinanceDataReader,
2014-06-12,kr,086790,38350,38650,37900,38000,883340,,FinanceDataReader,
2014-06-13,kr,086790,37800,37950,37350,37450,538036,,FinanceDataReader,
2014-06-16,kr,086790,37450,38150,37000,37900,487300,,FinanceDataReader,
2014-06-17,kr,086790,38250,38250,37700,38100,513352,,FinanceDataReader,
2014-06-18,kr,086790,37550,38050,37500,37700,665701,,FinanceDataReader,
2014-06-19,kr,086790,38100,38250,37700,37800,606540,,FinanceDataReader,
2014-06-20,kr,086790,37650,37950,37450,37750,674156,,FinanceDataReader,
2014-06-23,kr,086790,37550,37850,37550,37800,534449,,FinanceDataReader,
2014-06-24,kr,086790,37650,38550,37500,38300,980625,,FinanceDataReader,
2014-06-25,kr,086790,38300,38500,37100,37300,1322574,,FinanceDataReader,
2014-06-26,kr,086790,37300,37700,37150,37500,742910,,FinanceDataReader,
2014-06-27,kr,086790,37500,37500,37100,37300,495664,,FinanceDataReader,
2014-06-30,kr,086790,37400,37700,36950,37500,797476,,FinanceDataReader,
2014-07-01,kr,086790,37200,37450,37000,37100,472251,,FinanceDataReader,
2014-07-02,kr,086790,37300,37350,37050,37150,825917,,FinanceDataReader,
2014-07-03,kr,086790,37300,37350,36700,37000,884399,,FinanceDataReader,
2014-07-04,kr,086790,37200,37550,36900,36900,551176,,FinanceDataReader,
2014-07-07,kr,086790,37100,37100,36600,36850,455448,,FinanceDataReader,
2014-07-08,kr,086790,36900,36900,36450,36650,641343,,FinanceDataReader,
2014-07-09,kr,086790,36700,36850,36100,36650,1034536,,FinanceDataReader,
2014-07-10,kr,086790,36700,36700,36300,36600,785253,,FinanceDataReader,
2014-07-11,kr,086790,36400,36450,36100,36250,855396,,FinanceDataReader,
2014-07-14,kr,086790,36400,36550,36100,36150,637283,,FinanceDataReader,
2014-07-15,kr,086790,36400,37200,36400,37100,1002501,,FinanceDataReader,
2014-07-16,kr,086790,37000,37800,37000,37550,955448,,FinanceDataReader,
2014-07-17,kr,086790,37550,37950,37550,37850,1098282,,FinanceDataReader,
2014-07-18,kr,086790,37150,37650,37050,37500,773577,,FinanceDataReader,
2014-07-21,kr,086790,38200,38400,37800,37950,1497781,,FinanceDataReader,
2014-07-22,kr,086790,37750,38850,37700,38750,955044,,FinanceDataReader,
2014-07-23,kr,086790,38800,39150,38600,39150,669085,,FinanceDataReader,
2014-07-24,kr,086790,39450,39600,38500,38900,866082,,FinanceDataReader,
2014-07-25,kr,086790,39300,39600,38850,39500,891156,,FinanceDataReader,
2014-07-28,kr,086790,39200,41250,39050,40700,1293110,,FinanceDataReader,
2014-07-29,kr,086790,41500,41900,41200,41550,1933668,,FinanceDataReader,
2014-07-30,kr,086790,41300,42300,41000,42050,2093281,,FinanceDataReader,
2014-07-31,kr,086790,42300,42900,41300,41900,2244178,,FinanceDataReader,
2014-08-01,kr,086790,41900,42450,41550,42150,1025159,,FinanceDataReader,
2014-08-04,kr,086790,42200,42400,41000,41500,1269174,,FinanceDataReader,
2014-08-05,kr,086790,41850,41850,41100,41450,592870,,FinanceDataReader,
