date,market,symbol,open,high,low,close,volume,tradingValue,source,updatedAt
2019-11-13,kr,272210,10371,10818,9611,9925,15462185,nan,FinanceDataReader,2026-07-22T22:31:02
2019-11-14,kr,272210,9969,10505,9656,10416,3649312,0.049471032745591836,FinanceDataReader,2026-07-22T22:31:02
2019-11-15,kr,272210,10684,11176,10371,10908,5304317,0.047235023041474644,FinanceDataReader,2026-07-22T22:31:02
2019-11-18,kr,272210,10908,11221,10729,10908,2652187,0.0,FinanceDataReader,2026-07-22T22:31:02
2019-11-19,kr,272210,10997,11042,10416,10640,1411800,-0.02456912357902452,FinanceDataReader,2026-07-22T22:31:02
2019-11-20,kr,272210,10595,10595,10014,10059,1859794,-0.05460526315789471,FinanceDataReader,2026-07-22T22:31:02
2019-11-21,kr,272210,10058,10192,9611,9656,1441331,-0.040063624614772864,FinanceDataReader,2026-07-22T22:31:02
2019-11-22,kr,272210,9745,9969,9656,9701,953073,0.004660314830157386,FinanceDataReader,2026-07-22T22:31:02
2019-11-25,kr,272210,9835,9924,9701,9835,596616,0.013813008968147633,FinanceDataReader,2026-07-22T22:31:02
2019-11-26,kr,272210,9835,9880,9477,9567,1143632,-0.027249618708693468,FinanceDataReader,2026-07-22T22:31:02
2019-11-27,kr,272210,9567,9656,9164,9209,1139149,-0.03742029894428767,FinanceDataReader,2026-07-22T22:31:02
2019-11-28,kr,272210,9254,9522,9119,9254,673064,0.004886524052557295,FinanceDataReader,2026-07-22T22:31:02
2019-11-29,kr,272210,9343,9388,9030,9031,624067,-0.024097687486492325,FinanceDataReader,2026-07-22T22:31:02
2019-12-02,kr,272210,9030,9298,8708,9165,1043572,0.014837780976636017,FinanceDataReader,2026-07-22T22:31:02
2019-12-03,kr,272210,9119,9298,8932,9254,458199,0.009710856519367095,FinanceDataReader,2026-07-22T22:31:02
2019-12-04,kr,272210,9164,9522,9120,9299,605963,0.004862762048843727,FinanceDataReader,2026-07-22T22:31:02
2019-12-05,kr,272210,9298,9745,9164,9612,809672,0.033659533283148635,FinanceDataReader,2026-07-22T22:31:02
2019-12-06,kr,272210,9522,9880,9477,9791,687507,0.018622555139409025,FinanceDataReader,2026-07-22T22:31:02
2019-12-09,kr,272210,9969,9969,9611,9656,547491,-0.01378817281176592,FinanceDataReader,2026-07-22T22:31:02
2019-12-10,kr,272210,9656,9790,9611,9791,327883,0.013980944490472158,FinanceDataReader,2026-07-22T22:31:02
2019-12-11,kr,272210,9835,9924,9611,9746,460356,-0.00459605760392201,FinanceDataReader,2026-07-22T22:31:02
2019-12-12,kr,272210,9790,9835,9567,9746,475215,0.0,FinanceDataReader,2026-07-22T22:31:02
2019-12-13,kr,272210,9745,9790,9522,9612,645240,-0.01374923045351939,FinanceDataReader,2026-07-22T22:31:02
2019-12-16,kr,272210,9611,9611,9388,9478,310051,-0.013940907199334163,FinanceDataReader,2026-07-22T22:31:02
2019-12-17,kr,272210,9522,9567,9343,9433,404434,-0.004747837096433893,FinanceDataReader,2026-07-22T22:31:02
2019-12-18,kr,272210,9432,9432,9075,9165,711197,-0.02841089791158702,FinanceDataReader,2026-07-22T22:31:02
2019-12-19,kr,272210,9209,9298,8941,9031,668049,-0.014620840152755,FinanceDataReader,2026-07-22T22:31:02
2019-12-20,kr,272210,9030,9209,8985,9209,391198,0.019709888162994238,FinanceDataReader,2026-07-22T22:31:02
2019-12-23,kr,272210,9209,9298,9164,9209,328837,0.0,FinanceDataReader,2026-07-22T22:31:02
2019-12-24,kr,272210,9164,9209,9030,9075,395395,-0.014550982734281681,FinanceDataReader,2026-07-22T22:31:02
2019-12-26,kr,272210,9075,9298,8985,9165,470460,0.009917355371900749,FinanceDataReader,2026-07-22T22:31:02
2019-12-27,kr,272210,9209,9209,9075,9120,292908,-0.004909983633387904,FinanceDataReader,2026-07-22T22:31:02
2019-12-30,kr,272210,9298,9298,9164,9254,346604,0.014692982456140369,FinanceDataReader,2026-07-22T22:31:02
2020-01-02,kr,272210,9343,9388,9254,9299,218029,0.004862762048843727,FinanceDataReader,2026-07-22T22:31:02
2020-01-03,kr,272210,9298,9298,9075,9165,480865,-0.014410151629207446,FinanceDataReader,2026-07-22T22:31:02
2020-01-06,kr,272210,9209,9209,8985,8986,327864,-0.019530823786142903,FinanceDataReader,2026-07-22T22:31:02
2020-01-07,kr,272210,9075,9120,8941,9075,412853,0.009904295570888122,FinanceDataReader,2026-07-22T22:31:02
2020-01-08,kr,272210,9075,10595,9030,9701,8360503,0.06898071625344349,FinanceDataReader,2026-07-22T22:31:02
2020-01-09,kr,272210,9120,9164,8923,9031,2749832,-0.06906504484073805,FinanceDataReader,2026-07-22T22:31:02
2020-01-10,kr,272210,9075,9119,8905,8914,1363218,-0.01295537592736129,FinanceDataReader,2026-07-22T22:31:02
2020-01-13,kr,272210,8869,8941,8717,8736,1413859,-0.019968588736818504,FinanceDataReader,2026-07-22T22:31:02
2020-01-14,kr,272210,8780,8932,8780,8852,661554,0.013278388278388231,FinanceDataReader,2026-07-22T22:31:02
2020-01-15,kr,272210,8851,8887,8771,8798,457537,-0.006100316312697696,FinanceDataReader,2026-07-22T22:31:02
2020-01-16,kr,272210,8816,8905,8798,8816,378924,0.002045919527165374,FinanceDataReader,2026-07-22T22:31:02
2020-01-17,kr,272210,8807,8851,8744,8744,426352,-0.008166969147005432,FinanceDataReader,2026-07-22T22:31:02
2020-01-20,kr,272210,8753,8824,8556,8610,884423,-0.01532479414455623,FinanceDataReader,2026-07-22T22:31:02
2020-01-21,kr,272210,8583,8637,8315,8315,1228260,-0.03426248548199773,FinanceDataReader,2026-07-22T22:31:02
2020-01-22,kr,272210,8360,8503,8333,8333,454405,0.0021647624774503438,FinanceDataReader,2026-07-22T22:31:02
2020-01-23,kr,272210,8315,8360,8154,8226,693922,-0.012840513620544836,FinanceDataReader,2026-07-22T22:31:02
2020-01-28,kr,272210,8029,8029,7895,7958,673279,-0.03257962557743743,FinanceDataReader,2026-07-22T22:31:02
2020-01-29,kr,272210,8047,8208,7930,8101,442734,0.01796933902990694,FinanceDataReader,2026-07-22T22:31:02
2020-01-30,kr,272210,8064,8449,8047,8226,693338,0.015430193803234182,FinanceDataReader,2026-07-22T22:31:02
2020-01-31,kr,272210,8154,8476,8154,8244,639107,0.002188183807439792,FinanceDataReader,2026-07-22T22:31:02
2020-02-03,kr,272210,8109,8377,8002,8333,423649,0.010795730228044587,FinanceDataReader,2026-07-22T22:31:02
2020-02-04,kr,272210,8333,8368,8216,8271,525437,-0.007440297611904456,FinanceDataReader,2026-07-22T22:31:02
2020-02-05,kr,272210,8279,8297,8109,8226,379188,-0.005440696409140355,FinanceDataReader,2026-07-22T22:31:02
2020-02-06,kr,272210,8252,8431,8225,8342,545249,0.01410162898127898,FinanceDataReader,2026-07-22T22:31:02
2020-02-07,kr,272210,8351,8610,8279,8557,575459,0.025773195876288568,FinanceDataReader,2026-07-22T22:31:02
2020-02-10,kr,272210,8503,8690,8449,8521,468661,-0.00420708192123409,FinanceDataReader,2026-07-22T22:31:02
2020-02-11,kr,272210,8565,8592,8368,8378,521276,-0.016782067832413983,FinanceDataReader,2026-07-22T22:31:02
2020-02-12,kr,272210,8422,8440,8243,8369,364591,-0.0010742420625448057,FinanceDataReader,2026-07-22T22:31:02
2020-02-13,kr,272210,8333,8422,8154,8226,521836,-0.017086868204086558,FinanceDataReader,2026-07-22T22:31:02
2020-02-14,kr,272210,8225,8270,8208,8244,129902,0.002188183807439792,FinanceDataReader,2026-07-22T22:31:02
2020-02-17,kr,272210,8261,8342,8243,8288,245563,0.005337214944201918,FinanceDataReader,2026-07-22T22:31:02
2020-02-18,kr,272210,8243,8368,8225,8288,311016,0.0,FinanceDataReader,2026-07-22T22:31:02
2020-02-19,kr,272210,8342,8601,8243,8592,752972,0.03667953667953672,FinanceDataReader,2026-07-22T22:31:02
2020-02-20,kr,272210,8646,8655,8449,8592,615593,0.0,FinanceDataReader,2026-07-22T22:31:02
2020-02-21,kr,272210,8485,8583,8413,8503,456614,-0.010358472998137858,FinanceDataReader,2026-07-22T22:31:02
2020-02-24,kr,272210,8404,8404,7957,7958,728264,-0.06409502528519351,FinanceDataReader,2026-07-22T22:31:02
2020-02-25,kr,272210,7912,8100,7859,7868,718744,-0.011309374214626744,FinanceDataReader,2026-07-22T22:31:02
2020-02-26,kr,272210,7743,7886,7680,7716,581453,-0.01931875953228268,FinanceDataReader,2026-07-22T22:31:02
2020-02-27,kr,272210,7716,7823,7403,7421,763886,-0.03823224468636599,FinanceDataReader,2026-07-22T22:31:02
2020-02-28,kr,272210,7260,7582,7152,7314,739732,-0.014418541975474986,FinanceDataReader,2026-07-22T22:31:02
2020-03-02,kr,272210,7322,7430,7161,7242,740239,-0.009844134536505345,FinanceDataReader,2026-07-22T22:31:02
2020-03-03,kr,272210,7358,7421,7179,7180,433174,-0.008561170947252172,FinanceDataReader,2026-07-22T22:31:02
2020-03-04,kr,272210,7161,7269,7161,7233,352862,0.007381615598885727,FinanceDataReader,2026-07-22T22:31:02
2020-03-05,kr,272210,7296,7448,7260,7332,514969,0.013687266694317746,FinanceDataReader,2026-07-22T22:31:02
2020-03-06,kr,272210,7304,7304,7170,7207,428289,-0.017048554282596884,FinanceDataReader,2026-07-22T22:31:02
2020-03-09,kr,272210,7170,7170,6670,6724,1006446,-0.06701817677258226,FinanceDataReader,2026-07-22T22:31:02
2020-03-10,kr,272210,6661,6804,6527,6760,490271,0.005353955978584235,FinanceDataReader,2026-07-22T22:31:02
2020-03-11,kr,272210,6804,6813,6446,6500,529785,-0.038461538461538436,FinanceDataReader,2026-07-22T22:31:02
2020-03-12,kr,272210,6419,6446,6062,6098,666520,-0.061846153846153884,FinanceDataReader,2026-07-22T22:31:02
2020-03-13,kr,272210,5418,5892,5409,5704,909665,-0.06461134798294521,FinanceDataReader,2026-07-22T22:31:02
2020-03-16,kr,272210,5740,6044,5668,5669,432797,-0.006136044880785452,FinanceDataReader,2026-07-22T22:31:02
2020-03-17,kr,272210,5463,5686,5418,5481,606556,-0.03316281531134235,FinanceDataReader,2026-07-22T22:31:02
2020-03-18,kr,272210,5498,5561,5132,5132,757701,-0.06367451195037399,FinanceDataReader,2026-07-22T22:31:02
2020-03-19,kr,272210,5185,5212,4202,4332,1186417,-0.15588464536243185,FinanceDataReader,2026-07-22T22:31:02
2020-03-20,kr,272210,4336,4676,4305,4605,603912,0.06301939058171735,FinanceDataReader,2026-07-22T22:31:02
2020-03-23,kr,272210,4291,4376,4175,4229,657949,-0.08165038002171554,FinanceDataReader,2026-07-22T22:31:02
2020-03-24,kr,272210,4336,4586,4296,4578,696857,0.08252541972097416,FinanceDataReader,2026-07-22T22:31:02
2020-03-25,kr,272210,4810,5445,4765,5302,1103075,0.15814766273481862,FinanceDataReader,2026-07-22T22:31:02
2020-03-26,kr,272210,5543,5713,5221,5517,1079774,0.04055073557148248,FinanceDataReader,2026-07-22T22:31:02
2020-03-27,kr,272210,5784,5820,5498,5633,733914,0.021025919883994826,FinanceDataReader,2026-07-22T22:31:02
2020-03-30,kr,272210,5409,5829,5391,5785,664822,0.026983845197940726,FinanceDataReader,2026-07-22T22:31:02
2020-03-31,kr,272210,5981,6696,5928,6330,1098021,0.0942091616248919,FinanceDataReader,2026-07-22T22:31:02
2020-04-01,kr,272210,6330,7063,6169,6715,1319626,0.06082148499210116,FinanceDataReader,2026-07-22T22:31:02
2020-04-02,kr,272210,6822,7072,6527,6733,591756,0.0026805658972450797,FinanceDataReader,2026-07-22T22:31:02
2020-04-03,kr,272210,6732,6795,6491,6616,413020,-0.017377097876132508,FinanceDataReader,2026-07-22T22:31:02
2020-04-06,kr,272210,6518,6723,6384,6661,663629,0.006801692865779918,FinanceDataReader,2026-07-22T22:31:02
2020-04-07,kr,272210,6777,6840,6625,6795,625409,0.0201170995346045,FinanceDataReader,2026-07-22T22:31:02
2020-04-08,kr,272210,6732,6875,6598,6795,514063,0.0,FinanceDataReader,2026-07-22T22:31:02
2020-04-09,kr,272210,6884,6920,6750,6795,457403,0.0,FinanceDataReader,2026-07-22T22:31:02
2020-04-10,kr,272210,6795,6875,6732,6831,327864,0.005298013245033095,FinanceDataReader,2026-07-22T22:31:02
2020-04-13,kr,272210,6831,6848,6428,6482,584264,-0.0510906163080076,FinanceDataReader,2026-07-22T22:31:02
2020-04-14,kr,272210,6527,6670,6509,6599,338372,0.018049984572662714,FinanceDataReader,2026-07-22T22:31:02
2020-04-16,kr,272210,6562,6813,6419,6751,442062,0.023033792998939262,FinanceDataReader,2026-07-22T22:31:02
2020-04-17,kr,272210,6965,6992,6857,6894,410209,0.02118204710413263,FinanceDataReader,2026-07-22T22:31:02
2020-04-20,kr,272210,7054,7403,6902,7296,976840,0.05831157528285469,FinanceDataReader,2026-07-22T22:31:02
2020-04-21,kr,272210,7296,8672,7126,7412,10767741,0.01589912280701755,FinanceDataReader,2026-07-22T22:31:02
2020-04-22,kr,272210,7331,7671,7224,7269,1494952,-0.01929303831624396,FinanceDataReader,2026-07-22T22:31:02
2020-04-23,kr,272210,7296,7492,7296,7376,936682,0.014720044022561662,FinanceDataReader,2026-07-22T22:31:02
2020-04-24,kr,272210,7474,8029,7465,7841,3395201,0.06304229934924077,FinanceDataReader,2026-07-22T22:31:02
2020-04-27,kr,272210,7841,7966,7555,7788,1339446,-0.006759341920673401,FinanceDataReader,2026-07-22T22:31:02
2020-04-28,kr,272210,7787,8190,7617,7841,2663752,0.006805341551104238,FinanceDataReader,2026-07-22T22:31:02
2020-04-29,kr,272210,7841,7975,7769,7797,974538,-0.005611529141691163,FinanceDataReader,2026-07-22T22:31:02
2020-05-04,kr,272210,7439,7439,7170,7207,1145543,-0.07567012953700136,FinanceDataReader,2026-07-22T22:31:02
2020-05-06,kr,272210,7304,7340,7206,7278,371582,0.0098515332315805,FinanceDataReader,2026-07-22T22:31:02
2020-05-07,kr,272210,7287,7465,7287,7385,418464,0.01470184116515516,FinanceDataReader,2026-07-22T22:31:02
2020-05-08,kr,272210,7421,7546,7394,7528,364073,0.01936357481381168,FinanceDataReader,2026-07-22T22:31:02
2020-05-11,kr,272210,7555,7564,7367,7403,421848,-0.01660467587672687,FinanceDataReader,2026-07-22T22:31:02
2020-05-12,kr,272210,7528,7662,7430,7663,748987,0.035120896933675594,FinanceDataReader,2026-07-22T22:31:02
2020-05-13,kr,272210,7662,7689,7573,7636,328829,-0.003523424246378748,FinanceDataReader,2026-07-22T22:31:02
2020-05-14,kr,272210,7662,7662,7385,7475,390049,-0.02108433734939763,FinanceDataReader,2026-07-22T22:31:02
2020-05-15,kr,272210,7600,7600,7448,7555,287446,0.01070234113712365,FinanceDataReader,2026-07-22T22:31:02
2020-05-18,kr,272210,7626,7635,7448,7457,279602,-0.012971542025148941,FinanceDataReader,2026-07-22T22:31:02
2020-05-19,kr,272210,7555,7573,7456,7502,332429,0.00603459836395337,FinanceDataReader,2026-07-22T22:31:02
2020-05-20,kr,272210,7510,7528,7456,7466,272026,-0.004798720341242291,FinanceDataReader,2026-07-22T22:31:02
2020-05-21,kr,272210,7510,7626,7412,7484,464535,0.002410929547280949,FinanceDataReader,2026-07-22T22:31:02
2020-05-22,kr,272210,7483,7510,7260,7341,409948,-0.019107429182255498,FinanceDataReader,2026-07-22T22:31:02
2020-05-25,kr,272210,7358,7385,7278,7305,273976,-0.004903964037597075,FinanceDataReader,2026-07-22T22:31:02
2020-05-26,kr,272210,7287,7394,7278,7332,280266,0.003696098562628425,FinanceDataReader,2026-07-22T22:31:02
2020-05-27,kr,272210,7439,7600,7412,7591,735338,0.03532460447354069,FinanceDataReader,2026-07-22T22:31:02
2020-05-28,kr,272210,7760,7787,7465,7502,1148809,-0.011724410486101955,FinanceDataReader,2026-07-22T22:31:02
