symbol
NVDA
GOOGL
TSLA
PLTR
INTC
LITE
SNDK
CAT
CRCL
NBIS
RKLB
ASTS
IONQ
LUNR
OKLO
HUT
IREN
QQQ
SOXX
BTC-USD
IWM
