symbol,name,market,quantity,avgPrice,stopPrice,targetPrice,avg_price,memo,updated_at
009150,삼성전기,kr,9,1151888,1050000,1500000,,,
017670,SK텔레콤,kr,44,128618,115000,150000,,,
