ticker,avg_price,shares,memo
ASTS,81.9264,34,
BMNR,22.75,211,
CAT,782.78,5,
CRCL,94.55,30,
INTC,55.29,65,
LITE,869,5,
NBIS,159,22,
RKLB,67.5,21,
SNDK,791.598,5,
AAOI,174.64,11,
SIMO,244.21,9,
