symbol,name,theme,group,type,sector_proxy,risk_level,current_price,last_price,현재가,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,price_data_status,current_price_source
003490,대한항공,항공·여객·화물,항공,cyclical,항공,중,27450.0,27450.0,"27,450원",27450.0,"27,450원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
005380,현대차,자동차·전기차,자동차,core,자동차,중,682000.0,682000.0,"682,000원",682000.0,"682,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000270,기아,자동차·전기차,자동차,core,자동차,중,166700.0,166700.0,"166,700원",166700.0,"166,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
012330,현대모비스,자동차 부품,자동차,core,자동차,중,653000.0,653000.0,"653,000원",653000.0,"653,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
015760,한국전력,전력·유틸리티,전력,defensive,전력/원전,중,40700.0,40700.0,"40,700원",40700.0,"40,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
035420,NAVER,AI·플랫폼,인터넷,core,인터넷/AI,중,201000.0,201000.0,"201,000원",201000.0,"201,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
035720,카카오,플랫폼·AI,인터넷,watch,인터넷/AI,높음,41350.0,41350.0,"41,350원",41350.0,"41,350원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
018260,삼성에스디에스,AI·클라우드·IT서비스,IT서비스,core,인터넷/AI,중,199200.0,199200.0,"199,200원",199200.0,"199,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
402340,SK스퀘어,반도체 지주·투자,지주/반도체,watch,반도체,중,1195000.0,1195000.0,"1,195,000원",1195000.0,"1,195,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
207940,삼성바이오로직스,바이오 CDMO,바이오,core,바이오,중,1419000.0,1419000.0,"1,419,000원",1419000.0,"1,419,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
068270,셀트리온,바이오시밀러,바이오,core,바이오,중,196900.0,196900.0,"196,900원",196900.0,"196,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
196170,알테오젠,바이오 플랫폼,바이오,growth,바이오,높음,373500.0,373500.0,"373,500원",373500.0,"373,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000100,유한양행,제약·신약,바이오,core,바이오,중,86600.0,86600.0,"86,600원",86600.0,"86,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
214450,파마리서치,뷰티·헬스케어,헬스케어,growth,헬스케어,중,305500.0,305500.0,"305,500원",305500.0,"305,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
214150,클래시스,미용의료기기,헬스케어,growth,헬스케어,중,50800.0,50800.0,"50,800원",50800.0,"50,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
373220,LG에너지솔루션,2차전지,2차전지,core,2차전지,중,399000.0,399000.0,"399,000원",399000.0,"399,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
006400,삼성SDI,2차전지,2차전지,core,2차전지,중,637000.0,637000.0,"637,000원",637000.0,"637,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
051910,LG화학,2차전지·화학,2차전지,core,2차전지,중,351000.0,351000.0,"351,000원",351000.0,"351,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
005490,POSCO홀딩스,철강·2차전지 소재,2차전지/소재,core,2차전지,중,445000.0,445000.0,"445,000원",445000.0,"445,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
003670,포스코퓨처엠,2차전지 소재,2차전지/소재,growth,2차전지,높음,243000.0,243000.0,"243,000원",243000.0,"243,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
247540,에코프로비엠,양극재,2차전지/소재,growth,2차전지,높음,226500.0,226500.0,"226,500원",226500.0,"226,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
086520,에코프로,2차전지 지주,2차전지/소재,growth,2차전지,높음,151400.0,151400.0,"151,400원",151400.0,"151,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
066970,엘앤에프,양극재,2차전지/소재,growth,2차전지,높음,159000.0,159000.0,"159,000원",159000.0,"159,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
375500,DL이앤씨,건설·플랜트,건설,watch,건설,중,82500.0,82500.0,"82,500원",82500.0,"82,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
000720,현대건설,건설·원전·인프라,건설,core,건설,중,152300.0,152300.0,"152,300원",152300.0,"152,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
006360,GS건설,건설,건설,watch,건설,높음,32050.0,32050.0,"32,050원",32050.0,"32,050원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
105560,KB금융,은행·금융지주,금융,core,금융,낮음,159500.0,159500.0,"159,500원",159500.0,"159,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
055550,신한지주,은행·금융지주,금융,core,금융,낮음,96550.0,96550.0,"96,550원",96550.0,"96,550원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
086790,하나금융지주,은행·금융지주,금융,core,금융,낮음,120600.0,120600.0,"120,600원",120600.0,"120,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
138040,메리츠금융지주,보험·금융지주,금융,core,금융,중,107300.0,107300.0,"107,300원",107300.0,"107,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
