time_kst,section,level,function_name,market,ticker,message,resolution
2026-05-26 09:50:03,streamlit_main,error,,,,"StreamlitSetPageConfigMustBeFirstCommandError: `set_page_config()` can only be called once per app page, and must be called as the first Streamlit command in your script.

For more information refer to the [docs](https://docs.streamlit.io/develop/api-reference/configuration/st.set_page_config).",
2026-05-26 09:57:38,streamlit_main,error,,,,"StreamlitSetPageConfigMustBeFirstCommandError: `set_page_config()` can only be called once per app page, and must be called as the first Streamlit command in your script.

For more information refer to the [docs](https://docs.streamlit.io/develop/api-reference/configuration/st.set_page_config).",
2026-05-26 10:51:06,streamlit_main,error,,,,"StreamlitSetPageConfigMustBeFirstCommandError: `set_page_config()` can only be called once per app page, and must be called as the first Streamlit command in your script.

For more information refer to the [docs](https://docs.streamlit.io/develop/api-reference/configuration/st.set_page_config).",
