decision_datetime,market,name,ticker,current_price,support,resistance,stop_loss,target_price,risk_reward_ratio,rsi,macd_status,volume_status,trend_score,volume_score,rsi_score,macd_score,risk_reward_score,news_momentum,total_score,final_decision,scenario_type,reason,source_menu
2026-05-13 01:02:31,한국주식,SK하이닉스,000660.KS,1880000.0,996000.0,1949000.0,976080.0,2030400.0,0.1663864058766265,97.71573604060912,강세,거래량 증가,95.0,90.0,25.0,88.0,34.0,뉴스 모멘텀 긍정,66.7,비중 축소 우선,비중축소,"장전 리포트 자동 생성: 관심 유지, 비중 축소 검토",장전 리포트
2026-05-13 01:02:31,미국주식,NVIDIA,NVDA,217.3650054931641,194.7400054931641,223.75,190.8452053833008,234.7542059326172,0.6557063163151712,61.43198156788019,강세,거래량 감소,95.0,42.0,72.0,88.0,34.0,뉴스 모멘텀 긍정,68.9,관망 우위,관망,"장전 리포트 자동 생성: 관심 유지, 주의 신호 없음",장전 리포트
2026-05-13 01:02:32,한국주식,삼성전자,005930.KS,285500.0,198200.0,288500.0,194236.0,308340.0,0.2502629733520337,82.32558139534883,강세,거래량 증가,95.0,78.0,25.0,88.0,34.0,뉴스 모멘텀 긍정,64.9,관망 우위,관망,"장전 리포트 자동 생성: 제외, 비중 축소 검토",장전 리포트
2026-05-13 01:02:32,한국주식,대한항공,003490.KS,25750.0,23800.0,27350.0,23324.0,28170.5,0.9977328936521024,54.929577464788736,강세,보통,95.0,62.0,88.0,72.0,34.0,뉴스 부족으로 판단 보류,70.8,관망 우위,관망,"장전 리포트 자동 생성: 제외, 주의 신호 없음",장전 리포트
2026-05-13 01:02:33,한국주식,LG에너지솔루션,373220.KS,468000.0,399000.0,493000.0,391020.0,507790.0,0.5168875032475968,64.28571428571428,약세,보통,95.0,42.0,72.0,35.0,34.0,뉴스 리스크 주의,54.2,관망 우위,관망,"장전 리포트 자동 생성: 제외, 신규 매수 금지",장전 리포트
2026-05-13 01:02:33,한국주식,DL이앤씨,375500.KS,91300.0,88600.0,106600.0,85822.0,109798.0,3.376779846659365,42.55813953488372,약세,거래량 감소,68.0,42.0,88.0,35.0,92.0,뉴스 부족으로 판단 보류,65.3,눌림목 매수 가능,눌림목,"장전 리포트 자동 생성: 제외, 주의 신호 없음",장전 리포트
2026-05-13 01:02:33,한국주식,한국항공우주,047810.KS,169500.0,163400.0,205500.0,159330.0,211665.0,4.146017699115045,33.955857385398986,약세,거래량 감소,30.0,42.0,48.0,55.0,92.0,뉴스 부족으로 판단 보류,51.8,관망 우위,관망,"장전 리포트 자동 생성: 제외, 신규 매수 금지",장전 리포트
2026-05-13 01:02:34,한국주식,한국전력,015760.KS,43200.0,41600.0,47650.0,40608.0,49079.5,2.2683256172839505,30.14705882352941,강세,보통,30.0,42.0,48.0,72.0,78.0,뉴스 모멘텀 긍정,53.4,관망 우위,관망,"장전 리포트 자동 생성: 제외, 주의 신호 없음",장전 리포트
2026-05-13 01:02:34,한국주식,현대차,005380.KS,646000.0,474500.0,654000.0,465010.0,697680.0,0.2855406376042875,71.95121951219512,강세,거래량 증가,95.0,90.0,48.0,88.0,34.0,뉴스 부족으로 판단 보류,70.2,관망 우위,관망,"장전 리포트 자동 생성: 제외, 주의 신호 없음",장전 리포트
2026-05-13 01:02:35,한국주식,HD한국조선해양,009540.KS,474000.0,383500.0,488000.0,375830.0,511920.00000000006,0.3862687175308145,65.26610644257703,강세,거래량 증가,95.0,90.0,72.0,88.0,34.0,뉴스 모멘텀 긍정,76.0,돌파 확인 후 접근,돌파,"장전 리포트 자동 생성: 관심 유지, 주의 신호 없음",장전 리포트
2026-05-13 01:02:35,미국주식,AMD,AMD,434.0299987792969,251.8500061035156,469.2200012207031,246.8130059814453,483.29660125732426,0.2631524080253934,72.27016361331351,강세,거래량 감소,95.0,42.0,48.0,72.0,34.0,뉴스 모멘텀 긍정,60.9,관망 우위,관망,"장전 리포트 자동 생성: 제외, 주의 신호 없음",장전 리포트
2026-05-13 01:02:35,미국주식,MSFT,MSFT,408.35009765625,396.7300109863281,433.7000122070313,383.849091796875,446.7110125732422,1.5656873492119856,35.31734930398896,약세,거래량 감소,68.0,42.0,72.0,35.0,62.0,뉴스 모멘텀 긍정,57.1,관망 우위,관망,"장전 리포트 자동 생성: 제외, 신규 매수 금지",장전 리포트
2026-05-13 01:02:36,미국주식,AAPL,AAPL,294.3778991699219,257.8099975585937,294.89990234375,252.65379760742184,317.9281311035156,0.5644275383213949,75.26676003449666,강세,거래량 감소,95.0,42.0,48.0,72.0,34.0,뉴스 영향 중립,60.9,관망 우위,관망,"장전 리포트 자동 생성: 제외, 비중 축소 검토",장전 리포트
2026-05-13 01:02:36,미국주식,TSLA,TSLA,426.4549865722656,362.5,449.1600036621094,355.25,462.6348037719727,0.508107914085319,66.00893836751479,강세,거래량 감소,95.0,42.0,72.0,72.0,34.0,뉴스 리스크 주의,61.7,관망 우위,관망,"장전 리포트 자동 생성: 제외, 변동성 주의",장전 리포트
2026-05-13 01:02:37,미국주식,META,META,600.0599975585938,592.6500244140625,691.52001953125,564.0563977050781,712.2656201171875,3.1165112104099,23.89873495510697,약세,거래량 감소,30.0,42.0,25.0,55.0,92.0,뉴스 모멘텀 긍정,48.2,관망 우위,관망,"장전 리포트 자동 생성: 제외, 신규 매수 금지",장전 리포트
2026-05-13 01:02:37,미국주식,GOOGL,GOOGL,387.25,330.8999938964844,402.0,324.28199401855466,418.23,0.4919958877073038,79.2291733044299,강세,거래량 감소,95.0,42.0,25.0,72.0,34.0,뉴스 모멘텀 긍정,56.2,관망 우위,관망,"장전 리포트 자동 생성: 제외, 비중 축소 검토",장전 리포트
2026-05-13 01:02:37,미국주식,AMZN,AMZN,264.67010498046875,244.1999969482422,278.5599975585937,239.3159970092773,286.9167974853516,0.8774393692004717,61.05456122697083,약세,거래량 감소,95.0,42.0,72.0,35.0,34.0,뉴스 모멘텀 긍정,58.2,관망 우위,관망,"장전 리포트 자동 생성: 제외, 신규 매수 금지",장전 리포트
