created_at,snapshot_at,source,market,symbol,name,source_file,swing_group,current_price,current_price_text,entry_price,entry_text,stop_loss,stop_text,target_price,target_text,expected_open,expected_close,short_probability,short_expected_price,swing_probability,swing_expected_price,mid_probability,mid_expected_price,data_status,snapshot_kind,mode,mode_label,buy_rule,sell_rule,hold_days,planned_entry,planned_entry_text,shares,shares_text,invested_amount,invested_text,expected_loss_amount,expected_loss_text,expected_profit_amount,expected_profit_text,account_loss_pct,account_profit_pct,execution_status,status,summary
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,JOBY,JOBY,predictions.csv,,,,,,9.81229690189484,10원,,,,,,,,,,,standalone_recorder,current_candidate,balanced,균형,기준가 ±1% 이내면 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,5,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,JOBY,JOBY,predictions.csv,,,,,,9.81229690189484,10원,,,,,,,,,,,standalone_recorder,current_candidate,aggressive,공격,현재가 또는 예상 시초가 기준 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,20,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,SPY,SPY,predictions.csv,,,,,,725.3615365339864,725원,,,,,,,,,,,standalone_recorder,current_candidate,conservative,보수,기준가 이하 또는 기준가 근처에서만 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,1,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,SPY,SPY,predictions.csv,,,,,,725.3615365339864,725원,,,,,,,,,,,standalone_recorder,current_candidate,balanced,균형,기준가 ±1% 이내면 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,5,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,SPY,SPY,predictions.csv,,,,,,725.3615365339864,725원,,,,,,,,,,,standalone_recorder,current_candidate,aggressive,공격,현재가 또는 예상 시초가 기준 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,20,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,AVAV,AVAV,predictions.csv,,,,,,151.80981140006986,152원,,,,,,,,,,,standalone_recorder,current_candidate,conservative,보수,기준가 이하 또는 기준가 근처에서만 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,1,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,AVAV,AVAV,predictions.csv,,,,,,151.80981140006986,152원,,,,,,,,,,,standalone_recorder,current_candidate,balanced,균형,기준가 ±1% 이내면 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,5,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,AVAV,AVAV,predictions.csv,,,,,,151.80981140006986,152원,,,,,,,,,,,standalone_recorder,current_candidate,aggressive,공격,현재가 또는 예상 시초가 기준 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,20,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,KTOS,KTOS,predictions.csv,,,,,,50.27136261309809,50원,,,,,,,,,,,standalone_recorder,current_candidate,conservative,보수,기준가 이하 또는 기준가 근처에서만 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,1,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
2026-06-16 18:29:49,2026-06-16 18:29:49,github-actions,kr,KTOS,KTOS,predictions.csv,,,,,,50.27136261309809,50원,,,,,,,,,,,standalone_recorder,current_candidate,balanced,균형,기준가 ±1% 이내면 체결,목표가·손절가·보유기간 종료 중 먼저 발생한 조건으로 청산,5,,,0,0주,0.0,0원,,,,,,,체결 판단 불가,기록 저장,standalone recorder snapshot
