symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at
NVDA,us,True,204.86,204.86,204.86,2026-06-13 01:37:10 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
MSFT,us,True,387.52,387.52,387.52,2026-06-13 01:37:11 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AAPL,us,True,290.995,290.995,290.995,2026-06-13 01:37:11 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
GOOGL,us,True,361.2786,361.2786,361.2786,2026-06-13 01:37:12 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AMZN,us,True,236.2756,236.2756,236.2756,2026-06-13 01:37:12 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
META,us,True,571.1,571.1,571.1,2026-06-13 01:37:12 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
TSLA,us,True,395.72,395.72,395.72,2026-06-13 01:37:13 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AVGO,us,True,381.0337,381.0337,381.0337,2026-06-13 01:37:13 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AMD,us,True,511.72,511.72,511.72,2026-06-13 01:37:14 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ARM,us,True,369.775,369.775,369.775,2026-06-13 01:37:14 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
PLTR,us,True,128.19,128.19,128.19,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
TSM,us,True,424.69,424.69,424.69,2026-06-13 01:37:15 KST,KIS 해외 현재가 · NYS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ASML,us,True,1879.54,1879.54,1879.54,2026-06-13 01:37:16 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AMAT,us,True,566.01,566.01,566.01,2026-06-13 01:37:16 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
KLAC,us,True,250.55,250.55,250.55,2026-06-13 01:37:16 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
LRCX,us,True,370.35,370.35,370.35,2026-06-13 01:37:17 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
CRWD,us,True,684.75,684.75,684.75,2026-06-13 01:37:17 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
PANW,us,True,279.41,279.41,279.41,2026-06-13 01:37:18 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
CRM,us,True,164.82,164.82,164.82,2026-06-13 01:37:06 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
DDOG,us,True,231.63,231.63,231.63,2026-06-13 01:37:19 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
SNOW,us,True,237.78,237.78,237.78,2026-06-13 01:37:01 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
ORCL,us,True,182.11,182.11,182.11,2026-06-13 01:37:08 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
NOW,us,True,101.69,101.69,101.69,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
COST,us,True,973.4,973.4,973.4,2026-06-13 01:37:22 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
WMT,us,True,119.6,119.6,119.6,2026-06-13 01:37:23 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
LLY,us,True,1143.26,1143.26,1143.26,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
GE,us,True,334.83,334.83,334.83,2026-06-13 01:37:02 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
ETN,us,True,391.7,391.7,391.7,2026-06-13 01:37:03 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
CAT,us,True,910.62,910.62,910.62,2026-06-13 01:37:03 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
AAOI,us,True,168.7414,168.7414,168.7414,2026-06-13 01:37:27 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ACHR,us,True,5.17,5.17,5.17,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
AI,us,True,10.96,10.96,10.96,2026-06-13 01:37:04 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
ALAB,us,True,382.06,382.06,382.06,2026-06-13 01:37:29 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ANET,us,True,163.44,163.44,163.44,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
APP,us,True,494.49,494.49,494.49,2026-06-13 01:37:31 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ASTS,us,True,85.6557,85.6557,85.6557,2026-06-13 01:37:31 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
AVAV,us,True,172.985,172.985,172.985,2026-06-13 01:37:32 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
BBAI,us,True,4.1,4.1,4.1,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
BMNR,us,True,16.24,16.24,16.24,2026-06-13 01:37:08 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
BTC-USD,us,True,63835.01171875,63835.01171875,63835.01171875,2026-06-13 01:37:41 KST,yfinance,yfinance,yfinance_fallback,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
CAVA,us,True,90.74,90.74,90.74,2026-06-13 01:37:03 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
CEG,us,True,251.625,251.625,251.625,2026-06-13 01:37:42 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
CELH,us,True,28.5857,28.5857,28.5857,2026-06-13 01:37:42 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
COHR,us,True,387.69,387.69,387.69,2026-06-13 01:37:03 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
COIN,us,True,160.085,160.085,160.085,2026-06-13 01:37:44 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
CRCL,us,True,79.18,79.18,79.18,2026-06-13 01:37:07 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
CRDO,us,True,257.36,257.36,257.36,2026-06-13 01:37:45 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
DELL,us,True,399.82,399.82,399.82,2026-06-13 01:37:21 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
DRAM,us,True,65.4,65.4,65.4,2026-06-13 01:37:32 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
DUOL,us,True,120.74,120.74,120.74,2026-06-13 01:37:47 KST,KIS 해외 현재가 · NAS,KIS,kis_snapshot,scripts/collect_us_prices.py,2026-06-13,True,True,,2026-06-13 01:38:50 KST
ELF,us,True,61.05,61.05,61.05,2026-06-13 01:36:36 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
ESTC,us,True,60.37,60.37,60.37,2026-06-13 01:37:29 KST,Finnhub 현재가,Finnhub,finnhub,scripts/collect_us_prices.py,2026-06-13,False,True,,2026-06-13 01:38:50 KST
