section,항목,현재가,등락률,상태,테마,관련 뉴스 개수,긍정 뉴스 비율,부정 뉴스 비율,관련 종목,테마 점수,구분,종목명,티커,RSI,MACD 상태,거래량 상태,지지선,저항선,손절가,목표가,손익비,종합점수,뉴스 보조점수,뉴스 반영점수,뉴스 모멘텀,최종판단,매수 후보,주의 신호,데이터 상태,평균매수가,수익률,평가손익,손절가 이탈 여부,익절 구간 접근 여부,현재 대응 의견,언급 횟수,긍정 뉴스,부정 뉴스,평균 중요도,datetime,title,source,summary,ticker,theme,sentiment,importance,url,market,collected_at,momentum,부정/주의 뉴스,시장,섹터,계좌,메모,현재가_숫자,평균매수가_숫자,보유수량,평가금액_숫자,매입금액_숫자,평가손익_숫자,수익률_숫자,종합점수_숫자,손익비_숫자,RSI_숫자,등락률_숫자,지지선_숫자,저항선_숫자,손절가_숫자,목표가_숫자,목표비중_숫자,포트폴리오비중_숫자,추가매수 판단,비중축소 판단,대응 의견,목표 비중,목표 대비 차이,조정 필요 여부,평가금액,포트폴리오 비중
오늘 강한 테마,,,,,조선,1.0,100%,0%,HD한국조선해양,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,전력,1.0,100%,0%,한국전력,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,2차전지,1.0,0%,100%,"LG에너지솔루션, TSLA",21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,방산,0.0,0%,0%,한국항공우주,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,항공,0.0,0%,0%,샘플 데이터 확인,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,건설,0.0,0%,0%,샘플 데이터 확인,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,바이오,0.0,0%,0%,샘플 데이터 확인,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,보안,0.0,0%,0%,PLTR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘 강한 테마,,,,,의료AI,0.0,0%,0%,"NVIDIA, AMD, MSFT, META, GOOGL, AMZN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심종목 우선순위,,"474,000원",+4.87%,,,,,,,,관심,HD한국조선해양,009540.KS,65.3,강세,거래량 증가,"383,500원","488,000원","375,830원","511,920원",0.39,76.0,3.0,79.0,뉴스 모멘텀 긍정,돌파 확인 후 접근,관심 유지,,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
