date,createdAt,market,agentId,agentLabel,generation,state,seed,cash,valuation,portfolioValue,totalPnl,totalReturnPct,survivalPct,positionCount,tradeCount,buyCount,sellCount,proofStatus
2026-08-20,2026-08-20T22:31:47,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4909.89,90.02,4999.91,-0.09,-0.0,100.0,1,1,1,0,RUNNING
2026-08-20,2026-08-20T22:40:52,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4909.89,90.02,4999.91,-0.09,-0.0,100.0,1,1,0,0,RUNNING
2026-08-20,2026-08-20T22:51:08,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4909.89,90.02,4999.91,-0.09,-0.0,100.0,1,1,0,0,RUNNING
2026-08-21,2026-08-21T08:35:36,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-21,2026-08-21T08:48:06,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
2026-08-21,2026-08-21T22:05:42,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.74,4997.53,-2.47,-0.05,99.95,2,2,1,0,RUNNING
2026-08-21,2026-08-21T22:50:14,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.74,4997.53,-2.47,-0.05,99.95,2,2,0,0,RUNNING
2026-08-21,2026-08-21T23:05:40,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.74,4997.53,-2.47,-0.05,99.95,2,2,0,0,RUNNING
2026-08-24,2026-08-24T22:05:40,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.48,4997.27,-2.73,-0.05,99.95,2,2,0,0,RUNNING
2026-08-24,2026-08-24T22:55:50,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.48,4997.27,-2.73,-0.05,99.95,2,2,0,0,RUNNING
2026-08-24,2026-08-24T23:05:42,us,ml_rank_conservative_swing,ML Rank Conservative Swing,2,ALIVE,5000.0,4659.79,337.48,4997.27,-2.73,-0.05,99.95,2,2,0,0,RUNNING
2026-08-25,2026-08-25T08:35:31,kr,ml_rank_balanced_mid,ML Rank Balanced Mid,1,ALIVE,5000000.0,5000000.0,0,5000000.0,0.0,0.0,100.0,0,0,0,0,RUNNING
