symbol,name,name_kr,sector,source,note
000020.KS,동화약품,동화약품,Bio/Healthcare,전체종목마스터,코스피 후보군
000040.KS,KR모터스,KR모터스,Materials/Parts,전체종목마스터,코스피 후보군
000070.KS,삼양홀딩스,삼양홀딩스,Holding,전체종목마스터,코스피 후보군
000080.KS,하이트진로,하이트진로,Food/Beverage,전체종목마스터,코스피 후보군
000100.KS,유한양행,유한양행,Bio/Healthcare,전체종목마스터,코스피 후보군
000120.KS,CJ대한통운,CJ대한통운,Shipping/Logistics,전체종목마스터,코스피 후보군
000140.KS,하이트진로홀딩스,하이트진로홀딩스,Food/Beverage,전체종목마스터,코스피 후보군
000150.KS,두산,두산,Machinery/Equipment,전체종목마스터,코스피 후보군
000180.KS,성창기업지주,성창기업지주,Holding,전체종목마스터,코스피 후보군
000210.KS,DL,DL,Holding,전체종목마스터,코스피 후보군
000220.KS,유유제약,유유제약,Bio/Healthcare,전체종목마스터,코스피 후보군
000230.KS,일동홀딩스,일동홀딩스,Holding,전체종목마스터,코스피 후보군
000240.KS,한국앤컴퍼니,한국앤컴퍼니,Holding,전체종목마스터,코스피 후보군
000270.KS,기아,기아,Auto,전체종목마스터,코스피 후보군
000300.KS,DH오토넥스,DH오토넥스,Retail,전체종목마스터,코스피 후보군
000320.KS,노루홀딩스,노루홀딩스,Holding,전체종목마스터,코스피 후보군
000370.KS,한화손해보험,한화손해보험,Insurance,전체종목마스터,코스피 후보군
000400.KS,롯데손해보험,롯데손해보험,Insurance,전체종목마스터,코스피 후보군
000480.KS,CR홀딩스,CR홀딩스,Holding,전체종목마스터,코스피 후보군
000490.KS,대동,대동,Machinery/Equipment,전체종목마스터,코스피 후보군
000500.KS,가온전선,가온전선,Power/Utility,전체종목마스터,코스피 후보군
000520.KS,삼일제약,삼일제약,Bio/Healthcare,전체종목마스터,코스피 후보군
000540.KS,흥국화재,흥국화재,Insurance,전체종목마스터,코스피 후보군
000590.KS,CS홀딩스,CS홀딩스,Holding,전체종목마스터,코스피 후보군
000640.KS,동아쏘시오홀딩스,동아쏘시오홀딩스,Holding,전체종목마스터,코스피 후보군
000660.KS,SK하이닉스,SK하이닉스,Semiconductor,전체종목마스터,코스피 후보군
000670.KS,영풍,영풍,Steel/Metal,전체종목마스터,코스피 후보군
000700.KS,유수홀딩스,유수홀딩스,Holding,전체종목마스터,코스피 후보군
000720.KS,현대건설,현대건설,Construction,전체종목마스터,코스피 후보군
000760.KS,이화산업,이화산업,Machinery/Equipment,전체종목마스터,코스피 후보군
000810.KS,삼성화재,삼성화재,Insurance,전체종목마스터,코스피 후보군
