symbol,asOf,signalScore,foreign5d,institution5d,foreign20d,institution20d
277810,2026-09-02,2,20920.0,-24525.0,97335.0,-135305.0
278280,2026-09-02,3,12972.0,19815.0,48331.0,-32490.0
278470,2026-09-02,3,-473.0,52876.0,237363.0,159553.0
293490,2026-09-02,2,-220905.0,707083.0,-927053.0,518268.0
298040,2026-09-02,-1,-20548.0,13089.0,-18120.0,-1756.0
326030,2026-09-02,2,-115575.0,9360.0,-171821.0,131318.0
329180,2026-09-02,2,51178.0,-184005.0,281004.0,-533919.0
352820,2026-09-02,2,-24756.0,7880.0,19989.0,-295280.0
353200,2026-09-02,2,706495.0,-789340.0,431116.0,-731643.0
360750,2026-09-02,-4,-278266.0,-4707720.0,-1105146.0,-21615786.0
373220,2026-09-02,3,39928.0,240614.0,-64219.0,728573.0
375500,2026-09-02,2,-274616.0,56790.0,-298762.0,603420.0
381180,2026-09-02,2,679913.0,-762431.0,2187874.0,-2938826.0
402340,2026-09-02,2,41738.0,-305791.0,125354.0,-596643.0
403870,2026-09-02,4,397286.0,689407.0,1171397.0,2344063.0
454910,2026-09-02,-4,-123323.0,-60701.0,-201634.0,-106099.0
458730,2026-09-02,2,55124.0,-2503569.0,128734.0,-8409949.0
