symbol,name,market,source,updatedAt
001065,JW중외제약우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001067,JW중외제약2우B,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001070,대한방직,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001080,만호제강,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001120,LX인터내셔널,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001130,대한제분,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001150,삼성스팩13호,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001200,삼양바이오팜,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001210,금호전기,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001230,동국홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001250,GS글로벌,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001260,남광토건,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001270,부국증권,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001275,부국증권우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001290,신한제18호스팩,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001300,신한제17호스팩,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001310,키움히어로제2호스팩,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001320,교보20호스팩,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001340,PKC,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001360,삼성제약,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001380,SG글로벌,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001390,KG케미칼,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001420,태원물산,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001430,세아베스틸지주,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001440,대한전선,kr,local_symbol_csv,2026-06-01T19:31:41
001450,현대해상,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001460,BYC,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001465,BYC우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001470,삼부토건,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001500,현대차증권,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001510,SK증권,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001515,SK증권우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001520,동양,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001525,동양우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001527,동양2우B,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001530,DI동일,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001540,안국약품,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001550,조비,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001560,제일연마,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001570,금양,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001620,케이비아이동국실업,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001630,종근당홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001680,대상,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001685,대상우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001720,신영증권,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001740,SK네트웍스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001750,한양증권,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001755,한양증권우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001770,SHD,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001780,알루코,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001790,대한제당,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001795,대한제당우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001800,오리온홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001810,무림SP,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001820,삼화콘덴서,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001840,이화공영,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
001940,KISCO홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002020,코오롱,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002025,코오롱우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002030,아세아,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002070,비비안,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002100,경농,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002140,고려산업,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002150,도화엔지니어링,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002170,SYTS,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002200,한국수출포장,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002210,동성제약,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002220,한일철강,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002230,피에스텍,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002240,고려제강,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002290,삼일기업공사,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002310,아세아제지,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002320,한진,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002350,넥센타이어,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002355,넥센타이어1우B,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002360,SH에너지화학,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002380,KCC,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002390,한독,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002410,범양건영,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002420,세기상사,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002450,삼익악기,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002460,HS화성,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002600,조흥,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002620,제일파마홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002630,오리엔트바이오,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002680,한탑,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002690,동일제강,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002700,신일전자,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002710,TCC스틸,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002720,국제약품,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002760,보락,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002780,진흥기업,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002785,진흥기업우B,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002787,진흥기업2우B,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002790,아모레퍼시픽홀딩스,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002795,아모레퍼시픽홀딩스우,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
002800,신신제약,kr,FinanceDataReader_KRX,2026-06-01T19:31:41
