symbol,name,market,source,updatedAt
005930,삼성전자,kr,manual_required_seed,2026-06-01T19:31:39
006340,대원전선,kr,manual_extra,2026-06-01T19:31:39
009150,삼성전기,kr,manual_required_seed,2026-06-01T19:31:39
