holding_type,current_value,current_weight_pct,recommended_min_pct,recommended_max_pct,allocation_status,adjustment_suggestion,is_estimated_type,updated_at
중기 성장주/주도주,10762091.91,100.0,25,35,과다,중기 성장주/주도주 비중 조정 검토,True,2026-05-20 21:32:17
현금,0.0,0.0,10,20,부족,현금 비중 부족 여부 확인,True,2026-05-20 21:32:17
