market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
한국주식,51910,3,0.0000,0.9488,3.9487,100.0000,0.0000,0.0000,-2.7087,익절 목표 과도,increase_atr_range,keep,lower_tp1_target,10
한국주식,5490,3,100.0000,1.9475,3.5356,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,0
한국주식,55550,3,0.0000,1.2443,2.7660,100.0000,0.0000,0.0000,-0.3355,익절 목표 과도,keep,keep,lower_tp1_target,10
한국주식,6400,3,0.0000,3.4265,3.2351,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
한국주식,64350,3,0.0000,1.0730,3.6388,100.0000,0.0000,0.0000,-2.0165,익절 목표 과도,increase_atr_range,keep,lower_tp1_target,10
한국주식,66970,3,0.0000,5.7289,2.3334,0.0000,0.0000,100.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
한국주식,68270,3,100.0000,0.7666,0.2690,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
한국주식,720,3,100.0000,0.7190,1.1080,0.0000,0.0000,100.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,keep,0
한국주식,79550,3,100.0000,2.2055,1.8143,100.0000,0.0000,0.0000,0.2532,이벤트 변동성 미반영,increase_atr_range,keep,lower_tp1_target,0
한국주식,86520,3,100.0000,4.2256,0.6790,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,5
한국주식,86790,3,0.0000,1.4408,1.7294,100.0000,0.0000,0.0000,-0.7517,익절 목표 과도,keep,keep,lower_tp1_target,10
한국주식,90360,3,100.0000,5.2696,2.2720,0.0000,0.0000,100.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,5
미국주식,AAPL,3,33.3333,1.0434,1.1582,66.6667,0.0000,33.3333,0.5555,이벤트 변동성 미반영,increase_atr_range,keep,keep,10
미국주식,ACHR,3,66.6667,1.6635,1.4445,100.0000,0.0000,33.3333,1.7200,이벤트 변동성 미반영,increase_atr_range,keep,keep,0
미국주식,ALAB,3,33.3333,0.9781,3.5230,33.3333,0.0000,33.3333,9.8432,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,10
미국주식,AMD,3,66.6667,0.7669,1.8394,33.3333,0.0000,0.0000,2.4510,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
미국주식,AMZN,3,33.3333,0.5984,1.3159,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,10
미국주식,ANET,3,66.6667,0.4175,2.3209,100.0000,0.0000,0.0000,1.2493,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,APP,3,0.0000,0.5736,6.5599,33.3333,33.3333,66.6667,-3.1600,방향 예측 실패,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,ARM,3,66.6667,1.7174,1.8149,33.3333,33.3333,33.3333,2.6312,이벤트 변동성 미반영,increase_atr_range,move_entry_closer_to_tradeable_range,keep,0
미국주식,ASTS,3,33.3333,1.8824,6.7525,33.3333,0.0000,66.6667,-1.5158,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,keep,15
미국주식,AVAV,3,33.3333,2.0349,1.8966,66.6667,0.0000,33.3333,-0.7745,방향 예측 실패,keep,keep,keep,10
미국주식,AVGO,3,33.3333,1.1243,3.4793,66.6667,33.3333,33.3333,-0.9215,방향 예측 실패,increase_atr_range,keep,keep,10
미국주식,CAT,3,66.6667,0.8188,2.2056,66.6667,33.3333,0.0000,-1.6303,익절 목표 과도,keep,keep,lower_tp1_target,0
미국주식,CEG,3,66.6667,1.1020,1.9571,33.3333,33.3333,33.3333,-3.0574,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,keep,0
미국주식,COHR,3,33.3333,1.8312,3.1142,100.0000,0.0000,0.0000,0.5481,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,10
