ticker,market,total_cases,raw_direction_hit_rate,adjusted_direction_hit_rate,direction_hit_rate_change,raw_avg_open_error_pct,adjusted_avg_open_error_pct,open_error_improvement,raw_avg_close_error_pct,adjusted_avg_close_error_pct,close_error_improvement,raw_avg_pnl_pct,adjusted_avg_pnl_pct,pnl_improvement,stop_touch_rate,tp1_touch_rate,improvement_label,main_improvement_reason,recommended_action
000100,한국주식,9,77.7778,77.7778,0.0000,1.2080,1.2326,-0.0247,1.8507,1.8505,0.0002,-0.0327,-0.0327,0.0000,11.1111,22.2222,중립,변화 미미,보정 강화 필요
000270,한국주식,9,33.3333,33.3333,0.0000,0.9683,0.9682,0.0002,5.5813,5.5937,-0.0124,-0.9334,-1.0373,-0.1039,22.2222,33.3333,중립,변화 미미,보정 강화 필요
000660,한국주식,8,25.0000,25.0000,0.0000,1.7504,1.7364,0.0140,5.6010,5.7454,-0.1444,-0.4309,-0.4309,0.0000,12.5000,0.0000,중립,변화 미미,보정 강화 필요
000720,한국주식,9,77.7778,77.7778,0.0000,2.5957,2.6531,-0.0574,4.5772,4.6219,-0.0448,-0.0875,-0.0875,0.0000,22.2222,44.4444,중립,변화 미미,보정 강화 필요
000990,한국주식,8,25.0000,25.0000,0.0000,2.7443,2.7902,-0.0459,8.3999,8.5342,-0.1342,0.0000,0.0000,0.0000,0.0000,37.5000,중립,변화 미미,보정 강화 필요
001440,한국주식,9,55.5556,55.5556,0.0000,1.3851,1.3601,0.0250,6.8423,7.0025,-0.1602,-0.2730,-0.2730,0.0000,11.1111,11.1111,중립,변화 미미,보정 강화 필요
003490,한국주식,8,62.5000,62.5000,0.0000,1.4735,1.4723,0.0012,3.8134,3.8087,0.0047,-0.1749,-0.1749,0.0000,25.0000,25.0000,중립,변화 미미,보정 강화 필요
003670,한국주식,9,55.5556,55.5556,0.0000,2.3000,2.0378,0.2622,3.2022,3.5290,-0.3268,-1.1108,-0.8082,0.3027,22.2222,33.3333,중립,변화 미미,보정 유지
005380,한국주식,8,37.5000,37.5000,0.0000,1.2403,1.2506,-0.0103,6.4716,6.4432,0.0284,0.6077,0.6077,0.0000,25.0000,25.0000,중립,변화 미미,보정 강화 필요
005490,한국주식,9,77.7778,77.7778,0.0000,1.6291,1.4685,0.1605,3.7715,3.7003,0.0713,-0.4553,-0.4553,0.0000,44.4444,22.2222,중립,변화 미미,보정 강화 필요
005930,한국주식,7,14.2857,14.2857,0.0000,2.4542,2.5353,-0.0811,6.6595,6.8696,-0.2102,-0.1818,-0.1818,0.0000,14.2857,14.2857,악화,보정 후 종가 오차 증가,보정 강화 필요
006260,한국주식,8,37.5000,37.5000,0.0000,2.1103,2.0860,0.0243,6.2276,6.3018,-0.0742,0.0000,0.0000,0.0000,12.5000,25.0000,중립,변화 미미,보정 강화 필요
006360,한국주식,8,75.0000,75.0000,0.0000,2.4964,2.4294,0.0670,3.5266,3.6139,-0.0874,-0.5962,-0.5962,0.0000,25.0000,12.5000,중립,변화 미미,보정 강화 필요
