code,symbol,name_kr,name,market_type,sector,source,note
122350,122350.KQ,삼기,삼기,코스닥,미분류,KIS종목정보,전체종목마스터
122450,122450.KQ,KX,KX,코스닥,Textile/Apparel,KIS종목정보,전체종목마스터
122640,122640.KQ,예스티,예스티,코스닥,Semiconductor,KIS종목정보,전체종목마스터
122690,122690.KQ,서진오토모티브,서진오토모티브,코스닥,미분류,KIS종목정보,전체종목마스터
122870,122870.KQ,와이지엔터테인먼트,와이지엔터테인먼트,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
122990,122990.KQ,와이솔,와이솔,코스닥,Telecom,KIS종목정보,전체종목마스터
123010,123010.KQ,알엔티엑스,알엔티엑스,코스닥,Auto,KIS종목정보,전체종목마스터
123040,123040.KQ,엠에스오토텍,엠에스오토텍,코스닥,Battery/EV,KIS종목정보,전체종목마스터
123330,123330.KQ,제닉,제닉,코스닥,Cosmetics,KIS종목정보,전체종목마스터
123410,123410.KQ,코리아에프티,코리아에프티,코스닥,미분류,KIS종목정보,전체종목마스터
123420,123420.KQ,위메이드플레이,위메이드플레이,코스닥,Game,KIS종목정보,전체종목마스터
123570,123570.KQ,이엠넷,이엠넷,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
123750,123750.KQ,알톤,알톤,코스닥,미분류,KIS종목정보,전체종목마스터
123840,123840.KQ,뉴온,뉴온,코스닥,미분류,KIS종목정보,전체종목마스터
123860,123860.KQ,아나패스,아나패스,코스닥,Auto,KIS종목정보,전체종목마스터
124500,124500.KQ,아이티센글로벌,아이티센글로벌,코스닥,미분류,KIS종목정보,전체종목마스터
124560,124560.KQ,태웅로직스,태웅로직스,코스닥,미분류,KIS종목정보,전체종목마스터
125020,125020.KQ,티씨머티리얼즈,티씨머티리얼즈,코스닥,미분류,KIS종목정보,전체종목마스터
125210,125210.KQ,아모그린텍,아모그린텍,코스닥,Battery/EV,KIS종목정보,전체종목마스터
125490,125490.KQ,한라캐스트,한라캐스트,코스닥,미분류,KIS종목정보,전체종목마스터
126340,126340.KQ,비나텍,비나텍,코스닥,미분류,KIS종목정보,전체종목마스터
126600,126600.KQ,BGF에코머티리얼즈,BGF에코머티리얼즈,코스닥,Retail,KIS종목정보,전체종목마스터
126640,126640.KQ,화신정공,화신정공,코스닥,Auto,KIS종목정보,전체종목마스터
126700,126700.KQ,하이비젼시스템,하이비젼시스템,코스닥,Auto,KIS종목정보,전체종목마스터
126730,126730.KQ,코칩,코칩,코스닥,Semiconductor,KIS종목정보,전체종목마스터
126880,126880.KQ,제이엔케이글로벌,제이엔케이글로벌,코스닥,Oil/Chemical,KIS종목정보,전체종목마스터
127120,127120.KQ,제이에스링크,제이에스링크,코스닥,Bio/Healthcare,KIS종목정보,전체종목마스터
127710,127710.KQ,아시아경제,아시아경제,코스닥,Entertainment/Media,KIS종목정보,전체종목마스터
127980,127980.KQ,화인써키트,화인써키트,코스닥,미분류,KIS종목정보,전체종목마스터
128540,128540.KQ,에코캡,에코캡,코스닥,미분류,KIS종목정보,전체종목마스터
