market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at
kr,000100,000100,86600.0,86600.0,"86,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,000270,000270,166700.0,166700.0,"166,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,000660,000660,2064000.0,2064000.0,"2,064,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,000720,000720,152300.0,152300.0,"152,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,000810,000810,574000.0,574000.0,"574,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,000990,000990,210500.0,210500.0,"210,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,001440,001440,53700.0,53700.0,"53,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,003490,003490,27450.0,27450.0,"27,450원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,003550,003550,121800.0,121800.0,"121,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,003620,003620,3615.0,3615.0,"3,615원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,003670,003670,243000.0,243000.0,"243,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,004020,004020,43300.0,43300.0,"43,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,005070,005070,56200.0,56200.0,"56,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,005380,005380,682000.0,682000.0,"682,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,005490,005490,445000.0,445000.0,"445,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,005930,005930,299500.0,299500.0,"299,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,006260,006260,581000.0,581000.0,"581,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,006360,006360,32050.0,32050.0,"32,050원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,006400,006400,637000.0,637000.0,"637,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,007660,007660,141300.0,141300.0,"141,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,009150,009150,1575000.0,1575000.0,"1,575,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,009540,009540,431000.0,431000.0,"431,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,010120,010120,281500.0,281500.0,"281,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,010130,010130,1447000.0,1447000.0,"1,447,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,010140,010140,30050.0,30050.0,"30,050원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,010950,010950,108600.0,108600.0,"108,600원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,011070,011070,1077000.0,1077000.0,"1,077,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,011200,011200,20300.0,20300.0,"20,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,012330,012330,653000.0,653000.0,"653,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,012450,012450,1251000.0,1251000.0,"1,251,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,015760,015760,40700.0,40700.0,"40,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,017670,017670,100800.0,100800.0,"100,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,018260,018260,199200.0,199200.0,"199,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,028670,028670,6010.0,6010.0,"6,010원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,030200,030200,55100.0,55100.0,"55,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,032640,032640,15500.0,15500.0,"15,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,032830,032830,351500.0,351500.0,"351,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,034020,034020,111300.0,111300.0,"111,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,034730,034730,659000.0,659000.0,"659,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,035420,035420,201000.0,201000.0,"201,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,035720,035720,41350.0,41350.0,"41,350원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,035900,035900,60100.0,60100.0,"60,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,036930,036930,235500.0,235500.0,"235,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,039030,039030,546000.0,546000.0,"546,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,039440,039440,33400.0,33400.0,"33,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,041510,041510,86100.0,86100.0,"86,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,042660,042660,130000.0,130000.0,"130,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,042700,042700,323500.0,323500.0,"323,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,047810,047810,166200.0,166200.0,"166,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,051910,051910,351000.0,351000.0,"351,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,055550,055550,96550.0,96550.0,"96,550원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,058470,058470,109200.0,109200.0,"109,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,064350,064350,210000.0,210000.0,"210,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,066970,066970,159000.0,159000.0,"159,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,067310,067310,51700.0,51700.0,"51,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
kr,068270,068270,196900.0,196900.0,"196,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST
