market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at
kr,000100,000100,88200.0,88200.0,"88,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,000270,000270,167900.0,167900.0,"167,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,000660,000660,2048000.0,2048000.0,"2,048,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,000720,000720,156900.0,156900.0,"156,900원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,000810,000810,580000.0,580000.0,"580,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,000990,000990,217500.0,217500.0,"217,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,001440,001440,55300.0,55300.0,"55,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,003490,003490,27650.0,27650.0,"27,650원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,003550,003550,121700.0,121700.0,"121,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,003620,003620,3705.0,3705.0,"3,705원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,003670,003670,247500.0,247500.0,"247,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,004020,004020,42000.0,42000.0,"42,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,005070,005070,57300.0,57300.0,"57,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,005380,005380,684000.0,684000.0,"684,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,005490,005490,455500.0,455500.0,"455,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,005930,005930,299750.0,299750.0,"299,750원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,006260,006260,595000.0,595000.0,"595,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
kr,006360,006360,32550.0,32550.0,"32,550원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 09:29 KST,2026-05-26 09:29:48 KST
