symbol,name,market,quantity,avgPrice,currentPrice,valuation,pnl,pnlPct
133690,TIGER 미국나스닥100,kr,4,198337.5,197725.0,790900,-2450,-0.3
360750,TIGER 미국S&P500,kr,22,27785.45,27890.0,613580,2300,0.37
381180,TIGER 미국필라델피아반도체나스닥,kr,4,50630.0,54475.0,217900,15380,7.59
458730,TIGER 미국배당다우존스,kr,20,15230.0,15610.0,312200,7600,2.49
