ticker,market,target_date,no_buy_score,no_buy_level,no_buy_reasons,market_regime,market_risk_score,direction_hit_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,raw_final_decision,final_decision_before_no_buy_filter,final_decision_after_no_buy_filter,no_buy_filter_applied,updated_at,source_prediction_path,source_adjustment_performance_path,data_status
001440,한국주식,2026-05-14,45,주의,이벤트 변동성장 / TP1 터치율 20% 미만 / 평균 최종 손익 음수 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,55.5556,11.1111,11.1111,-0.273,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
000660,한국주식,2026-05-14,65,관망 우위,이벤트 변동성장 / 방향 적중률 35% 미만 / TP1 터치율 20% 미만 / 평균 최종 손익 음수 / RSI 75 이상 과열 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 갭·과열 구간: 눌림 대기 또는 매수금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,25.0,12.5,0.0,-0.4309,돌파 확인 후 접근,돌파 확인 후 접근,관망 우위,1,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
103590,한국주식,2026-05-14,55,관망 우위,이벤트 변동성장 / 방향 적중률 45% 미만 / TP1 터치율 20% 미만 / 최근 보정 후 성과 악화 / RSI 75 이상 과열 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 갭·과열 구간: 눌림 대기 또는 매수금지 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,42.8571,28.5714,14.2857,0.0,관망 우위,관망 우위,관망 우위,1,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
003490,한국주식,2026-05-14,20,매수금지 아님,이벤트 변동성장 / 방향 적중률 60% 이상 / 평균 최종 손익 음수 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,62.5,25.0,25.0,-0.1749,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
034020,한국주식,2026-05-14,50,주의,이벤트 변동성장 / 방향 적중률 35% 미만 / 최근 보정 후 성과 악화 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,33.3333,11.1111,33.3333,0.0,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
012450,한국주식,2026-05-14,35,주의,이벤트 변동성장 / 방향 적중률 45% 미만 / 평균 최종 손익 음수 / 최근 보정 성과 개선 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,44.4444,22.2222,22.2222,-0.3038,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
373220,한국주식,2026-05-14,15,매수금지 아님,이벤트 변동성장 / 방향 적중률 60% 이상 / 평균 최종 손익 음수 / 최근 보정 성과 개선 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,71.4286,28.5714,28.5714,-0.1253,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
079550,한국주식,2026-05-14,20,매수금지 아님,이벤트 변동성장 / 방향 적중률 60% 이상 / 평균 최종 손익 음수 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,88.8889,11.1111,44.4444,-0.0373,돌파 확인 후 접근,돌파 확인 후 접근,돌파 확인 후 접근,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
375500,한국주식,2026-05-14,5,매수금지 아님,이벤트 변동성장 / 방향 적중률 60% 이상 / 대형 이벤트일: 변동성 확대 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,85.7143,14.2857,28.5714,0.0,관망 우위,관망 우위,관망 우위,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
064350,한국주식,2026-05-14,45,주의,이벤트 변동성장 / TP1 터치율 20% 미만 / 평균 최종 손익 음수 / 시초 예상가가 1차 저항선 1% 이내 / 대형 이벤트일: 변동성 확대 / 손익비 부족: 1차 R:R 1.45 / 이벤트·매크로 고변동 구간 (risk_mult 1.90),이벤트 변동성장,55.0,55.5556,11.1111,0.0,-1.1264,돌파 확인 후 접근,돌파 확인 후 접근,돌파 확인 후 접근,0,2026-05-23T08:58:19,predictions.csv,data\adjustment_performance_by_ticker.csv,OK
