market_regime,total_cases,raw_direction_hit_rate,adjusted_direction_hit_rate,market_filtered_direction_hit_rate,raw_avg_pnl_pct,adjusted_avg_pnl_pct,market_filtered_avg_pnl_pct,stop_touch_rate,tp1_touch_rate,loss_avoided_cases,missed_opportunity_cases,recommended_rule_change
데이터 부족,179,61.4525,60.8939,60.8939,0.2637,0.2409,0.2409,8.3799,11.7318,0,0,현행 유지
미분류,308,36.3636,36.3636,36.3636,-0.1572,-0.1572,-0.1572,17.5325,18.8312,0,0,현행 유지
이벤트 변동성장,380,56.8421,56.3158,56.3158,-0.0472,-0.0375,0.0325,13.9474,28.6842,51,77,이벤트장 신뢰도 차감 완화
