holding_type,current_value,current_weight_pct,recommended_min_pct,recommended_max_pct,allocation_status,adjustment_suggestion,is_estimated_type,updated_at,symbol,ticker,code,종목코드,name,stock_name,종목명,종목,market,시장,현재가,last_price,current_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,손절가,stop,stop_loss,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,손익비,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,valuation_score,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
중기 성장주/주도주,10762091.91,100.0,25,35,과다,중기 성장주/주도주 비중 조정 검토,True,2026-05-20 19:04:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수급 데이터 없음,수급 데이터 없음,수급 데이터 없음,수급 데이터 없음,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,,,,,,,,,,
현금,0.0,0.0,10,20,부족,현금 비중 부족 여부 확인,True,2026-05-20 19:04:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수급 데이터 없음,수급 데이터 없음,수급 데이터 없음,수급 데이터 없음,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,,,,,,,,,,
