ticker,date,foreign_net_qty,institution_net_qty,retail_net_qty,foreign_5d,institution_5d,retail_5d,foreign_20d,institution_20d,retail_20d,foreign_30d,institution_30d,retail_30d,supply_score,foreign_institution_score,supply_label,supply_summary,source,updated_at,status
131970,2026-05-22,-40469.0,93959.0,-52633.0,-151131.0,177717.0,-36670.0,-268859.0,629517.0,-451800.0,-229576.0,424160.0,-290959.0,2,2,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:56:44 KST,OK
222800,2026-05-22,75940.0,44083.0,-122373.0,-232759.0,534823.0,-310391.0,557436.0,1126505.0,-1661947.0,688883.0,1885364.0,-2558952.0,3,3,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매수,KIS Open API inquire-investor,2026-05-23 08:56:38 KST,OK
138040,2026-05-22,-8657.0,23496.0,-14370.0,-119406.0,366636.0,-240806.0,-672757.0,702701.0,-40070.0,-941200.0,993416.0,-54213.0,2,2,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:56:32 KST,OK
086790,2026-05-22,33070.0,42099.0,-72422.0,-820101.0,931701.0,-115549.0,358920.0,254129.0,-627190.0,32099.0,680544.0,-728690.0,3,3,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매수,KIS Open API inquire-investor,2026-05-23 08:56:26 KST,OK
055550,2026-05-22,53254.0,153085.0,-204288.0,-289579.0,589286.0,-313445.0,-438202.0,873958.0,-480502.0,-1004996.0,1834664.0,-866556.0,2,2,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:56:21 KST,OK
105560,2026-05-22,12579.0,94164.0,-111911.0,-646078.0,822764.0,-218923.0,5058.0,120027.0,-241507.0,-239148.0,233786.0,-106450.0,3,3,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매수,KIS Open API inquire-investor,2026-05-23 08:56:15 KST,OK
006360,2026-05-22,-250014.0,-51404.0,280021.0,293247.0,-342152.0,33323.0,-1415252.0,-2199600.0,3619911.0,-3433848.0,-1686751.0,5115103.0,-1,-1,수급 중립/확인,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매도,KIS Open API inquire-investor,2026-05-23 08:56:09 KST,OK
000720,2026-05-22,-107783.0,114442.0,-14544.0,555620.0,87546.0,-652883.0,1619013.0,-1387842.0,-277876.0,882361.0,-2072360.0,1130415.0,3,3,수급 우호,5일 외국인·기관 동시 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:56:03 KST,OK
066970,2026-05-22,-74551.0,-21105.0,97439.0,-125733.0,-202178.0,336720.0,182523.0,-724401.0,578402.0,208165.0,-805285.0,609286.0,-2,-2,수급 부담,20일 외국인/기관 중 일부 순매수 / 5일 외국인·기관 동시 순매도 / 개인 순매수·외국인/기관 매도 주의,KIS Open API inquire-investor,2026-05-23 08:55:57 KST,OK
086520,2026-05-22,316329.0,125224.0,-430045.0,896957.0,148773.0,-1031635.0,-88326.0,-1658018.0,1760286.0,-701049.0,-2713810.0,3382224.0,0,0,수급 중립/확인,5일 외국인·기관 동시 순매수 / 20일 외국인·기관 동시 순매도,KIS Open API inquire-investor,2026-05-23 08:55:51 KST,OK
247540,2026-05-22,245032.0,182312.0,-425509.0,176437.0,184439.0,-364959.0,78240.0,-878505.0,991773.0,27440.0,-1305159.0,1866081.0,3,3,수급 우호,5일 외국인·기관 동시 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:55:45 KST,OK
003670,2026-05-22,-42727.0,64537.0,-20430.0,-199012.0,140844.0,55544.0,-76652.0,196039.0,-88524.0,352208.0,284205.0,-603160.0,2,2,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:55:39 KST,OK
005490,2026-05-22,-80779.0,13575.0,62337.0,-165587.0,44090.0,132744.0,578144.0,213546.0,-751970.0,773991.0,621851.0,-1346885.0,3,3,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매수,KIS Open API inquire-investor,2026-05-23 08:55:34 KST,OK
051910,2026-05-22,-83437.0,21397.0,61112.0,-292005.0,50491.0,236358.0,22158.0,32556.0,-37372.0,278998.0,157655.0,-413236.0,3,3,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인·기관 동시 순매수,KIS Open API inquire-investor,2026-05-23 08:55:27 KST,OK
006400,2026-05-22,60533.0,51148.0,-110945.0,256423.0,86610.0,-328422.0,759004.0,-210762.0,-507745.0,1092101.0,163623.0,-1174425.0,3,3,수급 우호,5일 외국인·기관 동시 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:55:21 KST,OK
214150,2026-05-22,39881.0,15919.0,-55384.0,59629.0,-101299.0,34850.0,202290.0,-613777.0,349279.0,388944.0,-724195.0,279947.0,2,2,수급 우호,5일 외국인/기관 중 일부 순매수 / 20일 외국인/기관 중 일부 순매수,KIS Open API inquire-investor,2026-05-23 08:55:15 KST,OK
