journal_id,status,outcome,filled,fill_date,fill_price,exit_date,exit_price,gross_pnl_pct,net_pnl_pct,mfe_pct,mae_pct,bars_held,entry_window_days,evaluation_window_days,target_progress,stop_progress,failure_reason,secondary_tags,regime_at_entry,regime_at_exit,signal_confidence,data_confidence,review_text,evaluated_at
d09be539c4bab9622e388d02,EVALUATED,STOP_HIT,True,2026-06-23,1301300.0,2026-06-23,1295357.9034,-0.0472,-0.4566,-2.1834,-7.5691,1,3,5,-0.1723,1.3938,MARKET_GAP,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -0.46% (MFE -2.18% / MAE -7.57%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T16:46:42
623554938310f07fc68d17ff,EVALUATED,STOP_HIT,True,2026-06-23,1301300.0,2026-06-23,1276761.7308,-1.4822,-1.8857,-2.1834,-7.5691,1,5,20,-0.1072,1.1151,MARKET_GAP,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -1.89% (MFE -2.18% / MAE -7.57%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T16:46:42
72e3284592926fe92f39fa62,EVALUATED,STOP_HIT,True,2026-06-22,127.757627,2026-06-23,112.774,-11.4628,-11.7282,4.3716,-10.712,2,10,60,0.1974,1.1652,MARKET_GAP,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -11.73% (MFE +4.37% / MAE -10.71%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T23:35:19
10026ae96786eede01ab52a1,EVALUATED,STOP_HIT,True,2026-06-22,49.79975,2026-06-23,46.906,-5.5276,-5.8108,0.8458,-8.1825,2,10,60,0.0469,1.0833,MARKET_GAP,,횡보장,NEUTRAL,HIGH,HIGH,"추천 당시 높은 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -5.81% (MFE +0.85% / MAE -8.18%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T23:35:20
47b20ce0eb39c198fcddaabc,EVALUATED,STOP_HIT,True,2026-06-23,15.12511,2026-06-23,13.972,-7.3461,-7.6238,2.4487,-7.4454,1,3,5,0.0951,1.0135,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -7.62% (MFE +2.45% / MAE -7.45%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T23:35:20
df1b98328f54ef51f7088192,EVALUATED,STOP_HIT,True,2026-06-23,15.12511,2026-06-23,13.972,-7.3461,-7.6238,2.4487,-7.4454,1,3,5,0.0951,1.0135,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -7.62% (MFE +2.45% / MAE -7.45%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T23:35:20
62b0ef00bb7cb3fa3adcfe85,EVALUATED,STOP_HIT,True,2026-06-23,14.23422,2026-06-23,13.972,-1.5471,-1.8422,0.7736,-1.6878,1,3,5,0.0618,1.0909,DATA_QUALITY,,횡보장,RISK_ON,HIGH,MED,"추천 당시 높은 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -1.84% (MFE +0.77% / MAE -1.69%). 복기: 데이터 신뢰도가 낮아 신호 품질을 보장하기 어렵습니다. [DATA_QUALITY] 유형으로 기록합니다.",2026-06-23T23:35:20
c6df41b9e3913ae424e068b6,EVALUATED,STOP_HIT,True,2026-06-23,113.18307,2026-06-23,111.776,-0.9463,-1.2432,0.1856,-10.3228,1,10,60,0.0085,1.0748,MARKET_GAP,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -1.24% (MFE +0.19% / MAE -10.32%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T23:35:20
b9e95c01918d37f11a686c17,EVALUATED,STOP_HIT,True,2026-06-22,3858855.0,2026-06-24,3414951.7299,-11.1395,-11.5035,8.1453,-14.1375,3,5,20,0.2437,1.2691,STOP_TOO_TIGHT,,횡보장,NEUTRAL,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -11.50% (MFE +8.15% / MAE -14.14%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-24T17:42:03
1bc8d4bf220cbd8f582da45f,EVALUATED,STOP_HIT,True,2026-06-22,700700.0,2026-06-24,621887.1549,-10.8827,-11.2477,2.1429,-12.0,3,5,20,0.0656,1.1027,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -11.25% (MFE +2.14% / MAE -12.00%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-24T17:42:03
