ticker,market,prediction_date,target_date,actual_direction,raw_predicted_direction,adjusted_predicted_direction,market_filtered_direction,raw_direction_hit,adjusted_direction_hit,market_filtered_direction_hit,raw_open_mid,adjusted_open_mid,actual_open,raw_open_error_pct,adjusted_open_error_pct,raw_close_mid,adjusted_close_mid,actual_close,raw_close_error_pct,adjusted_close_error_pct,raw_final_decision,adjusted_final_decision,market_filtered_decision,raw_confidence_score,adjusted_confidence_score,market_filtered_confidence_score,preferred_entry,stop_loss,take_profit1,entry_touched,stop_touched,tp1_touched,raw_pnl_pct,adjusted_pnl_pct,market_filtered_pnl_pct,market_regime,market_risk_score,adjustment_applied,market_filter_applied,improvement_label,improvement_reason,created_at
047810,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,165347.5500,165347.5500,162900.0000,-1.4802,-1.4802,166592.5500,166592.5500,160900.0000,-3.4170,-3.4170,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,164520.8123,156319.5437,176412.6517,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
272210,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,110378.1600,110378.1600,108100.0000,-2.0640,-2.0640,111218.1600,111218.1600,112200.0000,0.8828,0.8828,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,7.0000,7.0000,7.0000,108360.3219,105315.1595,113177.5153,True,False,False,3.5434,3.5434,3.5434,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
329180,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,741063.0000,741063.0000,723000.0000,-2.4374,-2.4374,756517.2857,756517.2857,676000.0000,-10.6432,-10.6432,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,737357.6850,674741.2014,828151.5862,False,True,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
015760,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,41039.3250,41039.3250,40600.0000,-1.0705,-1.0705,41282.5393,41282.5393,39150.0000,-5.1657,-5.1657,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,17.0000,17.0000,17.0000,40834.1284,38957.5009,43555.2382,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
010140,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,31400.8650,31400.8650,31250.0000,-0.4804,-0.4804,31703.5436,31703.5436,30050.0000,-5.2156,-5.2156,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,31243.8607,29040.3148,34439.0023,True,False,False,-3.8211,-3.8211,-3.8211,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
005380,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,718733.0000,718733.0000,724000.0000,0.7328,0.7328,735671.9286,735671.9286,703000.0000,-4.4411,-4.4411,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,7.0000,7.0000,7.0000,715139.3350,657606.2316,801438.9901,True,False,False,-1.6975,-1.6975,-1.6975,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
042660,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,122929.6400,122929.6400,122600.0000,-0.2682,-0.2682,124130.2114,124130.2114,119800.0000,-3.4884,-3.4884,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,지지선 근처 출발: 반등 확인형 눌림목 후보,17.0000,17.0000,17.0000,121478.0900,118474.7307,125832.9608,True,False,False,-1.3814,-1.3814,-1.3814,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
277810,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,887658.0000,887658.0000,894000.0000,0.7145,0.7145,910672.2857,910672.2857,851000.0000,-6.5526,-6.5526,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,842415.7500,753476.1926,971378.1082,False,False,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
009540,한국주식,2026-05-14,2026-05-14,down,up,up,up,False,False,False,464966.8500,464966.8500,461500.0000,-0.7456,-0.7456,471585.0643,471585.0643,441000.0000,-6.4856,-6.4856,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,저항선 근처 출발: 돌파 확인 전 선매수 금지,17.0000,17.0000,17.0000,462642.0158,440972.1358,494063.3417,False,True,False,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
454910,한국주식,2026-05-14,2026-05-14,up,up,up,up,True,True,True,103861.9800,103861.9800,107400.0000,3.4065,3.4065,106961.0514,106961.0514,105400.0000,-1.4595,-1.4595,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,중립 구간 출발: 시초가 지지/이탈 확인,7.0000,7.0000,7.0000,98754.9265,94939.5515,106998.0239,False,False,True,0.0000,0.0000,0.0000,미분류,50.0000,,,중립,변화 미미,2026-05-23T08:31:03
