prediction_id,date,market,ticker,decision,simulated_entry,simulated_exit,stop_loss,target_price,max_profit_pct,max_loss_pct,final_pnl_pct,stop_triggered,target_triggered,hold_or_exit,result_label
8c3d027e,2026-05-14,한국주식,103590,중립 구간 출발: 시초가 지지/이탈 확인,133598.595,133500.0,118258.22125215716,155842.13693437213,,,-0.07379942880387791,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
689e5fd7,2026-05-14,한국주식,34020,중립 구간 출발: 시초가 지지/이탈 확인,116863.29975000002,116100.0,110094.85548825396,126677.5439295318,,,-0.6531560820487781,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
343e6a56,2026-05-14,한국주식,12450,중립 구간 출발: 시초가 지지/이탈 확인,1287591.2747573871,1279000.0,1250538.339884481,1392774.7260635945,,,-0.6672361739175292,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
ca4ab328,2026-05-14,한국주식,79550,저항선 근처 출발: 돌파 확인 전 선매수 금지,878450.5755,875500.0,836903.5001303572,938693.8347859822,,,-0.33588406477172983,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
b236e017,2026-05-14,한국주식,64350,저항선 근처 출발: 돌파 확인 전 선매수 금지,216342.35250000004,211500.0,200729.847642952,238980.4845427197,,,-2.2382822614448683,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
b4dcfd16,2026-05-14,한국주식,272210,지지선 근처 출발: 반등 확인형 눌림목 후보,108360.32187038587,112200.0,105315.15954045168,113177.51531073016,,,3.543435515268145,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
bfed794c,2026-05-14,한국주식,10140,저항선 근처 출발: 돌파 확인 전 선매수 금지,31243.860675,30050.0,29040.314753013485,34439.00226188045,,,-3.8211048481446963,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
2305299a,2026-05-14,한국주식,5380,저항선 근처 출발: 돌파 확인 전 선매수 금지,715139.335,703000.0,657606.2316080357,801438.9900879463,,,-1.6974782963099067,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
55292e55,2026-05-14,한국주식,42660,지지선 근처 출발: 반등 확인형 눌림목 후보,121478.08996526767,119800.0,118474.73073936717,125832.96084282346,,,-1.3813931102699017,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
60c3bcae,2026-05-14,한국주식,42700,중립 구간 출발: 시초가 지지/이탈 확인,393436.0326541033,394000.0,377555.0963083855,421701.5012864,,,0.14334410147749388,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
66ab8b05,2026-05-14,한국주식,108490,중립 구간 출발: 시초가 지지/이탈 확인,349918.03447204974,340000.0,330757.614069298,377700.6440560398,,,-2.8343879123046367,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
e814c4a5,2026-05-14,한국주식,7660,중립 구간 출발: 시초가 지지/이탈 확인,130015.39318131338,130200.0,124266.77868941234,139970.4859395657,,,0.1419884324229015,False,False,우선진입가 체결 가정 · 손절/익절 동시터치 시 손절 우선,종가청산
