구간,기록수,실행건수,승률,진입가 터치율,1차 익절 도달률,2차 익절 도달률,손절 먼저 터치율,평균 손익비,기대값,평균 수익률,평균 손실률,최대 손실 구간,관망/매수금지 적중률,회피성공,기회손실
최근 20회,20,0,-,45.0%,0.0%,0.0%,0.0%,1:1.91,-,-,-,0,46.2%,6,7
최근 50회,50,0,-,46.0%,0.0%,0.0%,0.0%,1:1.90,-,-,-,0,36.4%,12,21
최근 100회,100,0,-,27.0%,0.0%,0.0%,0.0%,1:1.84,-,-,-,0,18.8%,15,66
최근 1개월,300,0,-,47.3%,12.0%,3.5%,0.0%,1:1.96,-,-,-,0,54.8%,131,118
최근 3개월,300,0,-,47.3%,12.0%,3.5%,0.0%,1:1.96,-,-,-,0,54.8%,131,118
최근 6개월,300,0,-,47.3%,12.0%,3.5%,0.0%,1:1.96,-,-,-,0,54.8%,131,118
