구분,조건,기록수,실행건수,승률,기대값,진입가 터치율,손절 먼저 터치율,관망/매수금지 적중률,최근 유사 조건 승률,최근 유사 조건 기대값
섹터별,지수형,88,0,-,-,48.9%,0.0%,70.5%,-,-
섹터별,전기차/성장주,80,0,-,-,62.5%,0.0%,68.2%,-,-
섹터별,반도체/AI,70,0,-,-,57.1%,0.0%,63.8%,-,-
섹터별,클라우드/소프트웨어,35,0,-,-,54.3%,0.0%,45.5%,-,-
섹터별,빅테크,25,0,-,-,44.0%,0.0%,91.7%,-,-
섹터별,nan,2,0,-,-,50.0%,0.0%,-,-,-
손익비 구간별,1.2~1.5,170,0,-,-,61.8%,0.0%,63.8%,-,-
손익비 구간별,2.2 이상,76,0,-,-,42.1%,0.0%,73.6%,-,-
손익비 구간별,1.5~1.8,26,0,-,-,38.5%,0.0%,52.6%,-,-
손익비 구간별,1.8~2.2,25,0,-,-,60.0%,0.0%,82.4%,-,-
손익비 구간별,손익비 확인 필요,2,0,-,-,50.0%,0.0%,-,-,-
손익비 구간별,1.2 미만,1,0,-,-,100.0%,0.0%,-,-,-
시장 국면별,중립 이상,179,0,-,-,57.0%,0.0%,56.2%,-,-
시장 국면별,중립 이하,60,0,-,-,65.0%,0.0%,70.2%,-,-
시장 국면별,약세,59,0,-,-,37.3%,0.0%,88.2%,-,-
시장 국면별,시장 확인 필요,2,0,-,-,50.0%,0.0%,-,-,-
종목별,ALAB,6,0,-,-,33.3%,0.0%,25.0%,-,-
종목별,IONQ,6,0,-,-,83.3%,0.0%,60.0%,-,-
종목별,AAPL,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,ACHR,5,0,-,-,80.0%,0.0%,66.7%,-,-
종목별,AMD,5,0,-,-,20.0%,0.0%,66.7%,-,-
종목별,AMZN,5,0,-,-,20.0%,0.0%,100.0%,-,-
종목별,ANET,5,0,-,-,80.0%,0.0%,50.0%,-,-
종목별,APP,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,ARM,5,0,-,-,80.0%,0.0%,20.0%,-,-
종목별,ASTS,5,0,-,-,60.0%,0.0%,20.0%,-,-
종목별,AVAV,5,0,-,-,20.0%,0.0%,66.7%,-,-
종목별,AVGO,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,CAT,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,CEG,5,0,-,-,40.0%,0.0%,66.7%,-,-
종목별,COHR,5,0,-,-,100.0%,0.0%,100.0%,-,-
종목별,COIN,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,CRCL,5,0,-,-,60.0%,0.0%,100.0%,-,-
종목별,CRDO,5,0,-,-,80.0%,0.0%,60.0%,-,-
종목별,DDOG,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,DUOL,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,ETN,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,GE,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,GOOGL,5,0,-,-,80.0%,0.0%,100.0%,-,-
종목별,HIMS,5,0,-,-,60.0%,0.0%,66.7%,-,-
종목별,HOOD,5,0,-,-,100.0%,0.0%,60.0%,-,-
종목별,HUT,5,0,-,-,60.0%,0.0%,100.0%,-,-
종목별,INTC,5,0,-,-,60.0%,0.0%,66.7%,-,-
종목별,IREN,5,0,-,-,40.0%,0.0%,80.0%,-,-
종목별,IWM,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,JOBY,5,0,-,-,100.0%,0.0%,75.0%,-,-
종목별,KTOS,5,0,-,-,20.0%,0.0%,50.0%,-,-
종목별,LITE,5,0,-,-,40.0%,0.0%,100.0%,-,-
종목별,LUNR,5,0,-,-,60.0%,0.0%,50.0%,-,-
