구분,조건,기록수,실행건수,승률,기대값,진입가 터치율,손절 먼저 터치율,관망/매수금지 적중률,최근 유사 조건 승률,최근 유사 조건 기대값
섹터별,지수형,300,0,-,-,47.3%,0.0%,54.8%,-,-
손익비 구간별,1.2~1.5,163,0,-,-,52.8%,0.0%,56.3%,-,-
손익비 구간별,2.2 이상,73,0,-,-,39.7%,0.0%,50.9%,-,-
손익비 구간별,1.5~1.8,33,0,-,-,45.5%,0.0%,54.2%,-,-
손익비 구간별,1.8~2.2,27,0,-,-,44.4%,0.0%,66.7%,-,-
손익비 구간별,1.2 미만,4,0,-,-,0.0%,-,0.0%,-,-
시장 국면별,중립 이상,300,0,-,-,47.3%,0.0%,54.8%,-,-
종목별,GS건설,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,HD현대중공업,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,KB금융,5,0,-,-,80.0%,0.0%,40.0%,-,-
종목별,LG화학,5,0,-,-,80.0%,0.0%,50.0%,-,-
종목별,LIG넥스원,5,0,-,-,20.0%,0.0%,25.0%,-,-
종목별,LS,5,0,-,-,20.0%,0.0%,20.0%,-,-
종목별,LS ELECTRIC,5,0,-,-,20.0%,0.0%,60.0%,-,-
종목별,NAVER,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,POSCO홀딩스,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,SK스퀘어,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,기아,5,0,-,-,80.0%,0.0%,80.0%,-,-
종목별,대한전선,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,두산로보틱스,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,두산에너빌리티,5,0,-,-,40.0%,0.0%,25.0%,-,-
종목별,두산테스나,5,0,-,-,60.0%,0.0%,66.7%,-,-
종목별,레인보우로보틱스,5,0,-,-,80.0%,0.0%,75.0%,-,-
종목별,로보스타,5,0,-,-,60.0%,0.0%,80.0%,-,-
종목별,로보티즈,5,0,-,-,80.0%,0.0%,75.0%,-,-
종목별,메리츠금융지주,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,삼성SDI,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,삼성바이오로직스,5,0,-,-,40.0%,0.0%,66.7%,-,-
종목별,삼성에스디에스,5,0,-,-,80.0%,0.0%,60.0%,-,-
종목별,삼성중공업,5,0,-,-,40.0%,0.0%,25.0%,-,-
종목별,셀트리온,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,신한지주,5,0,-,-,20.0%,0.0%,50.0%,-,-
종목별,심텍,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,알테오젠,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,에코프로,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,에코프로비엠,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,엘앤에프,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,유한양행,5,0,-,-,20.0%,0.0%,50.0%,-,-
종목별,일진전기,5,0,-,-,60.0%,0.0%,80.0%,-,-
종목별,카카오,5,0,-,-,60.0%,0.0%,75.0%,-,-
종목별,클래시스,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,파마리서치,5,0,-,-,60.0%,0.0%,80.0%,-,-
종목별,포스코퓨처엠,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,하나금융지주,5,0,-,-,40.0%,0.0%,33.3%,-,-
종목별,한화시스템,5,0,-,-,40.0%,0.0%,25.0%,-,-
종목별,한화에어로스페이스,5,0,-,-,40.0%,0.0%,50.0%,-,-
종목별,한화오션,5,0,-,-,60.0%,0.0%,60.0%,-,-
종목별,현대건설,5,0,-,-,40.0%,0.0%,60.0%,-,-
종목별,현대로템,5,0,-,-,60.0%,0.0%,50.0%,-,-
종목별,현대모비스,5,0,-,-,40.0%,0.0%,75.0%,-,-
종목별,효성중공업,5,0,-,-,20.0%,0.0%,50.0%,-,-
종목별,DB하이텍,4,0,-,-,50.0%,0.0%,33.3%,-,-
종목별,DL이앤씨,4,0,-,-,50.0%,0.0%,66.7%,-,-
종목별,HD한국조선해양,4,0,-,-,75.0%,0.0%,50.0%,-,-
종목별,HD현대일렉트릭,4,0,-,-,50.0%,0.0%,50.0%,-,-
종목별,HPSP,4,0,-,-,25.0%,0.0%,33.3%,-,-
종목별,ISC,4,0,-,-,75.0%,0.0%,75.0%,-,-
종목별,LG에너지솔루션,4,0,-,-,75.0%,0.0%,75.0%,-,-
종목별,LG이노텍,4,0,-,-,25.0%,0.0%,25.0%,-,-
종목별,SK하이닉스,4,0,-,-,25.0%,0.0%,50.0%,-,-
종목별,대한항공,4,0,-,-,50.0%,0.0%,50.0%,-,-
종목별,리노공업,4,0,-,-,0.0%,-,0.0%,-,-
종목별,삼성전기,4,0,-,-,50.0%,0.0%,25.0%,-,-
종목별,삼성전자,4,0,-,-,0.0%,-,50.0%,-,-
종목별,이수페타시스,4,0,-,-,25.0%,0.0%,33.3%,-,-
종목별,주성엔지니어링,4,0,-,-,25.0%,0.0%,33.3%,-,-
종목별,하나마이크론,4,0,-,-,25.0%,0.0%,66.7%,-,-
종목별,한국전력,4,0,-,-,25.0%,0.0%,33.3%,-,-
종목별,한국항공우주,4,0,-,-,75.0%,0.0%,25.0%,-,-
종목별,한미반도체,4,0,-,-,25.0%,0.0%,66.7%,-,-
종목별,현대차,4,0,-,-,50.0%,0.0%,75.0%,-,-
진입유형별,지지선 근처,243,0,-,-,44.0%,0.0%,54.0%,-,-
