cache_key,market,ticker,title,summary,source,url,time,published_ts,origin,importance,direction,sentiment,severity,relevance,cached_at,last_seen_at,seen_count
ee2237dd14338ec3d695,한국주식,,기관 연속 순매수일 상위 20선 - 코스닥 - 조선비즈,,Google News KR,https://news.google.com/rss/articles/CBMigwFBVV95cUxOOTB4clIyNm1CdEM3bzZQQkRIQ3NQNVcyUUJkR2JrRzBJZGVES2xlNWJkdGNMMjA4bWNUbHBuSXFCdkZ0STNEN2tBWEVOcTNzNURQQjhZYVoybElXT0RCbF9XUlpFak54SkQ5RUJUVmhYNlJHd2VYbFh2TVpkUXJKdWw4UdIBlwFBVV95cUxPZFpKSEtydDhaU3hXTEl3Rlc2NzBIT0loLWk3UldhaVUwaFFjVXB2Q0VQZTh0aF9aOEVHUGJlQV83Sm45d0llZThJZkdqWW9XUHFfNG10a193UE5KMGpFSzluRUlwZ09VTmVyVVNyNlZCN0F3dHZQRWVqZHFrR3JQNFFmX2ZDUUR0SGFxeW45MUVDaGhJTzVn?oc=5,05-22 19:55 KST,2026-05-22T19:55:00+09:00,kr_google_news,높음,,1,,9,2026-05-23 08:50:29,2026-05-23 08:50:29,1
63842ff9d1d60f527f49,한국주식,,기관 순매수 금액 상위 20선 - 코스피 - 조선비즈,,Google News KR,https://news.google.com/rss/articles/CBMigwFBVV95cUxONE52THFTakgzdlJjNEY1cHU2cHVxY3Z1QlQxVURFU0lQT1ZnVFRPenQtREwzNEdxc0dPSGJBOXFtajlUbTlabnBxME85cDZQQS1yaWhMVzM0ekQwNk0tN3MzVTZqZzVmN2E1ckNUcDdaME1KMWZlTEw3YjY5enBCOHd4VdIBlwFBVV95cUxPcURGMlBWbTd5WXRQc1pjOUNuc2R5QjgzTXVtdC15N1BiVW9UNzNOdDBzbERVTENDbEpBbW4wTTg5Qk16dHNwS3IzRE54a00waTU5bWRGVV84T2FpWjNEUXVuYlBtR3ZaUmNVYXNaV1RGOUJReF8xRG5UMFRzRXpIRDNpa1R4TnpKNE1VX2M5ckxWN202VnNV?oc=5,05-22 19:51 KST,2026-05-22T19:51:00+09:00,kr_google_news,높음,,1,,9,2026-05-23 08:50:29,2026-05-23 08:50:29,1
92b66401d159d9f49489,한국주식,,[마감 시황] 개인 기관 순매수에 코스피 상승 마감 - 필드뉴스,,Google News KR,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1EYy1IaHN5VjZvcWpGOTB1VUZBX25XbWdMamNJYjAyR09sdExfZ3hERDh4V0tLd1F6SklqSjFPczdwRzk3dUZaYmdHQURJd3hkVkJ2MWZsR2ZPYUJGOWZXV3pEeVNrdjRp0gFsQVVfeXFMTjVqblBwV3d0TlUxSWJnNjFrXy1GWlo1MEc5LWRSeFp0SWxhN2ZaMDdoM29HMXQ0enV3azVyejFsOUNaLXBJSy1DYTkyaDl5MW1hUUdDQjdTX1dFYlZOS3NleS1PM1k4NkxWa0Rl?oc=5,05-22 15:44 KST,2026-05-22T15:44:26+09:00,kr_google_news,높음,,1,,9,2026-05-23 08:50:29,2026-05-23 08:50:29,1
6cc002c6e2d2e4e5a341,한국주식,,"불확실성 걷힌 국내 증시, 반도체 투심 살아나며 코스피·코스닥 동반 강세 - 모바일한경",,Google News KR,https://news.google.com/rss/articles/CBMif0FVX3lxTE1JWWduZ2hXbjFPa2w1ZWVGOExCc2o3TUh6RDd2SUNnYkt1TzUtNWtoLVlucldXNjFkc2NCNi11bXVxLXFheEJnQlRhbVNtbGE1TzM0WDVYLXhJa0cxc2xvNFJ2RVZjTWVmVVhJNmpHNnFIcWxhelJ3ZHV5Unp4Nmc?oc=5,05-22 10:40 KST,2026-05-22T10:40:01+09:00,kr_google_news,높음,,1,,9,2026-05-23 08:50:29,2026-05-23 08:50:29,1
097879a482af05e1b133,한국주식,,"22일, 거래소 외국인 순매수상위에 전기,전자 업종 4종목 - 한국경제",,Google News KR,https://news.google.com/rss/articles/CBMiVEFVX3lxTE10QmdvZzFlMjNpSDFWTktUTHJyeUJMd2NBb1JCTUtMQWo3S3Zhb3ZSVGE4ZThWOWlDVGs1czQyRERMX1hVYVo0enM2UWNmM1MzcjNVYdIBVEFVX3lxTE10QmdvZzFlMjNpSDFWTktUTHJyeUJMd2NBb1JCTUtMQWo3S3Zhb3ZSVGE4ZThWOWlDVGs1czQyRERMX1hVYVo0enM2UWNmM1MzcjNVYQ?oc=5,05-22 18:35 KST,2026-05-22T18:35:10+09:00,kr_google_news,중간,,1,,6,2026-05-23 08:50:29,2026-05-23 08:50:29,1
903995d0e1878e0e0ca3,한국주식,,"외국인, 국내 상장 ETF 순매수액 1년새 6.8배↑···1위는 ‘MSCI’ 테마 - 시사저널e",,Google News KR,https://news.google.com/rss/articles/CBMickFVX3lxTE5iVEFLT2c4b1pGV2ZBZjF1SDhTM05MaDYxU3NnLWxaLTRKNXNHSTc3MU5ZWEZzeGQ4WHR4WTVEV3dkQ1JSX3BpYWF0aVF6cG5ibXRWZTk4UDBFdkhvLUkyUndXaDBNb2ZpN0VQYklHMGREZ9IBdkFVX3lxTE1Na2ZqQkRtV2hRNzk0VDlJU1ltcnFEVklYaEdzUE1zQW9KVndGemNpeEU4SDBUU19yd3k5VHl0WEwwdzB0NV9IbDNGWlF0YW03X3U0S21XbjNPOTlpLS16MVY5by1iNmJmd215Z05pMG5veEs5WXc?oc=5,05-22 16:17 KST,2026-05-22T16:17:46+09:00,kr_google_news,중간,,1,,6,2026-05-23 08:50:29,2026-05-23 08:50:29,1
1cf7537ae8fe0901e662,한국주식,,"코스피 쉬고 코스닥 날았다, 코스닥 5% 급등 1161 마감...'톱10 초강세' - 오피니언뉴스",,Google News KR,https://news.google.com/rss/articles/CBMicEFVX3lxTFBpMkRoY05UOHo0NzE2d0NRbVVVNFpMV3ZsR2hGeklIQjRPaEk1SDVGMDdFSWw5MUpjQ0gySDJRdHg1Uy14WE9taG9MMV9QMEdwU0xpblJMa0R1RVlVRTlVNll0QkpTLVZsalh4dlk0UlI?oc=5,05-22 16:03 KST,2026-05-22T16:03:58+09:00,kr_google_news,중간,,1,,6,2026-05-23 08:50:29,2026-05-23 08:50:29,1
f4e7cd86b5d08be33768,한국주식,,코스피-코스닥 상승 마감 - 연합뉴스,,Google News KR,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1UVEJZcUUyMnRkaE9Bc044dzdJcVJmOVBkR2p3WlRWSmRGSVBOdmVQM3VoSWZkUmVsc3RZWDNLeVlLZWdiWDVTcFd5Z0NLYTNVMDZnMTc2UTMyVnfSAWBBVV95cUxQZ0xQYUZvS3RuRmloaUN4MjdZODJsbi1fWm0wYnNjR2RDa2JpZ1N6c3N6Yy1USzVpZ2JSUjQtby1WMThlY1NnWTNMX3pTaldFOHFCZFRYUVVRdjlibXc1QzQ?oc=5,05-22 15:50 KST,2026-05-22T15:50:17+09:00,kr_google_news,중간,,1,,6,2026-05-23 08:50:29,2026-05-23 08:50:29,1
4c39c353e55f5b3445f0,한국주식,,"노무라증권, 코스피 전망치 1만1000 제시…AI·HBM 슈퍼사이클 주목 - 더퍼블릭",,Google News KR,https://news.google.com/rss/articles/CBMia0FVX3lxTE9XZmhnblVhekl1d1N1aWVoUklRR29OYTJJLXB3OHYzT2FWSkdocGNfbnpWdjlSaV9wN2pyZ2JvUFd1UDBCQnRZQ2drUFhDSkZubkpxNWV3OVhtRThROHJBcDFobnAxTkx6YWVF0gFvQVVfeXFMTzRIbERSYS1wdFBVQ0ZjSzJuYXRlbzJlUVo5WWRpeDBmdVlwVC16VzRieVZsN0tOMEpYMmNzRGtKbWhLaFBQQWg1bE8xclh6OTJhb1o2V0dlQlhITFpxTlktalJTc0tWaV9NcTF6aFJN?oc=5,05-23 08:29 KST,2026-05-23T08:29:54+09:00,kr_google_news,중간,,0,,5,2026-05-23 08:50:29,2026-05-23 08:50:29,1
42df4c041d1cd155c584,한국주식,,"[美증시 특징주] 반도체, 엔비디아 하락에 조정...퀄컴은 AI반도체주 재평가에 폭등 - 미디어펜",,Google News KR,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1wN2xsUTZka1BWQWVLS0NLQzR0RFV4MkdacTY4VVdDS3hPb3VRR1d0MmRDLTQ3c0NRODN6SUp6Tk5sbmpGS0YtZ1BvNDRFRmNBWnFYeFVrTUzSAVhBVV95cUxNcDdsbFE2ZGtQVkFlS0tDS0M0dERVeDJHWnE2OFVXQ0t4T291UUdXdDJkQy00N3NDUTgzeklKek5ObG5qRktGLWdQbzQ0RUZjQVpxWHhVa01M?oc=5,05-23 04:44 KST,2026-05-23T04:44:05+09:00,kr_google_news,중간,,-1,,5,2026-05-23 08:50:29,2026-05-23 08:50:29,1
