collected_at,source,status,item_count,error_message
2026-05-13 01:02:26,Global Market RSS,disabled,0,disabled
2026-05-13 01:02:26,Korea Market RSS,disabled,0,disabled
2026-05-13 01:02:26,News API,disabled,0,disabled
2026-05-13 01:02:26,Manual CSV,loaded,5,
2026-05-13 01:02:26,news_update,success,5,
2026-05-14 10:33:25,Google News US,ok,75,
2026-05-14 10:33:25,Yahoo Finance,ok,43,
2026-05-14 10:33:26,MarketWatch,ok,10,
2026-05-14 10:33:27,Google News KR,ok,46,
2026-05-14 10:33:28,Yonhap KR,ok,100,
2026-05-14 10:33:29,Infomax KR,ok,100,
2026-05-14 10:33:29,News API,disabled,0,disabled
2026-05-14 10:33:29,Manual CSV,loaded,5,
2026-05-14 10:33:29,news_update,success,379,
