date,updated_at,market,symbol,name,quantity,avg_price,close_price,price_source,price_date,market_value,cost_basis,unrealized_pnl,unrealized_return_pct,weight_pct,sector
2026-05-26,2026-05-26 08:36:10,미국주식,SNDK,샌디스크,5.0,791.589,1392.56,holdings_fallback,,6962.799999999999,3957.945,3004.854999999999,75.91957442561731,0.06455102575996609,반도체/AI
2026-05-26,2026-05-26 08:36:10,미국주식,NBIS,네비우스 그룹,22.0,159.0,191.82,holdings_fallback,,4220.04,3498.0,722.04,20.641509433962263,0.039123328366187066,클라우드/소프트웨어
2026-05-26,2026-05-26 08:36:10,미국주식,CRCL,써클 인터넷 그룹,30.0,94.55,111.62,holdings_fallback,,3348.6000000000004,2836.5,512.1000000000004,18.05393971443682,0.031044344927302587,전기차/성장주
2026-05-26,2026-05-26 08:36:10,미국주식,BMNR,비트마인 이머전 테크놀로지스,211.0,22.7463,22.7463,holdings_fallback,,4799.469300000001,4799.469300000001,0.0,0.0,0.044495126446037,가상자산
2026-05-26,2026-05-26 08:36:10,미국주식,ASTS,ASTS,34.0,81.9264,81.9264,holdings_fallback,,2785.4976,2785.4976,0.0,0.0,0.02582391097430972,전기차/성장주
2026-05-26,2026-05-26 08:36:10,미국주식,CAT,CAT,5.0,782.78,782.78,holdings_fallback,,3913.8999999999996,3913.8999999999996,0.0,0.0,0.03628515248490999,지수형
2026-05-26,2026-05-26 08:36:10,미국주식,INTC,INTC,65.0,55.29,55.29,holdings_fallback,,3593.85,3593.85,0.0,0.0,0.03331801917726405,반도체/AI
2026-05-26,2026-05-26 08:36:10,미국주식,LITE,LITE,5.0,869.0,869.0,holdings_fallback,,4345.0,4345.0,0.0,0.0,0.0402818129096129,반도체/AI
2026-05-26,2026-05-26 08:36:10,미국주식,RKLB,RKLB,21.0,67.5,67.5,holdings_fallback,,1417.5,1417.5,0.0,0.0,0.013141419976841491,전기차/성장주
2026-05-26,2026-05-26 08:36:10,미국주식,AAOI,AAOI,11.0,174.64,174.64,holdings_fallback,,1921.04,1921.04,0.0,0.0,0.017809660269708344,미분류
2026-05-26,2026-05-26 08:36:10,미국주식,SIMO,SIMO,9.0,244.21,244.21,holdings_fallback,,2197.89,2197.89,0.0,0.0,0.020376293159012446,미분류
2026-05-26,2026-05-26 08:36:10,한국주식,131970,두산테스나,30.0,178200.0,178200.0,holdings_fallback,,5346000.0,5346000.0,0.0,0.0,49.56192676980219,반도체
2026-05-26,2026-05-26 08:36:10,한국주식,222800,심텍,55.0,98200.0,98200.0,holdings_fallback,,5401000.0,5401000.0,0.0,0.0,50.07182313574666,반도체 부품
