market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at,quote_fallback_price,실시간현재가,current_price_source
kr,011070,011070,1077000.0,1077000.0,"1,077,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1077000.0,"1,077,000원",KIS 현재가
kr,011200,011200,20300.0,20300.0,"20,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,20300.0,"20,300원",KIS 현재가
kr,012330,012330,653000.0,653000.0,"653,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,653000.0,"653,000원",KIS 현재가
kr,012450,012450,1251000.0,1251000.0,"1,251,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1251000.0,"1,251,000원",KIS 현재가
kr,015760,015760,40700.0,40700.0,"40,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,40700.0,"40,700원",KIS 현재가
kr,017670,017670,100800.0,100800.0,"100,800원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,100800.0,"100,800원",KIS 현재가
kr,018260,018260,199200.0,199200.0,"199,200원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,199200.0,"199,200원",KIS 현재가
kr,028670,028670,6010.0,6010.0,"6,010원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,6010.0,"6,010원",KIS 현재가
kr,030200,030200,55100.0,55100.0,"55,100원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,55100.0,"55,100원",KIS 현재가
kr,032640,032640,15500.0,15500.0,"15,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,15500.0,"15,500원",KIS 현재가
