symbol,corp_code,name,year,revenue,operating_income,net_income,total_equity,total_debt,total_assets,current_assets,current_liabilities,retained_earnings,eps,eps_prev,per,pbr,shares_outstanding,market_cap,roe,debt_ratio,operating_margin,net_margin,revenue_growth,eps_growth,peg,div,quality_score,value_score,growth_score,updatedAt
272210,00339391,,2024,2803686058274.0,219345297682.0,445378843124.0,2416416895456.0,3307593220262.0,5724010115718.0,2286147317733.0,2677051475212.0,589291868217.0,,,,,,,18.43,136.88,7.82,15.89,,,,,63.4,61.1,50.0,2026-06-22 16:43:45
272210,00339391,,2023,2453079541922.0,92870721114.0,343083288939.0,2154126164004.0,2329084660742.0,4483210824746.0,1890139661377.0,1951414761805.0,212472263052.0,,,,,,,15.93,108.12,3.79,13.99,,,,,60.7,61.9,50.0,2026-06-22 16:43:45
277810,01261644,,2024,19346780087.0,-2978979764.0,,132751303410.0,7129702269.0,139881005679.0,113965181694.0,5788485094.0,-5908002188.0,,,,,,,,5.37,-15.4,,,,,,54.2,59.5,50.0,2026-06-22 16:43:45
277810,01261644,,2023,15258134872.0,-44589778382.0,-842680471.0,130656200153.0,1955287162.0,132611487315.0,121223137827.0,1035402952.0,-7837731636.0,,,,,,,-0.64,1.5,-292.24,-5.52,,,,,39.8,59.9,50.0,2026-06-22 16:43:45
278280,00897752,,2024,144912632914.0,-22751764756.0,-32319407781.0,414905026173.0,592946027624.0,1007851053797.0,247445272389.0,489821657202.0,143997043356.0,,,,,,,-7.79,142.91,-15.7,-22.3,,,,,18.6,45.7,50.0,2026-06-22 16:43:45
278280,00897752,,2023,182697745919.0,-8044807665.0,-45466112224.0,350528760483.0,583161645145.0,933690405628.0,281863280572.0,233399463468.0,171950030627.0,,,,,,,-12.97,166.37,-4.4,-24.89,,,,,21.5,43.4,50.0,2026-06-22 16:43:45
278470,01190568,,2024,722753862301.0,122705544449.0,107590435967.0,323524073990.0,241619489197.0,565143563187.0,286027445388.0,145136758580.0,229092205925.0,,,,,,,33.26,74.68,16.98,14.89,,,,,92.4,72.5,50.0,2026-06-22 16:43:45
278470,01190568,,2023,523809364559.0,104193724865.0,81546050952.0,196948868778.0,90360619465.0,287309488243.0,219307995672.0,82296421377.0,123704427689.0,,,,,,,41.4,45.88,19.89,15.57,,,,,98.1,75.4,50.0,2026-06-22 16:43:45
293490,01137383,,2024,627227484059.0,19148863191.0,-128088854882.0,1478357269717.0,1694881787634.0,3173239057351.0,1069083664606.0,1199409097707.0,188098036230.0,,,,,,,-8.66,114.65,3.05,-20.42,,,,,35.2,48.5,50.0,2026-06-22 16:43:45
293490,01137383,,2023,1025085964285.0,74516883006.0,-322405861214.0,1625527793504.0,1845488692378.0,3471016485882.0,1020759793411.0,710111348746.0,277393323535.0,,,,,,,-19.83,113.53,7.27,-31.45,,,,,38.8,48.6,50.0,2026-06-22 16:43:45
