종목코드,종목명,시장,수급기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,해석,다음 행동,데이터출처
003550,003550,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
010120,010120,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
259960,259960,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
003490,003490,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
028670,028670,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
278470,278470,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
095340,095340,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
004020,004020,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
010950,010950,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
131970,131970,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
012450,012450,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
277810,277810,한국주식,거래대금·거래량 보강,-,-,-,-,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
