rec_id,recommended_at,market,symbol,name,strategy,action,entry_price,stop_price,target_price,status,hit_date,target_hit,stop_hit,return_1d_pct,return_3d_pct,return_5d_pct,return_20d_pct,final_return_pct,reason,source_file
2026-05-25|kr|36930|후보 리포트,2026-05-25,한국주식,36930,주성엔지니어링,후보 리포트,진입가 대기,166047.0,139479.0,182651.7,가격데이터 없음,,False,False,,,,,,현재가가 우선진입가 대비 +6.5% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|214150|후보 리포트,2026-05-25,한국주식,214150,클래시스,후보 리포트,진입가 대기,47513.0,45915.0,52264.3,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|34730|후보 리포트,2026-05-25,한국주식,34730,SK,후보 리포트,진입가 대기,489486.0,430584.0,538434.6,가격데이터 없음,,False,False,,,,,,현재가가 우선진입가 대비 +6.0% (한도 5%) / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|90360|후보 리포트,2026-05-25,한국주식,90360,로보스타,후보 리포트,진입가 대기,72581.0,68862.0,79839.1,가격데이터 없음,,False,False,,,,,,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|68270|후보 리포트,2026-05-25,한국주식,68270,셀트리온,후보 리포트,진입가 대기,179770.0,176008.0,197747.0,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|11200|후보 리포트,2026-05-25,한국주식,11200,HMM,후보 리포트,진입가 대기,19207.0,18858.0,21127.7,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|375500|후보 리포트,2026-05-25,한국주식,375500,DL이앤씨,후보 리포트,진입가 대기,75110.0,72065.0,82621.0,가격데이터 없음,,False,False,,,,,,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|9540|후보 리포트,2026-05-25,한국주식,9540,HD한국조선해양,후보 리포트,진입가 대기,394065.0,381312.0,433471.5,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|3620|후보 리포트,2026-05-25,한국주식,3620,KG모빌리티,후보 리포트,진입가 대기,3603.0,3429.0,3963.3,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
2026-05-25|kr|35900|후보 리포트,2026-05-25,한국주식,35900,JYP Ent.,후보 리포트,진입가 대기,61657.0,60463.0,67822.7,가격데이터 없음,,False,False,,,,,,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,swing_candidates_kr_C_excluded-Kang.csv
