종목코드,종목명,시장,보유수량,평단가,현재가,수익률,판단,권장매도수량,예상회수금액,사유
131970,두산테스나,한국주식,30주,"178,200원",-,-,보유 점검,0,-,-
222800,심텍,한국주식,55주,"98,200원",-,-,보유 점검,0,-,-
