시장,종목코드,종목명,corp_code,사업연도,재무제표,매출액,영업이익,순이익,자산총계,부채총계,자본총계,ROE,부채비율,영업이익률,순이익률,DART상태,데이터출처,PER,PBR,재무상태,초보자 해석,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동,오류,데이터상태설명
한국주식,005930,삼성전자,00126380,2025.0,CFS,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,10.360920902937423,29.93712690499687,13.069626776247608,13.5509593357418,OK,DART 재무제표,42.48740227353506,4.402086143273803,재무/KPI 수신,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 — 가격·뉴스·차트와 함께 판단하세요.,42.49,4.40,10.36%,333.61조,45.21조,29.94%,13.07%,장기 보유 판단에 사용 가능,,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
한국주식,000660,SK하이닉스,,,,,,,,,,,,,,NO_FINANCIALS,DART 응답 없음,,,재무 데이터 부족,,-,-,-,-,-,-,-,DART 재무제표 응답이 비어 있습니다. 사업연도/보고서 확인이 필요합니다.,,DART 상태: NO_FINANCIALS / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,035420,NAVER,,,,,,,,,,,,,,NO_FINANCIALS,DART 응답 없음,,,재무 데이터 부족,,-,-,-,-,-,-,-,DART 재무제표 응답이 비어 있습니다. 사업연도/보고서 확인이 필요합니다.,,DART 상태: NO_FINANCIALS / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,005380,현대차,,,,,,,,,,,,,,NO_FINANCIALS,DART 응답 없음,,,재무 데이터 부족,,-,-,-,-,-,-,-,DART 재무제표 응답이 비어 있습니다. 사업연도/보고서 확인이 필요합니다.,,DART 상태: NO_FINANCIALS / corp_code·사업연도·보고서 응답을 확인하세요.
