시장,종목코드,종목명,Finnhub상태,SEC상태,PER,PBR,ROE,매출성장률,영업이익률,순이익률,부채비율,베타,52주고가,52주저가,CIK,매출액,영업이익,순이익,자산총계,부채총계,자본총계,재무상태,데이터출처,초보자 해석,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동,데이터상태설명
미국주식,SNDK,SanDisk,OK,NO_CIK,48.5864,0.747,42.33,82.76,40.73,34.19,0.2006,3.237402,1600.0,35.79,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,48.59,0.75,42.33%,-,-,0.20%,40.73%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,NBIS,Nebius,OK,NO_CIK,655.1147,4.6101,16.009999999999998,527.97,-70.55,93.09,0.8985,0.9502528,233.7299,34.72,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,655.11,4.61,16.01%,-,-,0.90%,-70.55%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,CRCL,Circle,OK,NO_CIK,,5.6087,-2.6,51.46,-5.04,-2.76,0.0111,0.734739,298.99,49.9,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 낮음/확인 필요 · 부채 부담 낮음 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,-,5.61,-2.60%,-,-,0.01%,-5.04%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,BMNR,BMNR,OK,NO_CIK,30.85,0.8706,-116.38,261.26,-53050.12,-51893.54,0.0,1.6313066,161.0,3.92,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 낮음/확인 필요 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,30.85,0.87,-116.38%,-,-,0.00%,-53050.12%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
