시장,종목,위험 구분,초보자 해석,핵심 사유,권장 행동
미국주식,Alphabet (GOOGL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Amazon (AMZN),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Caterpillar (CAT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Circle (CRCL),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Cloudflare (NET),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Costco (COST),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Energy ETF (XLE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Intel (INTC),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Lumentum (LITE),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,NVIDIA (NVDA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Nebius (NBIS),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Palantir (PLTR),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Riot Platforms (RIOT),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Russell 2000 ETF (IWM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,SanDisk (SNDK),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Super Micro Computer (SMCI),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,TSMC (TSM),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
미국주식,Tesla (TSLA),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망
