symbol,market,unsupported_data_type,failure_reason,recommended_action,updated_at
000100,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000100,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000100,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000270,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000270,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000270,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000660,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000660,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000660,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000660,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000720,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000720,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000720,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000720,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000810,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000810,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000810,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000810,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000990,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000990,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000990,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
001440,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
001440,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
001440,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003490,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003490,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003490,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003490,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003550,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003550,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003550,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003550,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003670,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003670,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003670,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
004020,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
004020,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
004020,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
004020,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005380,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005380,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005380,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005380,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005490,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005490,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005490,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005490,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005930,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005930,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005930,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006260,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006260,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006260,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006360,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006360,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006360,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006400,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006400,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006400,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
007660,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
007660,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
007660,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009150,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009150,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009150,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009540,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009540,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
009540,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010120,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010120,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010120,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010120,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010140,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010140,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010140,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010950,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010950,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010950,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
010950,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
011070,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
011070,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
011070,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
011070,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012330,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012330,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012330,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012450,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012450,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012450,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
012450,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
015760,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
015760,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
015760,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
018260,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
018260,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
018260,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
018260,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
028670,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
028670,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
028670,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
028670,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
034020,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
034020,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
034020,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
034020,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035420,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035420,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035420,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035720,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035720,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
035720,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
036930,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
036930,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
036930,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042660,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042660,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042660,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042700,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042700,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
042700,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
047810,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
047810,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
047810,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
051910,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
051910,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
051910,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
055550,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
055550,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
055550,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
058470,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
058470,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
058470,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
064350,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
064350,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
064350,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
066970,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
066970,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
066970,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
067310,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
067310,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
067310,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
068270,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
068270,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
068270,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
079550,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
079550,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
079550,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
079550,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086520,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086520,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086520,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086790,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086790,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
086790,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
090360,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
090360,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
090360,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
095340,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
095340,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
095340,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
095340,한국주식,sector_flow,sector_sample_or_mapping,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
103590,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
103590,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
105560,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
105560,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
108490,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
108490,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
131970,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
131970,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
131970,한국주식,flow,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
138040,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
138040,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
196170,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
196170,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
207940,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
207940,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
214150,한국주식,quote,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
214150,한국주식,orderbook,market_closed,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
