시장,종목코드,종목명,분류,1일상승확률,3일상승확률,5일상승확률,다음행동,데이터상태,종합점수,가치점수,성장점수,안정성점수,PER,PBR,ROE,매출,영업이익,순이익,핵심요약,근거1,근거2,데이터충분도
한국주식,005930,삼성전자,실적저평가,60%,63%,65%,초기 추정치입니다. 실제 결과 누적 후 자동 보정,,,,,,,,,,,,,재무/KPI 확인 대상,실제 결과가 쌓이면 자동 보정,초기
한국주식,000660,SK하이닉스,실적저평가,60%,63%,65%,초기 추정치입니다. 실제 결과 누적 후 자동 보정,,,,,,,,,,,,,재무/KPI 확인 대상,실제 결과가 쌓이면 자동 보정,초기
한국주식,005380,현대차,실적저평가,60%,63%,65%,초기 추정치입니다. 실제 결과 누적 후 자동 보정,,,,,,,,,,,,,재무/KPI 확인 대상,실제 결과가 쌓이면 자동 보정,초기
한국주식,035420,NAVER,실적저평가,56%,60%,64%,무리한 추격 금지,정상,58.9,50.0,66.7,63.0,-,-,6.28,12.0조,2.2조,1.8조,"가치 50.0, 성장 66.7, 안정성 63.0 기준으로 종합 58.9점입니다.",재무/KPI 확인 대상,실제 결과가 쌓이면 자동 보정,초기
