symbol,시장,price,source,updated_at
ASTS,미국주식,105.88,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
BMNR,미국주식,18.89,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
CAT,미국주식,879.91,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
CRCL,미국주식,113.14,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
INTC,미국주식,119.86,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
LITE,미국주식,946.92,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
NBIS,미국주식,214.79,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
RKLB,미국주식,135.78,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SNDK,미국주식,1478.71,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AAOI,미국주식,181.51,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SIMO,미국주식,276.16,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
NVDA,미국주식,215.35,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
GOOGL,미국주식,382.99,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
TSLA,미국주식,426.03,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
PLTR,미국주식,136.9,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
IONQ,미국주식,63.66,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
LUNR,미국주식,38.27,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
OKLO,미국주식,65.9,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
HUT,미국주식,105.92,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
IREN,미국주식,56.85,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
QQQ,미국주식,717.56,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SOXX,미국주식,537.35,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
IWM,미국주식,285.14,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AMD,미국주식,467.53,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AVGO,미국주식,414.16,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
MU,미국주식,751.02,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
MRVL,미국주식,196.35,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
ARM,미국주식,306.53,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SMCI,미국주식,35.59,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
ANET,미국주식,154.05,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
ALAB,미국주식,306.9,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
CRDO,미국주식,218.43,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
COHR,미국주식,377.59,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
MSFT,미국주식,418.59,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
META,미국주식,610.28,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AMZN,미국주식,266.34,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AAPL,미국주식,308.84,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
APP,미국주식,481.7,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
NET,미국주식,216.19,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
DDOG,미국주식,222.34,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SNOW,미국주식,172.22,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
MDB,미국주식,326.15,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
RDDT,미국주식,141.69,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
DUOL,미국주식,106.63,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
HOOD,미국주식,73.66,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
COIN,미국주식,185.01,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
VRT,미국주식,327.48,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
ETN,미국주식,391.37,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
CEG,미국주식,294.09,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
SMR,미국주식,11.41,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
RGTI,미국주식,26.43,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
QUBT,미국주식,12.32,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
GE,미국주식,302.86,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
KTOS,미국주식,56.2,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
AVAV,미국주식,174.25,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
ACHR,미국주식,6.37,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
JOBY,미국주식,10.93,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
TMDX,미국주식,68.96,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
HIMS,미국주식,23.76,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
TEM,미국주식,46.19,intraday_realtime_snapshot.csv,2026-05-25 19:29:07
DELL,미국주식,228.4,v52_action_board_light.csv,2026-05-25 19:29:07
XLE,미국주식,60.14,v52_action_board_light.csv,2026-05-25 19:29:07
ON,미국주식,103.33,v52_action_board_light.csv,2026-05-25 19:29:07
SPY,미국주식,726.98,v52_action_board_light.csv,2026-05-25 19:29:07
STX,미국주식,714.29,v52_action_board_light.csv,2026-05-25 19:29:07
SMH,미국주식,531.16,v52_action_board_light.csv,2026-05-25 19:29:07
WMT,미국주식,131.82,v52_action_board_light.csv,2026-05-25 19:29:07
WDC,미국주식,441.89,v52_action_board_light.csv,2026-05-25 19:29:07
000990,한국주식,161980.0,v52_action_board_light.csv,2026-05-25 19:29:07
329180,한국주식,631997.0,v52_action_board_light.csv,2026-05-25 19:29:07
95340,한국주식,198016.0,v52_action_board_light.csv,2026-05-25 19:29:07
032640,한국주식,15133.0,v52_action_board_light.csv,2026-05-25 19:29:07
79550,한국주식,818085.0,v52_action_board_light.csv,2026-05-25 19:29:07
006260,한국주식,501331.0,v52_action_board_light.csv,2026-05-25 19:29:07
5490,한국주식,429760.0,v52_action_board_light.csv,2026-05-25 19:29:07
034730,한국주식,526383.0,v52_action_board_light.csv,2026-05-25 19:29:07
353200,한국주식,125313.0,v52_action_board_light.csv,2026-05-25 19:29:07
034020,한국주식,99473.0,v52_action_board_light.csv,2026-05-25 19:29:07
34020,한국주식,103453.0,v52_action_board_light.csv,2026-05-25 19:29:07
131970,한국주식,161661.0,v52_action_board_light.csv,2026-05-25 19:29:07
810,한국주식,550323.0,v52_action_board_light.csv,2026-05-25 19:29:07
222800,한국주식,97942.0,v52_action_board_light.csv,2026-05-25 19:29:07
036930,한국주식,168617.0,v52_action_board_light.csv,2026-05-25 19:29:07
28670,한국주식,5857.0,v52_action_board_light.csv,2026-05-25 19:29:07
012450,한국주식,1251421.0,v52_action_board_light.csv,2026-05-25 19:29:07
720,한국주식,136899.0,v52_action_board_light.csv,2026-05-25 19:29:07
5380,한국주식,593683.0,v52_action_board_light.csv,2026-05-25 19:29:07
