카드,값,점수,다음행동
시장 국면,주의,31.3,신규매수 축소
시장 폭,0.17%,51.7,지수가 약하면 비중 축소
섹터 강도,-,0.0,강한 섹터만 우선
리스크 룰,위험 18개,0.0,위험 후보 제외
