시장,종목코드,종목명,데이터상태,가치점수,성장점수,안정성점수,종합점수,PER,PBR,ROE,부채비율,영업이익률,순이익률,핵심요약,다음행동
한국주식,131970,두산테스나,정상,50.0,50.1,55.0,51.5,-,-,0.35,161.02,-0.31,0.5,"가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지
한국주식,222800,심텍,정상,38.0,44.6,37.0,39.7,-,-,-28.55,281.13,0.84,-11.67,"가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지
한국주식,003550,LG,정상,50.0,50.0,73.0,56.9,-,-,3.3,12.03,-,-,"가치 50.0, 성장 50.0, 안정성 73.0 기준으로 종합 56.9점입니다.",무리한 추격 금지
한국주식,000100,유한양행,정상,50.0,56.6,73.0,58.9,-,-,7.84,36.35,4.77,8.48,"가치 50.0, 성장 56.6, 안정성 73.0 기준으로 종합 58.9점입니다.",무리한 추격 금지
한국주식,010120,엘에스일렉트릭,정상,58.0,57.2,63.0,59.3,-,-,13.27,131.48,8.59,5.72,"가치 58.0, 성장 57.2, 안정성 63.0 기준으로 종합 59.3점입니다.",무리한 추격 금지
한국주식,000270,기아,정상,58.0,57.3,73.0,62.3,-,-,12.35,61.76,7.95,6.62,"가치 58.0, 성장 57.3, 안정성 73.0 기준으로 종합 62.3점입니다.",무리한 추격 금지
한국주식,259960,크래프톤,정상,58.0,76.0,73.0,67.9,-,-,10.21,31.31,31.7,22.06,"가치 58.0, 성장 76.0, 안정성 73.0 기준으로 종합 67.9점입니다.",관심 유지 · 눌림 확인
한국주식,000660,SK하이닉스,정상,66.0,80.0,73.0,72.3,-,-,35.59,45.95,48.59,44.21,"가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인
한국주식,003490,대한항공,정상,50.0,50.0,37.0,46.1,-,-,5.65,339.88,-,-,"가치 50.0, 성장 50.0, 안정성 37.0 기준으로 종합 46.1점입니다.",무리한 추격 금지
한국주식,000720,현대건설,정상,50.0,52.0,37.0,46.7,-,-,5.53,274.82,2.1,1.8,"가치 50.0, 성장 52.0, 안정성 37.0 기준으로 종합 46.7점입니다.",무리한 추격 금지
한국주식,028670,팬오션,정상,50.0,57.3,55.0,53.7,-,-,5.27,189.63,9.05,5.55,"가치 50.0, 성장 57.3, 안정성 55.0 기준으로 종합 53.7점입니다.",무리한 추격 금지
한국주식,000810,삼성화재해상보험,정상,50.0,80.0,37.0,55.1,-,-,9.49,352.98,50.66,38.49,"가치 50.0, 성장 80.0, 안정성 37.0 기준으로 종합 55.1점입니다.",무리한 추격 금지
한국주식,278470,에이피알,정상,66.0,71.4,73.0,69.7,-,-,64.97,73.11,23.93,18.96,"가치 66.0, 성장 71.4, 안정성 73.0 기준으로 종합 69.7점입니다.",관심 유지 · 눌림 확인
한국주식,000990,DB하이텍,정상,58.0,69.0,63.0,62.8,-,-,11.26,133.36,19.85,18.08,"가치 58.0, 성장 69.0, 안정성 63.0 기준으로 종합 62.8점입니다.",무리한 추격 금지
한국주식,375500,DL이앤씨 (375500),정상,50.0,55.1,55.0,53.0,-,-,7.06,184.38,5.23,5.0,"가치 50.0, 성장 55.1, 안정성 55.0 기준으로 종합 53.0점입니다.",무리한 추격 금지
한국주식,329180,HD현대중공업 (329180),정상,58.0,59.8,55.0,57.6,-,-,15.15,180.07,11.59,8.05,"가치 58.0, 성장 59.8, 안정성 55.0 기준으로 종합 57.6점입니다.",무리한 추격 금지
